Problem Name	faded1	faded2	faded3	Problem1	Problem2	Problem3	Problem4	Problem5
%(tar4)%	450	178	100	200	1200	360	750	330
%(tot)%	1000	200	500	800	2000	400	1500	600
%(unreduced1)%	90/1000	40/200	125/500	320/800	1000/2000	240/400	525/1500	30/600
%(unreduced2)%	960/1000	194/200	200/500	240/800	1500/2000	40/400	225/1500	240/600
%(unreduced3)%	720/1000	130/200	425/500	640/800	300/2000	200/400	75/1500	420/600
%(unreduced4)%	450/1000	178/200	100/500	200/800	1200/2000	360/400	750/1500	330/600
%(100ratio1)%	9/100	20/100	25/100	40/100	50/100	60/100	35/100	5/100
%(100ratio2)%	96/100	97/100	40/100	30/100	75/100	10/100	15/100	40/100
%(100ratio3)%	72/100	65/100	85/100	80/100	15/100	50/100	5/100	70/100
%(100ratio4)%	45/100	89/100	20/100	25/100	60/100	90/100	50/100	55/100
%(percent1)%	9	20	25	40	50	60	35	5
%(percent2)%	96	97	40	30	75	10	15	40
%(percent3)%	72	65	85	80	15	50	5	70
%(percent4)%	45	89	20	25	60	90	50	55
%(decimal1)%	0.09	0.2	0.25	0.4	0.5	0.6	0.35	0.05
%(decimal2)%	0.96	0.97	0.4	0.3	0.75	0.1	0.15	0.4
%(decimal3)%	0.72	0.65	0.85	0.8	0.15	0.5	0.05	0.7
%(decimal4)%	0.45	0.89	.2	0.25	0.6	0.9	.50	0.55
%(reduced1)%	9/100	1/5	1/4	2/5	1/2	3/5	7/20	1/20
%(reduced2)%	24/25	97/100	2/5	3/10	3/4	1/10	3/20	2/5
%(reduced3)%	18/25	13/20	17/20	4/5	3/20	1/2	1/20	7/10
%(reduced4)%	9/20	89/100	1/5	1/4	3/5	9/10	1/2	11/20
%(gcf1)%	10	40	125	160	1000	80	75	30
%(gcf2)%	40	2	100	80	500	40	75	60
%(gcf3)%	40	10	25	160	100	200	75	120
%(gcf4)%	50	2	100	200	200	40	750	30
								
%(tar1_hint1)%	To work through question 1, you must first find the number of Goldfish sold.	To work through question 1, you must first find the number of talking pigs.	To work through question 1, you must first find the number of lasagna dishes sold.	To work through question 1, you must first find the number of students enrolled in sections 1 and 6.	To work through question 1, you must first find the amount of money Katie raised from selling candy or sandwiches.	To work through question 1, you must first find the number of balloons that are not blue or white.	To work through question 1, you must first find the number of students from the visiting school.	To work through question 1, you must first find the number of vehicles that are convertibles.
%(tar1_hint2)%	How many Goldfish were sold in Decemeber?	How many talking pigs were in the forest?	How many meals served were lasagna?	How many students are enrolled in sections 1 or 6?	How much money did Katie raise from selling candy or sandwiches?	How many balloons are neither blue nor white?	How many fans are students are from the visiting school?	How many vehicles on the lot are convertibles?
%(tar1_hint3)%				The number of students in either section 1 or section 6 is equal to the number of students in section 1 added to the number of students in section 6.	The money raised from selling candy or sandwiches is equal to the money raised from selling candy added to the money raised from selling sandwiches.			
%(tar1_hint4)%	Try entering '90' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '125' in the highlighted field.	Try entering '320' in the highlighted field.	Try entering '1000' in the highlighted field.	Try entering '240' in the highlighted field.	Try entering '525' in the highlighted field.	Try entering '30' in the highlighted field.
%(tar2_hint1)%	To work through question 2, you must first find the number of fish sold that were not Angelfish.	To work through question 2, you must first find the number of creatures that were not bouncing ferns.	To work through question 2, you must first find the number of eggplant parmigiana and pasta primavera dishes sold.	To work through question 2, you must first find the number of students enrolled in sections 2 and 5.	To work through question 2, you must first find the amount of money Katie raised from selling candy or pizza.	To work through question 2, you must first find the number of balloons that are black.	To work through question 2, you must first find the number of fans who are not students from either school.	To work through question 2, you must first find the number of vehicles that are sedans.
%(tar2_hint2)%	How many of the fish sold in Decemeber were not Angelfish?	How many creatures in the forest were not bouncing ferns?	How many meals served were eggplant parmigiana or pasta primavera?	How many students are enrolled in sections 2 or 5?	How much money did Katie raise from selling candy or pizza?	How many balloons are black?	How many fans are not students from either school?	How many vehicles on the lot are sedans?
%(tar2_hint3)%			The number of meals that were eggplant parmigiana or pasta primavera is equal to the number of eggplant parmigiana meals added to the number of pasta primavera meals.	The number of students in either section 2 or section 5 is equal to the number of students in section 2 added to the number of students in section 5.	The money raised from selling candy or pizza is equal to the money raised from selling candy added to the money raised from selling pizza.			
%(tar2_hint4)%	Try entering '960' in the highlighted field.	Try entering '194' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '240' in the highlighted field.	Try entering '1500' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '225' in the highlighted field.	Try entering '240' in the highlighted field.
%(tar3_hint1)%	To work through question 3, you must first find the number of Rainbowfish and Oscar fish sold.	To work through question 3, you must first find the number of dwarves and fairies.	To work through question 3, you must first find the number of dishes served that were not pizza.	To work through question 4, you must first find the number of students not enrolled in section 4.	To work through question 3, you must first find the amount of money Katie raised from selling T-shirts.	To work through question 3, you must first find the number of balloons that are purple or silver.	To work through question 3, you must first find the number of fans who are neither parents nor students from either school.	To work through question 31, you must first find the number of vehicles that are not SUVs.
%(tar3_hint2)%	How many of the fish sold in Decemeber were Rainbowfish or Oscar Fish?	How many creatures in the forest were dwarves or fairies?	How many meals served were not pizza?	How many students are not enrolled in section 4?	How much money did Katie raise from selling T-shirts?	How many balloons are purple or silver?	How many fans are not students or parents from either school?	How many vehicles on the lot are not SUVs?
%(tar3_hint3)%	The number of fish sold that were Rainbowfish or Oscar Fish is equal to the number of Rainbowfish added to the number of Oscar Fish.	The number of creatures that were dwarves or fairies is equal to the number of dwarves added to the number of fairies.				The number of balloons that are purple or silver is equal to the number of purple balloons added to the number of silver balloons.		
%(tar3_hint4)%	Try entering '720' in the highlighted field.	Try entering '130' in the highlighted field.	Try entering '425' in the highlighted field.	Try entering '640' in the highlighted field.	Try entering '300' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '75' in the highlighted field.	Try entering '420' in the highlighted field.
%(tar4_hint1)%	To work through question 4, you must first find the number of fish sold that were not Oscar Fish.	To work through question 4, you must first find the number of creatures that were not giants.	To work through question 4, you must first find the number of dishes served that were spaghetti and meatballs.	To work through question 4, you must first find the number of students enrolled in section6.	To work through question 4, you must first find the amount of money Katie raised from selling pizza, T-shirts, or sandwiches.	To work through question 4, you must first find the number of balloons that are not black.	To work through question 4, you must first find the number of fans who are students from the home school.	To work through question 4, you must first find the number of vehicles that are SUVs or trucks.
%(tar4_hint2)%	How many of the fish sold in Decemeber were not Oscar Fish?	How many creatures in the forest were not giants?	How many meals served were not spaghetti and meatballs?	How many students are enrolled in section 6?	How much money did Katie raise from selling pizza, T-shirts, or sandwiches?	How many balloons are not black?	How many fans are students from the home school?	How many vehicles on the lot are SUVs or trucks?
%(tar4_hint3)%					The money raised from selling pizza, T-shirts, or sandwiches is equal to the money raised from selling pizza added to the money raised from selling T-shirts and the money raised from selling sandwiches.			The number of vehicles on the lot that are SUVs or trucks is equal to the number of SUVs added to the number of trucks.
%(tar4_hint4)%	Try entering '450' in the highlighted field.	Try entering '178' in the highlighted field.	Try entering '100' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '1200' in the highlighted field.	Try entering '360' in the highlighted field.	Try entering '750' in the highlighted field.	Try entering '330' in the highlighted field.
%(tot_hint1)%	The next step is to figure out the total number of fish sold.	The next step is to figure out the total number of creatures in the forest.	The next step is to figure out the total number of meals served.	The next step is to figure out the total number of students enrolled in the class.	The next step is to figure out the total amount of money Katie raised.	The next step is to figure out how many total balloons were ordered.	The next step is to figure out how many fans attended the game.	The next step is to figure out how many total vehicles are in the car lot.
%(tot_hint2)%	How many total fish were sold in December?	How many total creatures were in the forest?	How many total meals were served during the week of May 20th?	How many total students are enrolled in freshman Chemistry?	How much total money did Katie raise?	How many total balloons did the seniors order?	How many total fans attended the game?	How many total vehicles are in the car lot?
%(tot_hint3)%	Try entering '1000' in the highlighted field.	Try entering '200' in the highlighted field.	Try entering '500' in the highlighted field.	Try entering '800' in the highlighted field.	Try entering '2000' in the highlighted field.	Try entering '400' in the highlighted field.	Try entering '1500' in the highlighted field.	Try entering '600' in the highlighted field.
%(unreduced1_hint1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unreduced1_hint2)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(unreduced1_hint3)%	Try entering '90/1000' in the highlighted field.	Try entering '40/200' in the highlighted field.	Try entering '125/500' in the highlighted field.	Try entering '320/800' in the highlighted field.	Try entering '1000/2000' in the highlighted field.	Try entering '240/400' in the highlighted field.	Try entering '525/1500' in the highlighted field.	Try entering '30/600' in the highlighted field.
%(unreduced2_hint1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unreduced2_hint2)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(unreduced2_hint3)%	Try entering '960/1000' in the highlighted field.	Try entering '194/200' in the highlighted field.	Try entering '200/500' in the highlighted field.	Try entering '240/800' in the highlighted field.	Try entering '1500/2000' in the highlighted field.	Try entering '40/400' in the highlighted field.	Try entering '225/1500' in the highlighted field.	Try entering '240/600' in the highlighted field.
%(unreduced3_hint1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unreduced3_hint2)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(unreduced3_hint3)%	Try entering '720/1000' in the highlighted field.	Try entering '130/200' in the highlighted field.	Try entering '425/500' in the highlighted field.	Try entering '640/800' in the highlighted field.	Try entering '300/2000' in the highlighted field.	Try entering '200/400' in the highlighted field.	Try entering '75/1500' in the highlighted field.	Try entering '420/600' in the highlighted field.
%(unreduced4_hint1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unreduced4_hint2)%	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.	Make sure you enter the unreduced ratio as a fraction: the target number is the numerator and the total number is the denominator.
%(unreduced4_hint3)%	Try entering '450/1000' in the highlighted field.	Try entering '178/200' in the highlighted field.	Try entering '100/500' in the highlighted field.	Try entering '200/800' in the highlighted field.	Try entering '1200/2000' in the highlighted field.	Try entering '360/400' in the highlighted field.	Try entering '750/1500' in the highlighted field.	Try entering '330/600' in the highlighted field.
%(100ratio1_hint1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '90/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '40/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '125/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '320/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '1000/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '240/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '525/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '30/600' to 100.
%(100ratio1_hint2)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(100ratio1_hint3)%	Try entering '9/100' in the highlighted field.	Try entering '20/100' in the highlighted field.	Try entering '25/100' in the highlighted field.	Try entering '40/100' in the highlighted field.	Try entering '50/100' in the highlighted field.	Try entering '60/100' in the highlighted field.	Try entering '35/100' in the highlighted field.	Try entering '5/100' in the highlighted field.
%(100ratio2_hint1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '960/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '194/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '200/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '240/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '1500/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '40/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '225/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '240/600' to 100.
%(100ratio2_hint2)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(100ratio2_hint3)%	Try entering '96/100' in the highlighted field.	Try entering '97/100' in the highlighted field.	Try entering '40/100' in the highlighted field.	Try entering '30/100' in the highlighted field.	Try entering '75/100' in the highlighted field.	Try entering '10/100' in the highlighted field.	Try entering '15/100' in the highlighted field.	Try entering '40/100' in the highlighted field.
%(100ratio3_hint1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '720/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '130/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '425/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '640/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '300/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '200/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '75/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '420/600' to 100.
%(100ratio3_hint2)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(100ratio3_hint3)%	Try entering '72/100' in the highlighted field.	Try entering '65/100' in the highlighted field.	Try entering '85/100' in the highlighted field.	Try entering '80/100' in the highlighted field.	Try entering '15/100' in the highlighted field.	Try entering '50/100' in the highlighted field.	Try entering '5/100' in the highlighted field.	Try entering '70/100' in the highlighted field.
%(100ratio4_hint1)%	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '450/1000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '178/200' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '100/500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '200/800' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '1200/2000' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '360/400' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '750/1500' to 100.	To express the unreduced ratio as a ratio out of 100, first convert the denominator of '330/600' to 100.
%(100ratio4_hint2)%	What number do you need to divide 1000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 200 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 800 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 2000 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 400 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 1500 by to get 100? Make sure you divide the numerator and the denominator by the same number.	What number do you need to divide 600 by to get 100? Make sure you divide the numerator and the denominator by the same number.
%(100ratio4_hint3)%	Try entering '45/100' in the highlighted field.	Try entering '89/100' in the highlighted field.	Try entering '20/100' in the highlighted field.	Try entering '25/100' in the highlighted field.	Try entering '60/100' in the highlighted field.	Try entering '90/100' in the highlighted field.	Try entering '50/100' in the highlighted field.	Try entering '55/100' in the highlighted field.
%(percent1_hint1)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(percent1_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent1_hint3)%	Try entering '9' in the highlighted field.	Try entering '20' in the highlighted field.	Try entering '25' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '60' in the highlighted field.	Try entering '35' in the highlighted field.	Try entering '5' in the highlighted field.
%(percent2_hint1)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(percent2_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent2_hint3)%	Try entering '96' in the highlighted field.	Try entering '97' in the highlighted field.	Try entering '40' in the highlighted field.	Try entering '30' in the highlighted field.	Try entering '75' in the highlighted field.	Try entering '10' in the highlighted field.	Try entering '15' in the highlighted field.	Try entering '40' in the highlighted field.
%(percent3_hint1)%	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?	After finding the 'Ratio out of 100', how can you use this to find the 'Percent'?
%(percent3_hint2)%	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.	The percent is the ratio out of 100 multiplied by a 100.
%(percent3_hint3)%	Try entering '72' in the highlighted field.	Try entering '65' in the highlighted field.	Try entering '85' in the highlighted field.	Try entering '80' in the highlighted field.	Try entering '15' in the highlighted field.	Try entering '50' in the highlighted field.	Try entering '5' in the highlighted field.	Try entering '70' in the highlighted field.
