Problem Name	00intro2	13ABDE	14FIRE	15LEAF	16ROFL	17JKLM	18ABC	19SPIN	20LAND	21SKW	22EVO	23NEAT	24MILK	25FROG	26GHI	27SALT	28RHOM
%(trgtExpBase2)%	-	-	-	-	LF|FL	JM|MJ	-	SP|PS	AL|LA	-	-	NT|TN	LK|LK	FR|RF	-	AL|LA	-
%(trgtExpBase3)%	-	-	-	-	LF|FL	KL|LK	-	-	-	-	-	NT|TN	-	OG|GO	-	ST|TS	-
%(trgtBase1)%	-	AE	FE	FA	RO	KL	-	SN	AN	-	-	EA	LK	FR	-	ST	RH
%(trgtBase2)%	-	-	-	-	LF	JM	-	SP	AL	-	-	NT	LK	FR	-	AL	-
%(trgtBase3)%	-	-	-	-	LF	KL	-	-	-	-	-	NT	-	OG	-	ST	-
																	
%(numWideCol)%	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
%(numQs)%	3	2	2	1	3	3	1	3	3	1	1	3	2	3	1	3	1
%(q2-visible)%	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE
%(q3-visible)%	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
																	
%(unt1)%	in	cm	cm	ft	cm	in	ft	ft	yd	m	cm	cm	mm	in	in	mm	ft
%(unt2)%	sq. in	sq. cm	sq. cm	sq. ft	sq. cm	sq. in	sq. ft	sq. ft	sq. yd	sq. m	sq. cm	sq. cm	sq. mm	sq. in	sq. in	sq. mm	sq. ft
%(unit1word)%	inches	centimeters	centimeters	feet	centimeters	inches	feet	feet	yards	meters	centimeters	centimeters	milimeters	inches	inches	milimeters	feet
%(unit2word)%	square inches	square centimeters	square centimeters	square feet	square centimeters	square inches	square feet	square feet	square yards	square meters	square centimeters	square centimeters	square milimeters	square inches	square inches	square milimeters	square feet
																	
%(heading1)%	Base of %(geoName)%	Base	Base	Base of %(geoName)%	Base of %(geoName)%	Base of %(geoName)%	Base of %(geoName)%	Base of your choice for %(geoName)%	Base of %(geoName)%	Base of %(geoName)%	Base of %(geoName)%	Base	Base of %(geoName)%	Base #1	Base of %(geoName)%	Base of %(geoName)%	Base of %(geoName)%
%(heading2)%	Height of %(geoName)%	Side adjacent to the base	Side adjacent to the base	Height of %(geoName)%	Height of %(geoName)%	Height of %(geoName)%	Height of %(geoName)%	Only known Height for %(geoName)%	Height of %(geoName)%	Height of %(geoName)%	Height of %(geoName)%	Side adjacent to the base	Height of %(geoName)%	Height #1 (perpend. to base 1)	Height of %(geoName)%	Height of %(geoName)%	Height of %(geoName)%
%(heading3)%	Area of Parallelogram %(geoName)%	Other base	Perimeter of parallelogram %(geoName)%	Area of Parallelogram %(geoName)%	Area of Parallelogram %(geoName)%	Area of Parallelogram %(geoName)%	Area of triangle %(geoName)%	Area of Parallelogram %(geoName)%	Area of Parallelogram %(geoName)%	Area of triangle %(geoName)%	Area of triangle %(geoName)%	Height	Base of CUKI	Base #2	Area of triangle %(geoName)%	Area of Parallelogram %(geoName)%	Perimeter of parallelogram %(geoName)%
%(heading4)%	-	Other side adjacent to the base	-	-	-	-	-	-	-	-	-	Perimeter	Height of CUKI	Height #2 (perpend. to base 2)	-	-	Area of parallelogram %(geoName)%
%(heading5)%	-	Perimeter of parallelogram %(geoName)%	-	-	-	-	-	-	-	-	-	Area	Area of parallelogram %(geoName)% or CUKI	Area of parallelogram %(geoName)%	-	-	-
%(rowLabel2)%	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Graph A Labels	Q1 Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels
%(rowLabel3)%	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1	Question 1
%(rowLabel4)%	Question 2	Expression	Expression	-	Question 2	Question 2	-	Graph B Labels	Q2 Diagram Labels	-	-	Question 2	Question 2	Question 2	-	Question 2	-
%(rowLabel5)%	Question 3	-	-	-	Question 3	Question 3	-	Question 2	Question 2	-	-	Question 3	-	Question 3	-	Question 3	-
																	
%(unit1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%
%(unit2)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%
%(unit3)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt1)%
%(unit4)%	-	%(unt1)%	-	-	-	-	-	-	-	-	-	%(unt1)%	%(unt1)%	%(unt1)%	-	-	%(unt2)%
%(unit5)%	-	%(unt1)%	-	-	-	-	-	-	-	-	-	%(unt2)%	%(unt2)%	%(unt2)%	-	-	-
																	
%(autoa)%	col1.Question0a	col1.Question2a	col1.Question0a	col1.Question0a	col1.Question0a	x	col1.Question0a	col1.Question0a	x	col1.Question0a	x	col1.Question0a	x	col1.Question0a	x	x	col1.Question0a
%(autob)%	col2.Question0b	col2.Question2b	col2.Question0b	col2.Question0b	col2.Question0b	x	col2.Question0b	col2.Question0b	x	x	x	col2.Question0b	x	col3.Question0c	x	x	col2.Question0b
%(autoc)%	col3.Question0c	x	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col3.Question0c	col5.Question0e	col3.Question0c	col3.Question0c	col3.Question0c
%(autod)%	x	x	x	x	x	x	x	col3.Question2c	col3.Question2c	x	x	col4.Question0d	col4.Question0d	col4.Question1d	x	x	col4.Question0d
%(autoe)%	x	col5.Question0e	x	x	x	x	x	x	x	x	x	col5.Question0e	col5.Question0e	col1.Question2a	x	x	x
%(autoAnsa)%	%(Ans1_a)%	%(Ans3_a)%	%(Ans1_a)%	%(Ans1_a)%	%(Ans1_a)%	x	%(Ans1_a)%	%(Ans1_a)%	x	%(Ans1_a)%	x	%(Ans1_a)%	x	%(Ans1_a)%	x	x	%(Ans1_a)%
%(autoAnsb)%	%(Ans1_b)%	%(Ans3_b)%	%(Ans1_b)%	%(Ans1_b)%	%(Ans1_b)%	x	%(Ans1_b)%	%(Ans1_b)%	x	x	x	%(Ans1_b)%	x	%(Ans1_c)%	x	x	%(Ans1_b)%
%(autoAnsc)%	---	x	---	---	---	---	---	---	---	---	---	%(Ans1_c)%	%(Ans1_c)%	---	---	---	---
%(autoAnsd)%	x	x	x	x	x	x	x	---	---	x	x	---	%(Ans1_d)%	x	x	x	---
%(autoAnse)%	x	---	x	x	x	x	x	x	x	x	x	---	---	x	x	x	x
																	
%(r0c1)%	0	1	0	0	0	1	0	0	1	0	1	0	1	0	1	1	0
%(r0c2)%	0	1	0	0	0	1	0	0	1	1	1	0	1	1	1	1	0
%(r0c3)%	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
%(r0c4)%	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
																	
%(r1c1)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c2)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c3)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c4)%	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
%(r1c5)%	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
																	
%(r2c1)%	1	0	1	0	1	1	0	1	1	0	0	1	1	0	0	1	0
%(r2c2)%	1	0	1	0	1	1	0	1	1	0	0	1	1	1	0	1	0
%(r2c3)%	1	1	1	0	1	1	0	0	0	0	0	1	1	1	0	1	0
%(r2c4)%	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
%(r2c5)%	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
																	
%(r3c1)%	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0
%(r3c2)%	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0
%(r3c3)%	1	0	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0
%(r3c4)%	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
%(r3c5)%	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
																	
																	
%(Base1_alt)%	-	-	-	-	-	KL	-	-	LD	-	-	-	IM	-	-	ST	-
%(Base2_alt)%	-	-	-	-	-	-	-	NI	ND	-	-	-	-	-	-	-	-
																	
%(labelAns_exp1)%	-	%(Ans1_a)%	-	-	-	%(Ans1_a)%|MJ|%(Base1_alt)%|LK	-	-	%(Ans1_a)%|NA|%(Base1_alt)%|DL	-	%(Ans1_a)%|VE	-	%(Ans1_a)%|KL|%(Base1_alt)%|MI	-	%(Ans1_a)%|IH	%(Ans1_a)%|LA|%(Base1_alt)%|TS	-
%(labelAns_exp2)%	-	%(Ans1_b)%	-	-	-	%(Ans1_b)%|LN	-	-	%(Ans1_b)%|DB	%(Ans1_b)%|EK	%(Ans1_b)%|VM	-	%(Ans1_b)%|JI	%(Ans1_b)%|GA	%(Ans1_b)%|JG	%(Ans1_b)%|QS	-
%(labelAns_exp3)%	-	%(Ans1_c)%	---	---	---	-	-	%(Ans1_c)%|PS|%(Base2_alt)%|IN	%(Ans1_c)%|LA|%(Base2_alt)%|DN	-	-	-	-	-	---	---	-
%(labelAns_exp4)%	-	%(Ans1_d)%	x	x	x	-	-	%(Ans1_d)%|TS	%(Ans1_d)%|CA	-	-	-	-	%(Ans1_d)%|GB	x	x	-
																	
%(labelBug-selectiona)%	-	col1.Question2a	col1.Question2a	-	-	col1.Question0a	-	col1.Question2a	col1.Question0a	col2.Question0b	col1.Question0a	-	col2.Question0b	col2.Question0b	col1.Question0a	col1.Question0a	-
%(labelBug-selectionb)%	-	col2.Question2b	col2.Question2b	-	-	col1.Question0a	-	col2.Question2b	col2.Question0b	col2.Question0b	col1.Question0a	-	col1.Question0a	col4.Question0d	col1.Question0a	col1.Question0a	-
%(labelBug-selectionc)%	-	-	-	-	-	col2.Question0b	-	col1.Question2a|col2.Question2b	col2.Question2b	-	col2.Question0b	-	col1.Question0a	col2.Question0b|col4.Question0d	col2.Question0b	col2.Question0b	-
%(labelBug-inputa)%	-	[tT]	[tT]	-	-	NL|LN	-	SN|NS|IP|PI	AL|LA|ND|DN	WE|EW	VO|OV|EO|OE	-	LK|KL|MI|IM	BG|GB	GI|IG|GH|HG	SA|AS|TL|LT	-
%(labelBug-inputb)%	-	[sS]	[sS]	-	-	JK|KJ|ML|LM	-	IJ|JI	AC|CA	KW|WK|SK|KS	MO|OM	-	IJ|JI	AG|GA	GJ|JG	SQ|QS	-
%(labelBug-inputc)%	-	-	-	-	-	JM|MJ|KL|LK	-	TN|NT|NJ|JN	BD|DB	-	MO|OM	-	IL|LI|MK|KM	FB|BF|OA|AO	GI|IG|GH|HG|HI|IH	QA|AQ	-
%(labelBug-msga)%	-	"Wrong. You should enter expression that represents the base.""T"" represents the side adjacent the base."	"Wrong. You should enter expression that represents the base.""T"" represents the side adjacent the base."	-	-	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side CAN be a base, but that is not the side your partner measured for question 1. Make sure you use the base with a known length if you want to calculate the area of %(geoName)%"	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the WE is KE, but KE is not a base because it is not a side of %(geoName)%. "	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-	"That side may look like a height because it is vertical, but is there a base perpendicular to it? Remember, it is base that MUST be a side of a parallelogram, not heights!"	Wrong. That CAN be a height but you must find a height that is perpendicular to base #1. Base #1 is %(Ans1_a)%; which height is perpendicular to this base?	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-
%(labelBug-msgb)%	-	"Wrong. You should enter expression that represents the side adjacent ot the base.""S"" represents the base."	"Wrong. You should enter expression that represents the side adjacent ot the base.""S"" represents the base."	-	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	-	"That side CAN be a height, but for question 2, this height has an unknown length. You must use the height with a known length in order to find the area of %(geoName)%"	You don't want to use that height! You must use the height that is perpendicular to the base your partner measured! The height you entered is perpendicular to AL and ND.	The side you entered cannot be a height; it doesn't have any side perpendicular to it.	"No, MO cannot be a base. Remember, only a side of the geometry can be a base. Dotted-lines indicate guidelines, not an actual side."	-	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	Wrong. That CAN be a height but you must find a height that is perpendicular to base #2. Base #2 is %(Ans1_c)%; which height is perpendicular to this base?	"No, GJ cannot be a base. Remember, only a side of the geometry can be a base. Dotted-lines indicate guidelines, not an actual side."	"That side may look like a base because it is horizontal, but is there a base MUST be a side of a parallelogram!"	-
%(labelBug-msgc)%	-	-	-	-	-	"That side may look like a height because it is vertical, but is there a base perpendicular to it? Remember, it is base that MUST be a side of a parallelogram, not heights!"	-	"The side you entered is neither a base or a height. It is not a side of a parallelogram, and it does not have a base(a side of a parallelogram) perpendicular to it!"	You don't want to use that height! You must use the height that is perpendicular to the base your partner measured! The height you entered is perpendicular to AN and LD.	-	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the MO is MV, but MV is not a base because it is not a side of %(geoName)%. "	-	"That side CAN be a base, but it does not have a height perpendicular to it; this is bad because you can't calculate the area with it! Please choose a base that has a height perpendicular to it. "	"That side may look like a height, but the only segment perpendicular to it is a dotted-line segment; that cannot be a base! Base MUST be a side of the parallelogram."	The side you entered cannot be a height; it doesn't have any side perpendicular to it.	"That side may look like a height, but is there a base perpendicular to it? The only segment perpendicular to the QA is SQ, but SQ is not a base because it is not a side of %(geoName)%. "	-
																	
%(segBug-selection-all)%	-	-	-	-	-	col1.Question1a|col1.Question2a|col2.Question1b|col2.Question3b	col1.Question1a|col2.Question1b	col1.Question1a|col1.Question3a|col2.Question1b|col2.Question3b	col1.Question1a|col1.Question3a|col2.Question1b|col2.Question3b	col1.Question1a|col2.Question1b	col1.Question1a|col2.Question1b	col1.Question1a|col1.Question2a|col2.Question1b|col2.Question2b|col2.Question3b|col3.Question1c|col3.Question3c	col1.Question1a|col1.Question2a|col2.Question1b|col2.Question2b|col3.Question2c|col4.Question1d	col1.Question1a|col1.Question2a|col2.Question1b|col2.Question2b|col2.Question3b|col3.Question1c|col3.Question3c|col4.Question2d	col1.Question1a|col2.Question1b|	col1.Question1a|col1.Question3a|col2.Question1b|col2.Question2b	-
																	
%(Ans1_a)%	ED	AE	FE	FA	RO	JM	AC	SN	AN	SW	EV	NT	LK	RO	HI	AL	HO
%(Ans1_b)%	BC	AB	FI	FS	OP	NL	DC	IJ	BD	KE	MV	NE	IJ	AG	GJ	SQ	NM
%(Ans1_c)%	---	BD	---	---	---	---	---	SP	AL	---	---	MN	IK	FR	---	---	---
%(Ans1_d)%	x	ED	x	x	x	x	x	ST	AC	x	x	---	UV	BG	x	x	---
																	
%(Ans2_a)%	5	6	6	8	40	7.2	7.1	3	10	10	6.9	5.5	90	27	8.5	0.15	24
%(Ans2_b)%	3	14	4.5	3	12	6	5	5.5	16	20	5.5	9	60	9.5	16.4	0.35	17
%(Ans2_c)%	15	6	21	24	480	43.2	35.5	16.5	160	100	18.975	6	540	9	139.4	0.0525	96
%(Ans2_d)%	-	14	-	-	-	-	-	-	-	-	-	29	10	x	-	-	408
%(Ans2_e)%	-	40	-	-	-	-	-	-	-	-	-	33	5400	256.5	-	-	-
																	
%(Ans3_a)%	9	S	[sS]	-	10	6	-	%(labelAns_exp3)%	%(labelAns_exp3)%	-	-	10	15	x	-	2	-
%(Ans3_b)%	10	T	[tT]	-	7.2	4	-	%(labelAns_exp4)%	%(labelAns_exp4)%	-	-	12	20	6	-	1.7	-
%(Ans3_c)%	90	S	2*(S+T)	-	72	24	-	---	---	-	-	5	50	9	-	3.4	-
%(Ans3_d)%	-	T	-	-	-	-	-	-	-	-	-	44	6	10	-	-	-
%(Ans3_e)%	-	2*(S+T)	-	-	-	-	-	-	-	-	-	50	300	90	-	-	-
																	
%(Ans4_a)%	5	-	-	-	15	12	-	6.6	9	-	-	16.5	-	5	-	2	-
%(Ans4_b)%	6	-	-	-	3	8	-	2.5	12	-	-	7	-	1.4	-	2.1	-
%(Ans4_c)%	30	-	-	-	45	96	-	16.5	108	-	-	6	-	2	-	4.2	-
%(Ans4_d)%	-	-	-	-	-	-	-	-	-	-	-	40	-	3.5	-	-	-
%(Ans4_e)%	-	-	-	-	-	-	-	-	-	-	-	99	-	7	-	-	-
																	
%(Ans1a_hint1)%	-	-	-	-	-	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. You can start by finding a perpendicular pair of segments. "	-	-	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. But since you want to calculate %(geoName)%'s area, it is better to choose a side with a known length. "	-	"The triangle's base should be perpendicular to the height. This means, you can find the base by looking for a pair of perpendicular segments."	-	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. You can start by finding a perpendicular pair of segments. "	-	"The triangle's base should be perpendicular to the height. This means, you can find the base by looking for a pair of perpendicular segments."	"Did you know? On a parallelogram, ANY side can be a ""base"" as long as it is perpendicular to a height. You can start by finding a perpendicular pair of segments. "	-
%(Ans1a_hint2)%	-	-	-	-	-	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the base?"	-	-	Your partner measured only one side according to Question1. That means you can only use the length of that side to calculate the area. What is the side your partner measured?	-	"There are small squares on point V and M. The small square at point V describe that EV and MV are a perpendicular pair, and the small sqaure at point M describes that VM and MO are a perpendicular pair. "	-	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the base?"	-	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the base?"	"Notice a tiny square on the point where %(Ans1_a)% and %(Ans1_b)% meet. This means they are perpendicular to each other. Now, which one is the base?"	-
%(Ans1a_hint3)%	-	-	-	-	-	Base must be a side of a parallelogram! Which segment is a side of the parallelogram %(geoName)%? %(Ans1_a)% or %(Ans1_b)%?	-	-	"Your partner only measured %(Ans1_a)%, but if you don't like that side, you can also use %(Base1_alt)% as your base. Parallel segment pairs on a parallelograms have the same length, and are perpendicular to the same height!"	-	"MO is not a side a of a triangle, so the perpendicular pair VM and MO is useless! You should use the perpendicular pair EV and MV to find which segment is the base."	-	Base must be a side of a parallelogram! Which segment is a side of the parallelogram %(geoName)%? %(Ans1_a)% or %(Ans1_b)%?	-	Base must be a side of a triangle! Which segment is a side of the triangle %(geoName)%? %(Ans1_a)% or %(Ans1_b)%?	Base must be a side of a parallelogram! Which segment is a side of the parallelogram %(geoName)%? %(Ans1_a)% or %(Ans1_b)%?	-
