Problem Name	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9
%(Label2)%	Taneesha's age	Chaz's distance	The total cost	The height of Acme Building	The distance Huck has painted	The number of cartons	The amount of each person's share	Temperature in Los Angeles	Distance traveled by airliner
%(UnitLabel1)%	years	feet	pizzas	stories	feet	eggs	dollars	degrees Farenheit	miles
%(UnitLabel2)%	years	feet	dollars	stories	feet	cartons	dollars	degrees Farenheit	miles
%(quan1)%	Ben's age	Nikki's distance	the number of pizzas	the height of the Stilt Tower	the distance Tom has painted	the number of eggs	the amount of money they will win	the temperature in San Francisco	the distance traveled by a bus
%(quan2)%	Taneesha's age	Chaz's distance	the total cost	the height of the Acme Building	the distance Huck has painted	the number of cartons	the amount of each person's share	the temperature in Los Angeles	the distance traveled by an airliner
%(unit1)%	 years	 feet		 stories	 feet		 dollars	 degrees Farenheit	 miles
%(unit2)%	 years	 feet	 dollars	 stories	 feet		 dollars	 degrees Farenheit	 miles
									
%(Ans11)%	12	20	2	5	10	12	10000	42	50
%(WorkOut1)%	12/10	20+8	2*9	5+3	10/5	12/12	10000/4	42+16	50*5
%(HintWorkout1)%	"Since you want Taneesha's age, you need to subtract 10 from Ben's age."	"Since you want to know how far Chaz is from the front of the line, you need to add 8 to Nikki's distance. "	"Since you want the total cost of the pizzas, you need to multiply the number of pizzas by 9."	"Since you want the height of the Acme Building, you need to add 3 to the height of the Stilt Tower."	"Since you want the distance Huck has painted, you need to subtract the distance Tom has painted by 5."	"Since you want the number of cartons, you need to divide the number of eggs by 12."	"Since you want to know each person's share of the prize money, you need to divide the total amount by 4."	"Since you want to know the temperature of Los Angeles, you need to add 16 degrees to the temperature of San Francisco."	"Since you want to know the distance covered by an airliner, you need to multiply the distance covered by a bus by 5."
%(Ans12)%	2	28	18	8	5	1	2500	58	250
%(Ans21)%	20	16	4	7	12	60	30000	63	125
%(WorkOut2)%	20-10	16+8	4*9	7+3	12/5	60/12	30000/4	63+16	125*5
%(Ans22)%	10	24	36	10	7	5	7500	79	625
%(Exp1)%	-10	8	*9	3	-5	/12	/4	16	*5
%(HintExp1-1)%	"When Ben's age was 12, you used '12-10' to find Taneesha's age. When Ben's age is <%=link13.input%>, how do you find Taneesha's age?"	"When Nikki's distance from the front line was 20, you used '20+8' to find Chaz's distance. When Nikki's distance is <%=link13.input%>, how do you find Chaz's distance?"	"When the number of pizzas was 2, you used '9*2' to find  the total cost of the pizzas. When the number of pizzas is <%=link13.input%>, how do you find the total cost?"	"When the height of the Stilt Tower was 5, you used '5+3' to find the height of the Acme Building. When the height of the Stilt Tower is <%=link13.input%>, how do you find the height of the Acme Tower?"	"When the distance Tom has painted was 10, you used '10-5' to find the distance Huck would have painted. When the distance Tom has painted is <%=link13.input%>, how do you find the distance Huck has painted?"	"When the number of eggs was 60, you used '60/12' to find the number of cartons required. When the number of eggs is <%=link13.input%>, how do you find the number of cartons?"	"When the group won $10000, you used '10000/4' to find each person's share. When the prize money is represented by <%=link13.input%>, how do you find each person's share?"	"When the temperature of San Francisco was 42 degress, you used '42+16' to find the temperature of Los Angeles. When the temperature is <%=link13.input%>, how do you find temperature of Los Angeles?"	"When the distance covered by a bus was 50 miles, you used '50*5' to find the distance covered by an airliner. When the distance covered by a bus is <%=link13.input%>, how do you find the distance covered by an airliner?"
%(HintExp1-2)%	"If Ben's age is 12, then Taneesha's age is '12-10'. Now Ben's age is <%=link13.input%>, so use <%=link13.input%> instead of 12 in the expression '12-10'."	"If Nikki's distance  is 20, then Chaz's distance is '20+8'. Now Nikki's distance is <%=link13.input%>, so use <%=link13.input%> instead of 20 in the expression '20+8'."	"If the number of pizzas is 2 then the total cost is '9*2'. Now the number of pizzas is <%=link13.input%>, so use <%=link13.input%> instead of 2 in the expression '9*2'."	"If the height of the Stilt Tower is 5 then the height of the Acme Building is '5+3'. Now the height of the Stilt Tower is <%=link13.input%>, so use <%=link13.input%> instead of 5 in the expression '5+3'."	"If the distance Tom has painted is 10 then the distance Huck has painted is '10-5'. Now the distance Tom has painted is <%=link13.input%>, so use <%=link13.input%> instead of 10 in the expression '10-5'."	"If the number of eggs is 60 then the number of cartons required is '60/12'. Now the number of eggs is <%=link13.input%>, so use <%=link13.input%> instead of 60 in the expression '60/12'."	"If the group won $10000 then each person would get $'10000/4'. Now the prize money is represented by <%=link13.input%>, so use <%=link13.input%> instead of 10000 in the expression '10000/4'."	"If the temperature of San Francisco is 42 degrees then the temperature of Los Angeles is '42+16'. Now the temperature of San Francisco is <%=link13.input%>, so use <%=link13.input%> instead of 42 in the expression '42+16'."	"If the distance covered by a bus is 50 miles then the distance covered by an airliner '50*5'. Now the distance covered by a bus is <%=link13.input%>, so use <%=link13.input%> instead of 50 in the expression '50*5'."
%(Ans31)%	5	14	27	12	10	20	3000	86	350
%(WorkOut3)%	5+10	14-8	27/9	12/3	10+5	20*12	3000*4	86-16	350/5
%(HintWorkout3)%	"Since you want Ben's age, you need to add 10 to Taneesha's age."	"Since you want to know how far Nikki is from the front of the line, you need to subtract 8 from Chaz's distance. "	"Since you want the number of the pizzas, you need to divide the amount of money by 9."	Since you want the height of the Stilt Tower you need to subtract 3 from the height of the Acme Building.	"Since you want the distance Tom has painted, you need to add 5 to the distance Huck has painted."	"Since you want the number of eggs, you need to multiply the number of cartons by 12."	"Since you want to know the total amount of the prize money, you want to multiply one person's share by 4."	"Since you want to know the temperature of San Francisco, you need to subtract 16 degrees from the temperature of Los Angeles."	"Since you want to know the distance covered by a bus,  you need to divide the distance covered by the airliner by 5."
%(Ans32)%	15	6	3	9	15	240	12000	70	70
%(Ans41)%	16	9	45	14	20	100	5000	98	500
%(WorkOut4)%	16+10	9/8	45/9	14-3	20+5	100*12	5000*4	98-16	500/5
%(Ans42)%	26	1	5	11	25	1200	20000	82	100
