Problem Name	GCF-16_24	GCF-6_28	GCF-8_44	GCF-9_21	GCF-13_26	GCF-15_45	GCF-18_24	GCF-20_30	GCF-25_75	GCF-27_45	GCF-30_56	GCF-36_39
%(Hint11-2)%	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?
%(Hint11-3)%												
%(Hint11-4)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(Fac11-ErrOrder)%	16|2|8|%(Fac31)%|%(Fac32)%	6|2|3	8|2|4	9|3|3	13	15|3|5	18|2|9|%(Fac31)%|%(Fac32)%	20|2|10|%(Fac31)%|%(Fac32)%	25|5|5	27|3|9	30|2|15|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%	36|2|18|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac12)%	16	6	8	9	13	15	18	20	25	27	30	36
%(Hint12-1)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(Hint12-2)%	What number multiplied by 1 gives you 16?	What number multiplied by 1 gives you 6?	What number multiplied by 1 gives you 8?	What number multiplied by 1 gives you 9?	What number multiplied by 1 gives you 13?	What number multiplied by 1 gives you 15?	What number multiplied by 1 gives you 18?	What number multiplied by 1 gives you 20?	What number multiplied by 1 gives you 25?	What number multiplied by 1 gives you 27?	What number multiplied by 1 gives you 30?	What number multiplied by 1 gives you 36?
%(Hint12-3)%												
%(Hint12-4)%	Please enter '16' in the highlighted field.	Please enter '6' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '27' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '36' in the highlighted field.
%(Fac12-ErrOrder)%	1|2|8|%(Fac31)%|%(Fac32)%	1|2|3	1|2|4	1|3|3	1	1|3|5	1|2|9|%(Fac31)%|%(Fac32)%	1|2|10|%(Fac31)%|%(Fac32)%	1|5|5	1|3|9	1|2|15|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%	1|2|18|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac21)%	2	2	2	3		3	2	2	5	3	2	2
%(Hint21-1)%	Is 16 an even number?	Is 6 an even number?	Is 8 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.		When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is 18 an even number?	Is 20 an even number?	If a number ends in 5, it is divisible by 5. Does 25 end in 5?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is 30 an even number?	Is the 36 an even number?
%(Hint21-2)%	Since 16 is an even number, what is the next smallest factor after 1?	Since 6 is an even number, what is the next smallest factor after 1?	Since 8 is an even number, what is the next smallest factor after 1?	Since the digits add up to a multiple of 3, what is a possible factor?		Since the digits add up to a multiple of 3, what is a possible factor?	Since 18 is an even number, what is the next smallest factor after 1?	Since 20 is an even number, what is the next smallest factor after 1?	Since 25 ends in 5, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since 30 is an even number, what is the next smallest factor after 1?	Since 36 is an even number, what is the next smallest factor after 1?
%(Hint21-3)%												
%(Hint21-4)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.		Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.
%(R2C1-TRAVERSAL)%	1	1	1	1	0	1	1	1	1	1	1	1
%(Fac21-ErrOrder)%	1|16|8|%(Fac31)%|%(Fac32)%	1|6|3	1|8|4	1|9|3		1|15|5	1|18|9|%(Fac31)%|%(Fac32)%	1|20|10|%(Fac31)%|%(Fac32)%	1|25|5	1|27|9	1|30|15|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%	1|36|18|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac22)%	8	3	4	3		5	9	10	5	9	15	18
%(Hint22-1)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.		Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(Hint22-2)%	What number multiplied by 2 gives you 16?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	What number multiplied by 3 gives you 9?		What number multiplied by 3 gives you 15?	What number multiplied by 2 gives you 18?	What number multiplied by 2 gives you 20?	What number multiplied by 5 gives you 25?	What number multiplied by 3 gives you 27?	What number multiplied by 2 gives you 30?	What number multiplied by 2 gives you 36?
%(Hint22-3)%		Since the digits add up to a multiple of 3, what is a possible factor?										
%(Hint22-4)%	Please enter '8' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.		Please enter '5' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '18' in the highlighted field.
%(R2C2-TRAVERSAL)%	1	1	1	1	0	1	1	1	1	1	1	1
%(Fac22-ErrOrder)%	1|16|2|%(Fac31)%|%(Fac32)%	1|6|2	1|8|2	1|9|3		1|15|3	1|18|2|%(Fac31)%|%(Fac32)%	1|20|2|%(Fac31)%|%(Fac32)%	1|25|5	1|27|3	1|30|2|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%	1|36|2|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac31)%	4	 	 	 	 	 	3	4	 	 	3	3
%(Hint31-1)%	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.						When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.			When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.
%(Hint31-2)%							Since the digits add up to a multiple of 3, what is a possible factor?				Since the digits add up to a multiple of 3, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?
%(Hint31-3)%												
%(Hint31-4)%	Please enter '4' in the highlighted field.						Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.			Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.
%(R3C1-TRAVERSAL)%	1	0	0	0	0	0	1	1	0	0	1	1
%(Fac31-ErrOrder)%	1|16|2|%(Fac22)%|%(Fac32)%						1|18|2|%(Fac22)%|%(Fac32)%	1|20|2|%(Fac22)%|%(Fac32)%			1|30|2|%(Fac22)%|%(Fac32)%|%(Fac41)%|%(Fac42)%	1|36|2|%(Fac22)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac32)%	4	 	 	 	 	 	6	5	 	 	10	12
%(Hint32-1)%	Use your previous entry to figure out what this factor will be.						Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.			Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(Hint32-2)%	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.						What number multiplied by 3 gives you 18?	What number multiplied by 4 gives you 20?			What number multiplied by 3 gives you 30?	What number multiplied by 3 gives you 36?
%(Hint32-3)%												
%(Hint32-4)%	Please enter '4' in the highlighted field.						Please enter '6' in the highlighted field.	Please enter '5' in the highlighted field.			Please enter '10' in the highlighted field.	Please enter '12' in the highlighted field.
%(R3C2-TRAVERSAL)%	1	0	0	0	0	0	1	1	0	0	1	1
%(Fac32-ErrOrder)%	1|16|2|%(Fac22)%|%(Fac31)%						1|18|2|%(Fac22)%|%(Fac31)%	1|20|2|%(Fac22)%|%(Fac31)%			1|30|2|%(Fac22)%|%(Fac31)%|%(Fac41)%|%(Fac42)%	1|36|2|%(Fac22)%|%(Fac31)%|%(Fac41)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac41)%	 	 	 	 	 	 	 	 	 	 	5	4
%(Hint41-1)%											If a number ends in 5, it is divisible by 5. Does 30 end in 5?	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.
%(Hint41-2)%											Since 30 ends in 5, what is a possible factor?	
%(Hint41-3)%												
%(Hint41-4)%											Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.
%(R4C1-TRAVERSAL)%	0	0	0	0	0	0	0	0	0	0	1	1
%(Fac41-ErrOrder)%											1|30|2|%(Fac22)%|%(Fac31)%|%(Fac32)%|%(Fac42)%	1|36|2|%(Fac22)%|%(Fac31)%|%(Fac32)%|%(Fac42)%|%(Fac51)%|%(Fac52)%
%(Fac42)%	 	 	 	 	 	 	 	 	 	 	6	9
%(Hint42-1)%											Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(Hint42-2)%											What number multiplied by 5 gives you 30?	What number multiplied by 4 gives you 36?
%(Hint42-3)%												
%(Hint42-4)%											Please enter '6' in the highlighted field.	Please enter '9' in the highlighted field.
%(R4C2-TRAVERSAL)%	0	0	0	0	0	0	0	0	0	0	1	1
%(Fac42-ErrOrder)%											1|30|2|%(Fac22)%|%(Fac31)%|%(Fac32)%|%(Fac41)%	1|36|2|%(Fac22)%|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac51)%|%(Fac52)%
%(Fac51)%												6
%(Hint51-1)%												Since this number is divisible by 2 and 3, then what could be another possible factor?
%(Hint51-2)%												Multiply 2 and 3 and check if that number is a possible factor of 36.
%(Hint51-3)%												
%(Hint51-4)%												Please enter '6' in the highlighted field.
%(R5C1-TRAVERSAL)%	0	0	0	0	0	0	0	0	0	0	0	1
%(Fac51-ErrOrder)%												1|36|2|%(Fac22)%|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac52)%
%(Fac52)%												6
%(Hint52-1)%												Use your previous entry to figure out what this factor will be.
%(Hint52-2)%												What number multiplied by 6 gives you 36?
%(Hint52-3)%												
%(Hint52-4)%												Please enter '6' in the highlighted field.
%(R5C2-TRAVERSAL)%	0	0	0	0	0	0	0	0	0	0	0	1
%(Fac52-ErrOrder)%												1|36|2|%(Fac22)%|%(Fac31)%|%(Fac32)%|%(Fac41)%|%(Fac42)%|%(Fac51)%
												
%(Fac13)%	1	1	1	1	1	1	1	1	1	1	1	1
%(Hint13-1)%	Enter a factor of 24. Start with the smallest one.	Enter a factor of 28. Start with the smallest one.	Enter a factor of 44. Start with the smallest one.	Enter a factor of 21. Start with the smallest one.	Enter a factor of 26. Start with the smallest one.	Enter a factor of 45. Start with the smallest one.	Enter a factor of 24. Start with the smallest one.	Enter a factor of 30. Start with the smallest one.	Enter a factor of 75. Start with the smallest one.	Enter a factor of 45. Start with the smallest one.	Enter a factor of 56. Start with the smallest one.	Enter a factor of 39. Start with the smallest one.
%(Hint13-2)%	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?	What is the smallest possible factor and is also a common factor for all numbers?
%(Hint13-3)%												
%(Hint13-4)%	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '1' in the highlighted field.
%(Fac13-ErrOrder)%	24|2|12|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	28|2|14|%(Fac33)%|%(Fac34)%	44|2|22|%(Fac33)%|%(Fac34)%	21|3|7	26|2|13	45|3|15|%(Fac33)%|%(Fac34)%	24|2|12|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	30|2|15|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	75|3|25|%(Fac33)%|%(Fac34)%	45|3|15|%(Fac33)%|%(Fac34)%	56|2|28|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	39|3|13
%(Fac14)%	24	28	44	21	26	45	24	30	75	45	56	39
%(Hint14-1)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(Hint14-2)%	What number multiplied by 1 gives you 24?	What number multiplied by 1 gives you 28?	What number multiplied by 1 gives you 44?	What number multiplied by 1 gives you 21?	What number multiplied by 1 gives you 26?	What number multiplied by 1 gives you 45?	What number multiplied by 1 gives you 24?	What number multiplied by 1 gives you 30?	What number multiplied by 1 gives you 75?	What number multiplied by 1 gives you 45?	What number multiplied by 1 gives you 56?	What number multiplied by 1 gives you 39?
%(Hint14-3)%												
%(Hint14-4)%	Please enter '24' in the highlighted field.	Please enter '28' in the highlighted field.	Please enter '44' in the highlighted field.	Please enter '21' in the highlighted field.	Please enter '26' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '24' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '75' in the highlighted field.	Please enter '45' in the highlighted field.	Please enter '56' in the highlighted field.	Please enter '39' in the highlighted field.
%(Fac14-ErrOrder)%	1|2|12|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|2|14|%(Fac33)%|%(Fac34)%	1|2|22|%(Fac33)%|%(Fac34)%	1|3|7	1|2|13	1|3|15|%(Fac33)%|%(Fac34)%	1|2|12|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|2|15|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|3|25|%(Fac33)%|%(Fac34)%	1|3|15|%(Fac33)%|%(Fac34)%	1|2|28|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|3|13
%(Fac23)%	2	2	2	3	2	3	2	2	3	3	2	3
%(Hint23-1)%	Is the 24 an even number?	Is the 28 an even number?	Is the 44 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is the 26 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is the 24 an even number?	Is the 30 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Is the 56 an even number?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.
%(Hint23-2)%	Since the 24 is even, what is a possible factor?	Since the 28 is even, what is a possible factor?	Since the 44 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the 26 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the 24 is even, what is a possible factor?	Since the 30 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the 56 is even, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?
%(Hint23-3)%												
%(Hint23-4)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '3' in the highlighted field.
%(R2C3-TRAVERSAL)%	1	1	1	1	1	1	1	1	1	1	1	1
%(Fac23-ErrOrder)%	1|24|12|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|28|14|%(Fac33)%|%(Fac34)%	1|44|22|%(Fac33)%|%(Fac34)%	1|21|7	1|26|13	1|45|15|%(Fac33)%|%(Fac34)%	1|24|12|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|30|15|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|75|25|%(Fac33)%|%(Fac34)%	1|45|15|%(Fac33)%|%(Fac34)%	1|56|28|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|39|13
%(Fac24)%	12	14	22	7	13	15	12	15	25	15	28	13
%(Hint24-1)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.
%(Hint24-2)%												
%(Hint24-3)%	What number multiplied by 2 gives you 24?	What number multiplied by 2 gives you 28?	What number multiplied by 2 gives you 44?	What number multiplied by 3 gives you 21?	What number multiplied by 2 gives you 26?	What number multiplied by 3 gives you 45?	What number multiplied by 2 gives you 24?	What number multiplied by 2 gives you 30?	What number multiplied by 3 gives you 75?	What number multiplied by 3 gives you 45?	What number multiplied by 2 gives you 56?	What number multiplied by 3 gives you 39?
%(Hint24-4)%	Please enter '12' in the highlighted field.	Please enter '14' in the highlighted field.	Please enter '22' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '13' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '25' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '28' in the highlighted field.	Please enter '13' in the highlighted field.
%(R2C4-TRAVERSAL)%	1	1	1	1	1	1	1	1	1	1	1	1
%(Fac24-ErrOrder)%	1|24|2|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|28|2|%(Fac33)%|%(Fac34)%	1|44|2|%(Fac33)%|%(Fac34)%	1|21|3	1|26|2	1|45|3|%(Fac33)%|%(Fac34)%	1|24|2|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|30|2|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|75|3|%(Fac33)%|%(Fac34)%	1|45|3|%(Fac33)%|%(Fac34)%	1|56|2|%(Fac33)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|39|3
%(Fac33)%	3	4	4			5	3	3	5	5	4	
%(Hint33-1)%	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.			If a number ends in 5, it is divisible by 5. Does 45 end in 5?	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	When you add up the digits of a number and it adds up to a multiple of 3, it is divisible by 3.	If a number ends in 5, it is divisible by 5. Does 75 end in 5?	If a number ends in 5, it is divisible by 5. Does 45 end in 5?	Since you already decided that this number is even, divide the number by 2, then divide that result by 2.  Did you get a whole number?  Then this number is divisible by 4.	
%(Hint33-2)%	Since the digits add up to a multiple of 3, what is a possible factor?					Since 45 ends in 5, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since the digits add up to a multiple of 3, what is a possible factor?	Since 75 ends in 5, what is a possible factor?	Since 45 ends in 5, what is a possible factor?		
%(Hint33-3)%												
%(Hint33-4)%	Please enter '3' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '4' in the highlighted field.			Please enter '5' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '4' in the highlighted field.	
%(R3C3-TRAVERSAL)%	1	1	1	0	0	1	1	1	1	1	1	0
%(Fac33-ErrOrder)%	1|24|2|%(Fac24)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|28|2|%(Fac24)%|%(Fac34)%	1|44|2|%(Fac24)%|%(Fac34)%			1|45|3|%(Fac24)%|%(Fac34)%	1|24|2|%(Fac24)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|30|2|%(Fac24)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	1|75|3|%(Fac24)%|%(Fac34)%	1|45|3|%(Fac24)%|%(Fac34)%	1|56|2|%(Fac24)%|%(Fac34)%|%(Fac43)%|%(Fac44)%	
%(Fac34)%	8	7	11			9	8	10	15	9	14	
%(Hint34-1)%	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.			Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	Use your previous entry to figure out what this factor will be.	
%(Hint34-2)%												
%(Hint34-3)%	What number multiplied by 3 gives you 24?	What number multiplied by 4 gives you 28?	What number multiplied by 4 gives you 44?			What number multiplied by 5 gives you 45?	What number multiplied by 3 gives you 24?	What number multiplied by 3 gives you 30?	What number multiplied by 5 gives you 75?	What number multiplied by 5 gives you 45?	What number multiplied by 4 gives you 56?	
%(Hint34-4)%	Please enter '8' in the highlighted field.	Please enter '7' in the highlighted field.	Please enter '11' in the highlighted field.			Please enter '9' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '14' in the highlighted field.	
%(R3C4-TRAVERSAL)%	1	1	1	0	0	1	1	1	1	1	1	0
