Problem Name	introt1	fadedt2	fadedt3	fadedt4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32
%(sf1_h1)%	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."	"To solve this problem, you first have to find the relationship between the two triangles in the picture. In other words, you need to find the scale factor between %(labelT1)% and %(labelT2)%."
%(sf1_h2)%	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide3)% by to get %(largeSide3)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide3)% by to get %(largeSide3)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide3)% by to get %(largeSide3)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide3)% by to get %(largeSide3)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide3)% by to get %(largeSide3)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(largeSide2)% by to get %(smallSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(largeSide2)% by to get %(smallSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide1)% by to get %(largeSide1)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?	Find the corresponding sides of the two triangles. What do you need to multiply %(smallSide2)% by to get %(largeSide2)%?
%(sf1_h3)%	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide3)% to %(largeSide3)%, so you need to use division to help you find the factor. The answer to %(largeSide3)% divided by %(smallSide3)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide3)% to %(largeSide3)%, so you need to use division to help you find the factor. The answer to %(largeSide3)% divided by %(smallSide3)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide3)% to %(largeSide3)%, so you need to use division to help you find the factor. The answer to %(largeSide3)% divided by %(smallSide3)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide3)% to %(largeSide3)%, so you need to use division to help you find the factor. The answer to %(largeSide3)% divided by %(smallSide3)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide3)% to %(largeSide3)%, so you need to use division to help you find the factor. The answer to %(largeSide3)% divided by %(smallSide3)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(largeSide2)% to %(smallSide2)%, so you need to use division to help you find the factor. The answer to %(smallSide2)% divided by %(largeSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(largeSide2)% to %(smallSide2)%, so you need to use division to help you find the factor. The answer to %(smallSide2)% divided by %(largeSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide1)% to %(largeSide1)%, so you need to use division to help you find the factor. The answer to %(largeSide1)% divided by %(smallSide1)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."	"Please note the problem asks you to use the multiply operation to get from %(smallSide2)% to %(largeSide2)%, so you need to use division to help you find the factor. The answer to %(largeSide2)% divided by %(smallSide2)% is the scale factor."
%(sf1_h4)%	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.	Please enter '%(sf)%' in the highlighted field.
																																
%(solveSide1_value_h1)%	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.
%(solveSide1_value_h2)%	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide1)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide1)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(givenSide1_value)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide1)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide1)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(givenSide2_value)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide2)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT2)%, divide %(largeSide1)% by %(sf)% to solve for the corresponding side in %(labelT1)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."	"Since you are given the measurement of a side of %(labelT1)%, multiply %(smallSide1)% by %(sf)% to solve for the corresponding side in %(labelT2)%."
%(solveSide1_value_h3)%	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.	Please enter '%(solveSide1_value)%' in the highlighted field.
																																
%(solveSide2_value_h1)%	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.	Use the scale factor to solve for this step. You found that %(sf)% is the scale factor between %(labelT1)% and %(labelT2)%.
