Problem Name	00bubble1	00bubble2	01_1	02_2	03_1	04_2	05_1	06_1	07_2	08_2	09_1	10_2	11_1	12_1	13_2	14_2	15_1	16_1	17_2	18_2	19_1	20_2
%(skillName)%	-	-	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1
%(skillLabel)%	-	-	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction less than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1	Work with fraction greater than 1
%(eqSkillName)%	-	-	DivNumLine	IdenEquivFrac	IdenNoneEquivFrac	DivNumLine	DivNumLine	DivNumLine	IdenNoneEquivFrac	IdenNoneEquivFrac	DivNumLine	IdenEquivFrac	DivNumLine	DivNumLine	IdenEquivFrac	IdenNoneEquivFrac	DivNumLine	DivNumLine	IdenEquivFrac	IdenEquivFrac	DivNumLine	IdenNoneEquivFrac
%(eqSkillLabel)%	-	-	Divide the number line	Identify an equivalent fraction	Identify a none-equivalent fraction	Divide the number line	Divide the number line	Divide the number line	Identify a none-equivalent fraction	Identify a none-equivalent fraction	Divide the number line	Identify an equivalent fraction	Divide the number line	Divide the number line	Identify an equivalent fraction	Identify a none-equivalent fraction	Divide the number line	Divide the number line	Identify an equivalent fraction	Identify an equivalent fraction	Divide the number line	Identify a none-equivalent fraction
																						
%(LBound-special)%	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2	-4	-4	-4	-4	-4	-4	-4	-4	-4	-4
%(RBound-special)%	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
%(7622527393479585567)%	"Wrong! You placed -. 2/6 means '2 out of 6 divided parts'. So start at ""0"" and then move over 2 divided parts to the right."	"Wrong! You placed -. 1/6 means '2 out of 6 divided parts'. So start at ""0"" and then move over 2 divided parts to the right."	"Wrong! You placed 1/8. 2/8 means '2 out of 8 divided parts'. So start at ""0"" and then move over 2 divided parts to the right."	"Wrong! You placed 3/12. 4/12 means '4 out of 12 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed 0/3. 1/3 means '1 out of 3 divided parts'. So start at ""0"" and then move over 1 divided parts to the right."	"Wrong! You placed 2/6. 3/6 means '3 out of 6 divided parts'. So start at ""0"" and then move over 3 divided parts to the right."	"Wrong! You placed 4/5. 5/5 means '5 out of 5 divided parts'. So start at ""0"" and then move over 5 divided parts to the right."	"Wrong! You placed 1/4. 2/4 means '2 out of 4 divided parts'. So start at ""0"" and then move over 2 divided parts to the right."	"Wrong! You placed 3/9. 4/9 means '4 out of 9 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed 3/5. 4/5 means '4 out of 5 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed 3/12. 4/12 means '4 out of 12 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed 1/6. 2/6 means '2 out of 6 divided parts'. So start at ""0"" and then move over 2 divided parts to the right."	"Wrong! You placed 13/7. 14/7 means '14 out of 7 divided parts'. So start at ""0"" and then move over 14 divided parts to the right."	"Wrong! You placed 8/6. 9/6 means '9 out of 6 divided parts'. So start at ""0"" and then move over 9 divided parts to the right."	"Wrong! You placed 11/16. 12/16 means '12 out of 16 divided parts'. So start at ""0"" and then move over 12 divided parts to the right."	"Wrong! You placed 6/4. 7/4 means '7 out of 4 divided parts'. So start at ""0"" and then move over 7 divided parts to the right."	"Wrong! You placed 3/3. 4/3 means '4 out of 3 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed 11/9. 12/9 means '12 out of 9 divided parts'. So start at ""0"" and then move over 12 divided parts to the right."	"Wrong! You placed 2/2. 3/2 means '3 out of 2 divided parts'. So start at ""0"" and then move over 3 divided parts to the right."	"Wrong! You placed 20/12. 21/12 means '21 out of 12 divided parts'. So start at ""0"" and then move over 21 divided parts to the right."	"Wrong! You placed 5/4. 6/4 means '6 out of 4 divided parts'. So start at ""0"" and then move over 6 divided parts to the right."	"Wrong! You placed 9/6. 10/6 means '10 out of 6 divided parts'. So start at ""0"" and then move over 10 divided parts to the right."
%(-5969644001277761826)%	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!	Good job!
%(-1934125337180675039)%	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.	Please provide your answer 'No_Value' in the highlighted element.
%(-5528819807356839168)%	"Divide the line appropriately to place the first fraction, 1/3."	"Divide the line appropriately to place the first fraction, 1/3."	"Divide the line appropriately to place the first fraction, 1/4."	"Divide the line appropriately to place the first fraction, 1/3."	"Divide the line appropriately to place the first fraction, 4/6."	"Divide the line appropriately to place the first fraction, 1/2."	"Divide the line appropriately to place the first fraction, 8/8."	"Divide the line appropriately to place the first fraction, 5/10."	"Divide the line appropriately to place the first fraction, 4/12."	"Divide the line appropriately to place the first fraction, 6/10."	"Divide the line appropriately to place the first fraction, 6/18."	"Divide the line appropriately to place the first fraction, 3/9."	"Divide the line appropriately to place the first fraction, 20/10."	"Divide the line appropriately to place the first fraction, 3/2."	"Divide the line appropriately to place the first fraction, 3/4."	"Divide the line appropriately to place the first fraction, 13/8."	"Divide the line appropriately to place the first fraction, 8/6."	"Divide the line appropriately to place the first fraction, 8/6."	"Divide the line appropriately to place the first fraction, 12/8."	"Divide the line appropriately to place the first fraction, 7/4."	"Divide the line appropriately to place the first fraction, 9/6."	"Divide the line appropriately to place the first fraction, 12/9."
%(-6815211159108920222)%	"Divide the line appropriately to place the second fraction, 2/6."	"Divide the line appropriately to place the second fraction, 1/6."	"Divide the line appropriately to place the second fraction, 2/8."	"Divide the line appropriately to place the second fraction, 4/12."	"Divide the line appropriately to place the second fraction, 1/3."	"Divide the line appropriately to place the second fraction, 3/6."	"Divide the line appropriately to place the second fraction, 5/5."	"Divide the line appropriately to place the second fraction, 2/4."	"Divide the line appropriately to place the second fraction, 4/9."	"Divide the line appropriately to place the second fraction, 4/5."	"Divide the line appropriately to place the second fraction, 4/12."	"Divide the line appropriately to place the second fraction, 2/6."	"Divide the line appropriately to place the second fraction, 14/7."	"Divide the line appropriately to place the second fraction, 9/6."	"Divide the line appropriately to place the second fraction, 12/16."	"Divide the line appropriately to place the second fraction, 7/4."	"Divide the line appropriately to place the second fraction, 4/3."	"Divide the line appropriately to place the second fraction, 12/9."	"Divide the line appropriately to place the second fraction, 3/2."	"Divide the line appropriately to place the second fraction, 21/12."	"Divide the line appropriately to place the second fraction, 6/4."	"Divide the line appropriately to place the second fraction, 10/6."
%(-5166532556208710060)%	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."	"No, this is not correct."
%(-7990901258723713130)%	What is the denominator of 1/3? Enter and press OK.	What is the denominator of 1/3? Enter and press OK.	What is the denominator of 1/4? Enter and press OK.	What is the denominator of 1/3? Enter and press OK.	What is the denominator of 4/6? Enter and press OK.	What is the denominator of 1/2? Enter and press OK.	What is the denominator of 8/8? Enter and press OK.	What is the denominator of 5/10? Enter and press OK.	What is the denominator of 4/12? Enter and press OK.	What is the denominator of 6/10? Enter and press OK.	What is the denominator of 6/18? Enter and press OK.	What is the denominator of 3/9? Enter and press OK.	What is the denominator of 20/10? Enter and press OK.	What is the denominator of 3/2? Enter and press OK.	What is the denominator of 3/4? Enter and press OK.	What is the denominator of 13/8? Enter and press OK.	What is the denominator of 8/6? Enter and press OK.	What is the denominator of 8/6? Enter and press OK.	What is the denominator of 12/8? Enter and press OK.	What is the denominator of 7/4? Enter and press OK.	What is the denominator of 9/6? Enter and press OK.	What is the denominator of 12/9? Enter and press OK.
%(-1835459455614566121)%	What is the denominator of 2/6? Enter and press OK.	What is the denominator of 1/6? Enter and press OK.	What is the denominator of 2/8? Enter and press OK.	What is the denominator of 4/12? Enter and press OK.	What is the denominator of 1/3? Enter and press OK.	What is the denominator of 3/6? Enter and press OK.	What is the denominator of 5/5? Enter and press OK.	What is the denominator of 2/4? Enter and press OK.	What is the denominator of 4/9? Enter and press OK.	What is the denominator of 4/5? Enter and press OK.	What is the denominator of 4/12? Enter and press OK.	What is the denominator of 2/6? Enter and press OK.	What is the denominator of 14/7? Enter and press OK.	What is the denominator of 9/6? Enter and press OK.	What is the denominator of 12/16? Enter and press OK.	What is the denominator of 7/4? Enter and press OK.	What is the denominator of 4/3? Enter and press OK.	What is the denominator of 12/9? Enter and press OK.	What is the denominator of 3/2? Enter and press OK.	What is the denominator of 21/12? Enter and press OK.	What is the denominator of 6/4? Enter and press OK.	What is the denominator of 10/6? Enter and press OK.
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(8768984486182556960)%	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?	Where should you place the fraction so that it will be equivalent with the fraction in Line 1?
%(8917255956011883686)%	"Wrong! You placed -. 1/3 means '1 out of 3 divided parts'. So start at ""0"" and then move over 1 divided parts to the right."	"Wrong! You placed -. 1/3 means '1 out of 3 divided parts'. So start at ""0"" and then move over 1 divided parts to the right."	"Wrong! You placed -. 1/4 means '1 out of 4 divided parts'. So start at ""0"" and then move over 1 divided parts to the right."	"Wrong! You placed 0/3. 1/3 means '1 out of 3 divided parts'. So start at ""0"" and then move over 1 divided parts to the right."	"Wrong! You placed 3/6. 4/6 means '4 out of 6 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed -. 1/2 means '1 out of 2 divided parts'. So start at ""0"" and then move over 1 divided parts to the right."	"Wrong! You placed -. 8/8 means '8 out of 8 divided parts'. So start at ""0"" and then move over 8 divided parts to the right."	"Wrong! You placed -. 5/10 means '5 out of 10 divided parts'. So start at ""0"" and then move over 5 divided parts to the right."	"Wrong! You placed 3/12. 4/12 means '4 out of 12 divided parts'. So start at ""0"" and then move over 4 divided parts to the right."	"Wrong! You placed 5/10. 6/10 means '6 out of 10 divided parts'. So start at ""0"" and then move over 6 divided parts to the right."	"Wrong! You placed -. 6/18 means '6 out of 18 divided parts'. So start at ""0"" and then move over 6 divided parts to the right."	"Wrong! You placed 2/9. 3/9 means '3 out of 9 divided parts'. So start at ""0"" and then move over 3 divided parts to the right."	"Wrong! You placed -. 20/10 means '20 out of 10 divided parts'. So start at ""0"" and then move over 20 divided parts to the right."	"Wrong! You placed -. 3/2 means '3 out of 2 divided parts'. So start at ""0"" and then move over 3 divided parts to the right."	"Wrong! You placed 2/4. 3/4 means '3 out of 4 divided parts'. So start at ""0"" and then move over 3 divided parts to the right."	"Wrong! You placed 13/8. 13/8 means '13 out of 8 divided parts'. So start at ""0"" and then move over 13 divided parts to the right."	"Wrong! You placed -. 8/6 means '8 out of 6 divided parts'. So start at ""0"" and then move over 8 divided parts to the right."	"Wrong! You placed -. 8/6 means '8 out of 6 divided parts'. So start at ""0"" and then move over 8 divided parts to the right."	"Wrong! You placed 11/8. 12/8 means '12 out of 8 divided parts'. So start at ""0"" and then move over 12 divided parts to the right."	"Wrong! You placed 6/4. 7/4 means '7 out of 4 divided parts'. So start at ""0"" and then move over 7 divided parts to the right."	"Wrong! You placed -. 9/6 means '9 out of 6 divided parts'. So start at ""0"" and then move over 9 divided parts to the right."	"Wrong! You placed 11/9. 12/9 means '12 out of 9 divided parts'. So start at ""0"" and then move over 12 divided parts to the right."
%(-6598813674675116683)%	"Find spot where 2/6 would be, and click on that spot on this line."	"Find spot where 1/6 would be, and click on that spot on this line."	"Find spot where 2/8 would be, and click on that spot on this line."	"Find spot where 4/12 would be, and click on that spot on this line."	"Find spot where 1/3 would be, and click on that spot on this line."	"Find spot where 3/6 would be, and click on that spot on this line."	"Find spot where 5/5 would be, and click on that spot on this line."	"Find spot where 2/4 would be, and click on that spot on this line."	"Find spot where 4/9 would be, and click on that spot on this line."	"Find spot where 4/5 would be, and click on that spot on this line."	"Find spot where 4/12 would be, and click on that spot on this line."	"Find spot where 2/6 would be, and click on that spot on this line."	"Find spot where 14/7 would be, and click on that spot on this line."	"Find spot where 9/6 would be, and click on that spot on this line."	"Find spot where 12/16 would be, and click on that spot on this line."	"Find spot where 7/4 would be, and click on that spot on this line."	"Find spot where 4/3 would be, and click on that spot on this line."	"Find spot where 12/9 would be, and click on that spot on this line."	"Find spot where 3/2 would be, and click on that spot on this line."	"Find spot where 21/12 would be, and click on that spot on this line."	"Find spot where 6/4 would be, and click on that spot on this line."	"Find spot where 10/6 would be, and click on that spot on this line."
%(3360139920399319700)%	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.	What fraction are you displaying on Line 2? What is its denominator? Enter it and press OK.
%(9212044915990446998)%	Please provide your answer '6' in the highlighted element.	Please provide your answer '6' in the highlighted element.	Please provide your answer '8' in the highlighted element.	Please provide your answer '12' in the highlighted element.	Please provide your answer '3' in the highlighted element.	Please provide your answer '6' in the highlighted element.	Please provide your answer '5' in the highlighted element.	Please provide your answer '4' in the highlighted element.	Please provide your answer '9' in the highlighted element.	Please provide your answer '5' in the highlighted element.	Please provide your answer '12' in the highlighted element.	Please provide your answer '6' in the highlighted element.	Please provide your answer '7' in the highlighted element.	Please provide your answer '6' in the highlighted element.	Please provide your answer '16' in the highlighted element.	Please provide your answer '4' in the highlighted element.	Please provide your answer '3' in the highlighted element.	Please provide your answer '9' in the highlighted element.	Please provide your answer '2' in the highlighted element.	Please provide your answer '12' in the highlighted element.	Please provide your answer '4' in the highlighted element.	Please provide your answer '6' in the highlighted element.
%(-268326141781068482)%	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty	empty
%(-974056304952589780)%	"Find spot where 1/3 would be, and click on that spot on this line."	"Find spot where 1/3 would be, and click on that spot on this line."	"Find spot where 1/4 would be, and click on that spot on this line."	"Find spot where 1/3 would be, and click on that spot on this line."	"Find spot where 4/6 would be, and click on that spot on this line."	"Find spot where 1/2 would be, and click on that spot on this line."	"Find spot where 8/8 would be, and click on that spot on this line."	"Find spot where 5/10 would be, and click on that spot on this line."	"Find spot where 4/12 would be, and click on that spot on this line."	"Find spot where 6/10 would be, and click on that spot on this line."	"Find spot where 6/18 would be, and click on that spot on this line."	"Find spot where 3/9 would be, and click on that spot on this line."	"Find spot where 20/10 would be, and click on that spot on this line."	"Find spot where 3/2 would be, and click on that spot on this line."	"Find spot where 3/4 would be, and click on that spot on this line."	"Find spot where 13/8 would be, and click on that spot on this line."	"Find spot where 8/6 would be, and click on that spot on this line."	"Find spot where 8/6 would be, and click on that spot on this line."	"Find spot where 12/8 would be, and click on that spot on this line."	"Find spot where 7/4 would be, and click on that spot on this line."	"Find spot where 9/6 would be, and click on that spot on this line."	"Find spot where 12/9 would be, and click on that spot on this line."
%(4101525724223321915)%	The numerator of 1/3 is 1. Count 1 part(s) to the right and click on that spot.	The numerator of 1/3 is 1. Count 1 part(s) to the right and click on that spot.	The numerator of 1/4 is 1. Count 1 part(s) to the right and click on that spot.	The numerator of 1/3 is 1. Count 1 part(s) to the right and click on that spot.	The numerator of 4/6 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 1/2 is 1. Count 1 part(s) to the right and click on that spot.	The numerator of 8/8 is 8. Count 8 part(s) to the right and click on that spot.	The numerator of 5/10 is 5. Count 5 part(s) to the right and click on that spot.	The numerator of 4/12 is 4. Count 4 part(s) to the right and click on that spot.	The numerator of 6/10 is 6. Count 6 part(s) to the right and click on that spot.	The numerator of 6/18 is 6. Count 6 part(s) to the right and click on that spot.	The numerator of 3/9 is 3. Count 3 part(s) to the right and click on that spot.	The numerator of 20/10 is 20. Count 20 part(s) to the right and click on that spot.	The numerator of 3/2 is 3. Count 3 part(s) to the right and click on that spot.	The numerator of 3/4 is 3. Count 3 part(s) to the right and click on that spot.	The numerator of 13/8 is 13. Count 13 part(s) to the right and click on that spot.	The numerator of 8/6 is 8. Count 8 part(s) to the right and click on that spot.	The numerator of 8/6 is 8. Count 8 part(s) to the right and click on that spot.	The numerator of 12/8 is 12. Count 12 part(s) to the right and click on that spot.	The numerator of 7/4 is 7. Count 7 part(s) to the right and click on that spot.	The numerator of 9/6 is 9. Count 9 part(s) to the right and click on that spot.	The numerator of 12/9 is 12. Count 12 part(s) to the right and click on that spot.
