Problem Name	00intro	01shirt	02cd	03apartment	06carpet	08surfboard	04internet	05resort	07tennis	09pizza	10butterfly
%(definition8)%	the number of times you buy from this company	the cost of the shirts you pay for	the number of CDs	the total amount of space in the building	the cost	the total profit Chet will make	-	-	-	-	-
%(definition9)%	the cost of the shirts you pay for	the total cost of your purchase with shipping charge	the total cost of all the CDs you buy	the total amount of apartment space in the building	the total price for the carpet and the installation	the amount of loan Chet will still owe	-	-	-	-	-
											
%(given1_loc)%	exp1	exp1	exp1	exp1	exp1	exp1	def1	def1	def1	def1	def1
%(given2_loc)%	exp2	exp2	exp2	exp2	exp2	exp2	def2	def2	def2	def2	def2
%(given3_loc)%	exp3	exp3	exp3	exp3	exp3	exp3	def3	def3	def3	def3	def3
%(given4_loc)%	exp4	exp4	exp4	exp4	exp4	exp4	def4	def4	def4	def4	def4
%(given5_loc)%	exp5	exp5	exp5	exp5	exp5	exp5	def5	def5	def5	def5	def5
%(given6_loc)%	exp6	exp6	exp6	exp6	exp6	exp6	def6	def6	def6	def6	def6
%(given7_loc)%	exp7	exp7	exp7	exp7	exp7	exp7	def7	def7	def7	def7	def7
%(given1_value)%	%(expression1)%	%(expression1)%	%(expression1)%	%(expression1)%	%(expression1)%	%(expression1)%	%(definition1)%	%(definition1)%	%(definition1)%	%(definition1)%	%(definition1)%
%(given2_value)%	%(expression2)%	%(expression2)%	%(expression2)%	%(expression2)%	%(expression2)%	%(expression2)%	%(definition2)%	%(definition2)%	%(definition2)%	%(definition2)%	%(definition2)%
%(given3_value)%	%(expression3)%	%(expression3)%	%(expression3)%	%(expression3)%	%(expression3)%	%(expression3)%	%(definition3)%	%(definition3)%	%(definition3)%	%(definition3)%	%(definition3)%
%(given4_value)%	%(expression4)%	%(expression4)%	%(expression4)%	%(expression4)%	%(expression4)%	%(expression4)%	%(definition4)%	%(definition4)%	%(definition4)%	%(definition4)%	%(definition4)%
%(given5_value)%	%(expression5)%	%(expression5)%	%(expression5)%	%(expression5)%	%(expression5)%	%(expression5)%	%(definition5)%	%(definition5)%	%(definition5)%	%(definition5)%	%(definition5)%
%(given6_value)%	%(expression6)%	%(expression6)%	%(expression6)%	%(expression6)%	%(expression6)%	%(expression6)%	%(definition6)%	%(definition6)%	%(definition6)%	%(definition6)%	%(definition6)%
%(given7_value)%	%(expression7)%	%(expression7)%	%(expression7)%	%(expression7)%	%(expression7)%	%(expression7)%	%(definition7)%	%(definition7)%	%(definition7)%	%(definition7)%	%(definition7)%
%(given_action1)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
%(given_action2)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
%(given_action3)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
%(given_action4)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
%(given_action5)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
%(given_action6)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
%(given_action7)%	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox
											
%(selection1)%	def1	def1	def1	def1	def1	def1	exp1	exp1	exp1	exp1	exp1
%(input1)%	"equals(""%(defAns1)%"",input)"	"equals(""%(defAns1)%"",input)"	"equals(""%(defAns1)%"",input)"	"equals(""%(defAns1)%"",input)"	"equals(""%(defAns1)%"",input)"	"equals(""%(defAns1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"	"expressionMatches(""%(expression1)%"",input)"
%(selection2)%	def2	def2	def2	def2	def2	def2	exp2	exp2	exp2	exp2	exp2
%(input2)%	"equals(""%(defAns2)%"",input)"	"equals(""%(defAns2)%"",input)"	"equals(""%(defAns2)%"",input)"	"equals(""%(defAns2)%"",input)"	"equals(""%(defAns2)%"",input)"	"equals(""%(defAns2)%"",input)"	"expressionMatches(""%(expression2)%"",input)"	"expressionMatches(""%(expression2)%"",input)"	"expressionMatches(""%(expression2)%"",input)"	"expressionMatches(""%(expression2)%"",input)"	"expressionMatches(""%(expression2)%"",input)"
%(selection3)%	def3	def3	def3	def3	def3	def3	exp3	exp3	exp3	exp3	exp3
%(input3)%	"equals(""%(defAns3)%"",input)"	"equals(""%(defAns3)%"",input)"	"equals(""%(defAns3)%"",input)"	"equals(""%(defAns3)%"",input)"	"equals(""%(defAns3)%"",input)"	"equals(""%(defAns3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"	"expressionMatches(""%(expression3)%"",input)"
%(selection4)%	def4	def4	def4	def4	def4	def4	exp4	exp4	exp4	exp4	exp4
%(input4)%	"equals(""%(defAns4)%"",input)"	"equals(""%(defAns4)%"",input)"	"equals(""%(defAns4)%"",input)"	"equals(""%(defAns4)%"",input)"	"equals(""%(defAns4)%"",input)"	"equals(""%(defAns4)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"expressionMatches(""%(expression4)%"",input)"	"expressionMatches(""%(expression4)%"",input)"
%(selection5)%	def5	def5	def5	def5	def5	def5	exp5	exp5	exp5	exp5	exp5
%(input5)%	"equals(""%(defAns5)%"",input)"	"equals(""%(defAns5)%"",input)"	"equals(""%(defAns5)%"",input)"	"equals(""%(defAns5)%"",input)"	"equals(""%(defAns5)%"",input)"	"equals(""%(defAns5)%"",input)"	"polyTermsEqual(""%(expression5)%"",input)"	"polyTermsEqual(""%(expression5)%"",input)"	"polyTermsEqual(""%(expression5)%"",input)"	"polyTermsEqual(""%(expression5)%"",input)"	"polyTermsEqual(""%(expression5)%"",input)"
%(selection6)%	def6	def6	def6	def6	def6	def6	exp6	exp6	exp6	exp6	exp6
%(input6)%	"equals(""%(defAns6)%"",input)"	"equals(""%(defAns6)%"",input)"	"equals(""%(defAns6)%"",input)"	"equals(""%(defAns6)%"",input)"	"equals(""%(defAns6)%"",input)"	"equals(""%(defAns6)%"",input)"	"polyTermsEqual(""%(expression6)%"",input)"	"polyTermsEqual(""%(expression6)%"",input)"	"polyTermsEqual(""%(expression6)%"",input)"	"polyTermsEqual(""%(expression6)%"",input)"	"polyTermsEqual(""%(expression6)%"",input)"
%(selection7)%	def7	def7	def7	def7	def7	def7	exp7	exp7	exp7	exp7	exp7
%(input7)%	"equals(""%(defAns7)%"",input)"	"equals(""%(defAns7)%"",input)"	"equals(""%(defAns7)%"",input)"	"equals(""%(defAns7)%"",input)"	"equals(""%(defAns7)%"",input)"	"equals(""%(defAns7)%"",input)"	"polyTermsEqual(""%(expression7)%"",input)"	"polyTermsEqual(""%(expression7)%"",input)"	"polyTermsEqual(""%(expression7)%"",input)"	"polyTermsEqual(""%(expression7)%"",input)"	"polyTermsEqual(""%(expression7)%"",input)"
%(action1)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
%(action2)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
%(action3)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
%(action4)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
%(action5)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
%(action6)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
%(action7)%	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateComboBox	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField	UpdateTextField
											
%(bugInput1)%	"equals(""%(definition7)%"",input)"	"equals(""%(definition6)%"",input)"	"equals(""%(definition7)%"",input)"	"equals(""%(definition6)%"",input)"	"equals(""%(definition7)%"",input)"	"equals(""%(definition6)%"",input)"	-	-	-	-	-
%(bugInput2)%	"equals(""%(definition8)%"",input)"	"equals(""%(definition7)%"",input)"	"equals(""%(definition8)%"",input)"	"equals(""%(definition7)%"",input)"	"equals(""%(definition8)%"",input)"	"equals(""%(definition7)%"",input)"	-	-	-	-	-
%(bugMsg1)%	"You chose an irrelevent description. If you need help, try clicking ""hint"" to get some help."	"You chose an irrelevent description. If you need help, try clicking ""hint"" to get some help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	-	-	-	-	-
%(bugMsg2)%	"You chose an irrelevent description. If you need help, try clicking ""hint"" to get some help."	"You chose an irrelevent description. If you need help, try clicking ""hint"" to get some help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	"That's a very ambiguous description; it does not describe anything. Click on ""hint"" if you need help."	"You chose an irrelevent description. If you need help, try clicking ""hint"" to get some help."	-	-	-	-	-
											
%(defAns1)%	%(definition4)%	%(definition2)%	%(definition3)%	%(definition3)%	%(definition2)%	%(definition5)%	-	-	-	-	-
%(defAns2)%	%(definition5)%	%(definition3)%	%(definition5)%	%(definition1)%	%(definition4)%	%(definition2)%	-	-	-	-	-
%(defAns3)%	%(definition2)%	%(definition4)%	%(definition2)%	%(definition2)%	%(definition6)%	%(definition4)%	-	-	-	-	-
%(defAns4)%	%(definition1)%	%(definition5)%	%(definition4)%	%(definition5)%	%(definition5)%	%(definition3)%	-	-	-	-	-
%(defAns5)%	%(definition3)%	%(definition1)%	%(definition6)%	%(definition4)%	%(definition3)%	%(definition1)%	-	-	-	-	-
%(defAns6)%	%(definition9)%	%(definition8)%	%(definition1)%	%(definition9)%	%(definition1)%	%(definition8)%	-	-	-	-	-
%(defAns7)%	%(definition6)%	%(definition9)%	%(definition9)%	%(definition8)%	%(definition9)%	%(definition9)%	-	-	-	-	-
											
%(input1_hint1)%	You need to choose the definition from the menu that best defines the constant '%(expression1)%'.	You need to choose the definition from the menu that best defines the constant '%(expression1)%'.	You need to choose the definition from the menu that best defines the constant '%(expression1)%'.	You need to choose the definition from the menu that best defines the constant '%(expression1)%'.	You need to choose the definition from the menu that best defines the constant '%(expression1)%'.	You need to choose the definition from the menu that best defines the constant '%(expression1)%'.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?
%(input1_hint2)%	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	Find the constant '%(expression1)%' in the problem statement. What does the constant represent?	The given definition describes a constant in the problem. What value given in the problem represents %(definition1)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition1)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition1)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition1)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition1)%?
%(input1_hint3)%	"Read this part of the statement carefully: ""The shirts cost $15 each, with flat shipping and handling charge of $5.00."""	"Read this part of the statement carefully: ""The shirts cost $20 each, with flat shipping and handling charge of $6.00."""	"Read this part of the statement carefully: ""The National Music Club charges new members $2 for an introductory set of 5 CDs."""	"Read this part of the statement carefully: ""The first two floors of the building will provide 15000 square feet of space for stores."""	"Read this part of the statement carefully: ""Their new carpet costs $10.99 per square foot and there is an installation fee of $75""."	"Read this part of the statement carefully: ""Chet took out a $25000 loan to open a surfboard shop."""	"Read this part of the statement carefully: ""He pays a fixed fee of $15 per month for internet access."""	"Read this part of the statement carefully: ""Currently, the resort has the main lodge that accommodates 50 guests."""	"Read this part of the statement carefully: ""Marian Williams started the year with 1800 points and had won 4 tournaments by the end of March."""	"Read this part of the statement carefully: ""The initial fee is $50 and that includes the first 10 pizzas."""	"Read this part of the statement carefully: ""This year, 150 new adult butterflies in the same park is reported."""
%(input1_hint4)%	"Try choosing ""%(defAns1)%"" from the list of definitions."	"Try choosing ""%(defAns1)%"" from the list of definitions."	"Try choosing ""%(defAns1)%"" from the list of definitions."	"Try choosing ""%(defAns1)%"" from the list of definitions."	"Try choosing ""%(defAns1)%"" from the list of definitions."	"Try choosing ""%(defAns1)%"" from the list of definitions."	Try entering '%(expression1)%' in the blank.	Try entering '%(expression1)%' in the blank.	Try entering '%(expression1)%' in the blank.	Try entering '%(expression1)%' in the blank.	Try entering '%(expression1)%' in the blank.
											
%(input2_hint1)%	You need to choose the definition from the menu that best defines the constant '%(expression2)%'.	You need to choose the definition from the menu that best defines the constant '%(expression2)%'.	You need to choose the definition from the menu that best defines the constant '%(expression2)%'.	You need to choose the definition from the menu that best defines the constant '%(expression2)%'.	You need to choose the definition from the menu that best defines the constant '%(expression2)%'.	You need to choose the definition from the menu that best defines the constant '%(expression2)%'.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?
%(input2_hint2)%	Find the constant '%(expression2)%' in the problem statement. What does the constant represent?	Find the constant '%(expression2)%' in the problem statement. What does the constant represent?	Find the constant '%(expression2)%' in the problem statement. What does the constant represent?	Find the constant '%(expression2)%' in the problem statement. What does the constant represent?	Find the constant '%(expression2)%' in the problem statement. What does the constant represent?	Find the constant '%(expression2)%' in the problem statement. What does the constant represent?	The given definition describes a constant in the problem. What value given in the problem represents %(definition2)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition2)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition2)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition2)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition2)%?
%(input2_hint3)%	"Read this part of the statement carefully: ""...if you buy more than 3 shirts, the first three shirts will be free!"""	"Read this part of the statement carefully: ""...if you buy more than 2 shirts, the first three shirts will be free!"""	"Read this part of the statement carefully: ""The National Music Club charges new members $2 for an introductory set of 5 CDs."""	"Read this part of the statement carefully: ""The first two floors of the building will provide 15000 square feet of space for stores."""	"Read this part of the statement carefully: ""The floor space in the living room is 900 square feet."""	"Read this part of the statement carefully: ""So far Chet has sold 15 surfboards."""	"Read this part of the statement carefully: ""The first hour of connect time each month is free."""	"Read this part of the statement carefully: ""...and 10 already existing cabins accommodate 6 guests."""	"Read this part of the statement carefully: ""Marian Williams started the year with 1800 points and had won 4 tournaments by the end of March."""	"Read this part of the statement carefully: ""The initial fee is $50 and that includes the first 10 pizzas."""	"Read this part of the statement carefully: ""Lizzy the butterfly scientists and planted 5000 butterfly eggs in a park for an experiment few months ago."""
%(input2_hint4)%	"Try choosing ""%(defAns2)%"" from the list of definitions."	"Try choosing ""%(defAns2)%"" from the list of definitions."	"Try choosing ""%(defAns2)%"" from the list of definitions."	"Try choosing ""%(defAns2)%"" from the list of definitions."	"Try choosing ""%(defAns2)%"" from the list of definitions."	"Try choosing ""%(defAns2)%"" from the list of definitions."	Try entering '%(expression2)%' in the blank.	Try entering '%(expression2)%' in the blank.	Try entering '%(expression2)%' in the blank.	Try entering '%(expression2)%' in the blank.	Try entering '%(expression2)%' in the blank.
											
%(input3_hint1)%	You need to choose the definition from the menu that best defines the constant '%(expression3)%'.	You need to choose the definition from the menu that best defines the constant '%(expression3)%'.	You need to choose the definition from the menu that best defines the constant '%(expression3)%'.	You need to choose the definition from the menu that best defines the constant '%(expression3)%'.	You need to choose the definition from the menu that best defines the constant '%(expression3)%'.	You need to choose the definition from the menu that best defines the constant '%(expression3)%'.	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?	Blanks in the Expression column should be filled with mathematical expressions drawn from the equation '%(problem_function)%'. What part of the equation does the given definition describe?
%(input3_hint2)%	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	Find the constant '%(expression3)%' in the problem statement. What does the constant represent?	The given definition describes a constant in the problem. What value given in the problem represents %(definition3)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition3)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition3)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition3)%?	The given definition describes a constant in the problem. What value given in the problem represents %(definition3)%?
%(input3_hint3)%	"Read this part of the statement carefully: ""The shirts cost $15 each, with flat shipping and handling charge of $5.00."""	"Read this part of the statement carefully: ""The shirts cost $20 each, with flat shipping and handling charge of $6.00."""	"Read this part of the statement carefully: ""...and charges $12 for each additional CD."""	"Read this part of the statement carefully: ""Each additional story in the building will provide 6650 square feet of space for apartments."""	"Read this part of the statement carefully: ""Their new carpet costs $10.99 per square foot and there is an installation fee of $75""."	"Read this part of the statement carefully: ""He makes a $500 profit on each surfboard he sells."""	"Read this part of the statement carefully: ""The first hour of connect time each month is free and he pays $2 for each additional hour."""	"Read this part of the statement carefully: ""...and 10 already existing cabins accommodate 6 guests."""	"Read this part of the statement carefully: ""...and earns 200 points for each win during the year."""	"Read this part of the statement carefully: ""Julie charges $3 for each additional pizza."""	"Read this part of the statement carefully: ""Lizzy knows that only 2 out of 100 eggs successfully becomes butterflies in the wild!"""
