Problem Name	01vitamin	02marble	03sailfish	04pizza	05notebook	06car_trip	07defective	08bounce	09cookie	10sandwich	11basketball	12spring_carnival	13token	14widget	15nugget	00Bubble
%(gvn-b1)%	"Incorrect! This number belongs to ""Joey"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""You want"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Travel"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""You want"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""You want"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Trip"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Produced"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""I dropped"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""2 weeks ago"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""New interview"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""School wants"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""You want"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Each Token"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""By work shift"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""Each nugget"" side of the boxes. For this side of the box, try finding the number that is to be scaled."	"Incorrect! This number belongs to ""You want"" side of the boxes. For this side of the box, try finding the number that is to be scaled."
%(gvn1)%	36	20	3	8	20	50	100	35	30	60	75	30	20	24	12	39
%(gvn1-b1)%	That number does belong on the left side, but does it really represent the weight of the container? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of marbles? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of seconds? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of pizzas? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of notebooks? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance in miles? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of widgets? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance of bounced height? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of bags of cookies? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of 5th graders? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of basketballs? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of prizes? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of tokens? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of hours? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of nuggets? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the -? Place the number in the box with the correct label!
%(gvn1-h1)%	Do you remember what Larz bought? What was the size of the container he bought?	Do you remember what the store sells? What was the number of marbles they sell?	Do you remember what they said about how fast cosmopolitan sailfish can travel? How much time does it take for them to travel 300.5 feet?	Do you remember what the store sells? What was the number of pizzas they sell?	Do you remember what Cheap-Supplies.com sells? What was the number of notebooks they sell?	Can you write the speed (miles per hour) as  the distance traveled in a given amount of time? Think about what 'per hour' means.	Do you remember how many widgets the company produces and how many of them are defective?	Do you remember what you already know about the ball? Try to find the information where both the dropped height and the bounced height are already known.	Do you remember what was left in the school cafeteria after 2 weeks? What was the number of bags of cookies left?	Do you remember what the first, old interview results were? What was the number of 5th graders that were interviewed in the old interview?	Do you remember what Gym-Supplies INC sells? What was the number of basketballs they sell?	Do you remember what they originally cost? What was the number of prizes they sell?	Do you remember what Cool-Video-Games sell? What was the number of tokens they sell?	Do you remember how long the company takes to make 300 widgets?	Do you remember what you already know about the nuggets? Try to find the information where both the number of nuggets and their total weight is already known.	Do you remember what the store sells? What was the number of marbles they sell?
%(gvn1-h2)%	"Read this part of the statement carefully: ""Larz doesn't like to go to the store that often so he buys a 36 oz. container."""	"Read this part of the statement carefully: ""In a store, marbles are 20 for $5."""	"Read this part of the statement carefully: ""The world's fastest fish, the cosmopolitan sailfish, can travel 300.5 feet in 3 seconds."""	"Read this part of the statement carefully: ""In a store, frozen pizzas are 8 for $6."""	"Read this part of the statement carefully: ""At Cheap-Supplies.com, you can buy 20 notebooks for $30."""	50 miles per hour means Bill can travel 50 miles in one hour.	"Read this part of the statement carefully: ""For every 100 widgets, about 5 of them are defective."""	"Read this part of the statement carefully: ""I know that if the Super-Bouncing-Ball is dropped from a height of 100m, it will bounce 35m high."""	"Read this part of the statement carefully: ""After two weeks, they have 30 bags of cookies left ..."""	"Read this part of the statement carefully: ""A math student interviewed 60 fifth graders."""	"Read this part of the statement carefully: ""Gym-Supplies INC sells 75 basketballs for $450."""	"Read this part of the statement carefully: ""You are buying prizes for the spring carnival, and 30 prizes cost $40."""	"Read this part of the statement carefully: ""$30 will buy you 20 tokens."""	"Read this part of the statement carefully: ""In a typical 24-hour day, the Widget company can produce 300 widgets."""	"Read this part of the statement carefully: ""You have 12 gold nuggets, and they weigh 36 lbs."""	-
%(gvn1-h3)%	Try typing '36' in the highlighted field.	Try typing '20' in the highlighted field.	Try typing '3' in the highlighted field.	Try typing '8' in the highlighted field.	Try typing '20' in the highlighted field.	Try typing '50' in the highlighted field.	Try typing '100' in the highlighted field.	Try typing '35' in the highlighted field.	Try typing '30' in the highlighted field.	Try typing '60' in the highlighted field.	Try typing '75' in the highlighted field.	Try typing '30' in the highlighted field.	Try typing '20' in the highlighted field.	Try typing '24' in the highlighted field.	Try typing '12' in the highlighted field.	Try typing '39' in the highlighted field.
%(gvn1-hb1)%	Please enter '9' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '60' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '400' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '3.5' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '15' in the highlighted field.	Please enter '90' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '1' in the highlighted field.	Please enter '13' in the highlighted field.
%(gvn2)%	8.80	5	300.5	6	30	1	5	100	120	33	450	40	30	300	36	10.50
%(gvn2-b1)%	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance of travel in feet? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of hours? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of defective widgets? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the distance of dropped height? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of cookies? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of students who like peanut butter and jelly sandwiches? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the cost? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the number of widgets produced? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the amount of weight? Place the number in the box with the correct label!	That number does belong on the left side, but does it really represent the -? Place the number in the box with the correct label!
%(gvn2-h1)%	Do you remember what Larz bought? What was the cost of the container he bought?	Do you remember what the store sells? What was the cost of marbles they sell?	Do you remember what they said about how fast cosmopolitan sailfish can travel? How far can they travel in 3 seconds?	Do you remember what the store sells? What was the cost of the pizzas they sell?	Do you remember what Cheap-Supplies.com sells? What was the cost of notebooks they sell?	Can you write the speed (miles per hour) as  the distance traveled in a given amount of time? Think about what 'per hour' means.	Do you remember how many widgets the company produces and how many of them are defective?	Do you remember what you already know about the ball? Try to find the information where both the dropped height and the bounced height are already known.	Do you remember what was left in the school cafeteria after 2 weeks? What was the number of cookies left?	Do you remember what the first interview results were? What was the number of students who said they like peanut butter and jelly sandwiches in the old interview?	Do you remember what Gym-Supplies INC sells? What was the cost of basketballs they sell?	Do you remember what they originally cost? What was the cost of prizes they sell?	Do you remember what Cool-Video-Games sell? What was the cost of tokens they sell?	Do you remember how many widgets the company produces in 24 hours?	Do you remember what you already know about the nuggets? Try to find the information where both the number of nuggets and their total  weight is already known.	Do you remember what the store sells? What was the cost of marbles they sell?
%(gvn2-h2)%	"Read this part of the statement carefully: ""If the 36 oz. container costs $8.80 ..."""	"Read this part of the statement carefully: ""In a store, marbles are 20 for $5."""	"Read this part of the statement carefully: ""The world's fastest fish, the cosmopolitan sailfish, can travel 300.5 feet in 3 seconds."""	"Read this part of the statement carefully: ""In a store, frozen pizzas are 8 for $6."""	"Read this part of the statement carefully: ""At Cheap-Supplies.com, you can buy 20 notebooks for $30."""	50 miles per hour means Bill can travel 50 miles in one hour.	"Read this part of the statement carefully: ""For every 100 widgets, about 5 of them are defective."""	"Read this part of the statement carefully: ""I know that if the Super-Bouncing-Ball is dropped from a height of 100m, it will bounce 35m high."""	"Read this part of the statement carefully: ""... and inside, there are a total of 120 cookies left."""	"Read this part of the statement carefully: ""33 said they like peanut butter & jelly sandwiches."""	"Read this part of the statement carefully: ""Gym-Supplies INC sells 75 basketballs for $450."""	"Read this part of the statement carefully: ""You are buying prizes for the spring carnival, and 30 prizes cost $40."""	"Read this part of the statement carefully: ""$30 will buy you 20 tokens."""	"Read this part of the statement carefully: ""In a typical 24-hour day, the Widget company can produce 300 widgets."""	"Read this part of the statement carefully: ""You have 12 gold nuggets, and they weigh 36 lbs."""	-
%(gvn2-h3)%	Try typing '8.80' for the highlighted field.	Try typing '5' for the highlighted field.	Try typing '300.5' for the highlighted field.	Try typing '6' for the highlighted field.	Try typing '30' for the highlighted field.	Try typing '1' for the highlighted field.	Try typing '5' for the highlighted field.	Try typing '100' for the highlighted field.	Try typing '120' for the highlighted field.	Try typing '33' for the highlighted field.	Try typing '450' for the highlighted field.	Try typing '40' for the highlighted field.	Try typing '30' for the highlighted field.	Try typing '300' for the highlighted field.	Try typing '36' for the highlighted field.	Try typing '10.50' for the highlighted field.

%(item1_word)%	weight of the container	number of marbles	distance of travel in feet	number of pizzas	number of notebooks	distance in miles	number of widgets	distance of dropped height	number of bags of cookies	number of 5th graders	number of basketballs	number of prizes	number of tokens	number of widgets produced	number of nuggets	-
%(item2_word)%	cost	cost	number of seconds	cost	cost	number of hours	number of defective widgets	distance of bounced height	number of cookies	number of students who like peanut butter and jelly sandwiches	cost	cost	cost	number hours	amount of weight	-

%(oper-on)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(oper)%	/	/	*	/	/	*	/	/	*	/	/	*	/	/	/	/
%(oper-h-top)%	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%> "	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the time in seconds. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost of pizza. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost of notebooks. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the hours of the trip. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the number of defective widgets. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the bounced height of the ball. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the number of cookies. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the number of fifth graders that liked the PB&J sandwiches. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost of basketballs. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost of prizes. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost of tokens. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the hours of work. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the weight of nuggets. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO2),""You've already chosen a correct scaling operation for the cost. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%> "
%(oper-h-bott)%	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the size of the container. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of marbles. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%> "	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for distance traveled. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of pizzas. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of notebooks. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the distance in miles. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of widgets produced. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the dropped height of the ball. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of bags of cookies. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of fifth graders interviewed. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of backetballs. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of prizes. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of tokens. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of widgets produced. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of nuggets. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%>"	"<%=ifThen(hasValue(SO1),""You've already chosen a correct scaling operation for the number of marbles. Since you need to scale both numbers equally, you should use the same operation here."",""Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number."")%> "
%(oper-h2)%	How do you get from 36 oz. to 9 oz.?	How do you get from 20 marbles to 10 marbles?	How do you get from 3 seconds to 60 seconds?	How do you get from 8 pizzas to 2 pizzas?	How do you get from 20 notebooks to 4 notebooks?	How do you get from 50 miles to 400 miles?	How do you get from 100 widgets to 20 widgets?	How do you get from 35m to 3.5m?	How do you get from 30 bags to 90 bags?	How do you get from 60 students to 20 students?	How do you get from 75 basketballs to 15 basketballs?	How do you get from 90 prizes to 30 prizes?	How do you get from 20 tokens to 1(each) token?	How do you get from 24 hours to 8 hours?	"How do you get from total number of nuggets to ""each"" nugget?"	How do you get from 20 marbles to 10 marbles?
%(oper-h3)%	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '*' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.	Try choosing '/' for the highlighted field.

%(fac)%	1/4	1/2	20	1/4	1/5	8	1/5	1/10	3	1/3	1/5	3	1/20	1/3	1/12	1/3
