Problem Name	01Garden	02Water	03Cookies	04Bicyclist	05Map	06Lemonade	07Driving	08Saturn	09Donation	10Haircuts	11Lemonade-2	12Eggs	13Running	14Snail	15Lemonade-3	16Clock	17Balloons	00Bubble
%(gvn1-h1)%	Do you remember what you planted last year and how many tomatoes grew? What was the number of tomatoes you planted?	Do you remember what you purchased last week? How many water bottles did you buy?	Do you remember what Henry did for his New Year's Eve party last year? How many gingerbread cookies did he bake?	Do you remember what the bicyclist likes to do when she practices for a race? How much time does she practice racing every morning?	Do you remember what the scale on the map is supposed to represent? What distance in miles does the scale represent?	Do you remember how well she was doing the day she started running her lemonade stand? How many glasses did she sell during that time?	Can you write the speed (miles per hour) as the distance traveled in a given amount of time? Think about what 'per hour' means.	Do you remember how long you stayed in Saturn while visiting your friend in Saturn?	Do you remember what the radio station offered? What was the number of bags of dog food they would give for the offer?	Do you remember what Hair-Be-Gone Hair Salon's special offer was? What was the number of haircuts needed to get this offer?	Do you remember the recipe Billy and Suzzy followed? How many pitchers can the recipe make using 8 cups of sugar?	Do you remember what the special prize offer was? How many eggs do you need to receive 3 Nokemop cards?	Do you remember how fast Amelia can run? How long did it take to run 3 laps?	Do you remember the speed recorded for the fastest snail? How long did it take the snail to travel 39.6 inches?	Do you remember what Andrew planned to do? How many ice chips was Andrew planning to give for every 3 glasses of lemonade?	Do you remember how long it takes for Uncle Sam's clock to make 3 loops?	Do you remember what the store sells? What was the number of balloons they sell?	Do you remember what the store sells? What was the number of marbles they sell?
%(gvn1-h2)%	Read this part of the statement carefully: Last year, you had 3 tomato plants, which produced a total of 20 tomatoes.	Read this part of the statement carefully: Last week you purchased 12 bottles of water, on which you spent $6.00.	Read this part of the statement carefully: Last year, 60 people attended Henry's New Year's Eve party, for which Henry baked 120 gingerbread cookies.	Read this part of the statement carefully: A bicyclist likes to practice for a race by riding a distance of 30 miles in 50 minutes every morning.	Read this part of the statement carefully: ...there is a 2 inch-long scale that represents 50.5 miles.	Read this part of the statement carefully: The day that she started the stand, she sold 25 glasses of lemonade and made $2.25.	50 miles per hour means Bill can travel 50 miles in one hour. 	Read this part of the statement carefully: After 24 days passed on Saturn, you returned home to find that only 10 days had passed on Earth.	Read this part of the statement carefully: The people at the radio station offered to give the shelter 2 small bags of dog food...	Read this part of the statement carefully: ...for every 6 haircuts that a customer pays for at the salon, the customer will receive 2 free bottles of shampoo.	Read this part of the statement carefully: The recipe that they are using to make the lemonade requires 8 cups of sugar for every 5 pitchers of lemonade that is made.	Read this part of the statement carefully: One of the town's special prize offers states that for every 10 pink colored eggs a resident finds, he or she can win 3 Nokemop cards.	Read this part of the statement carefully: Amelia can run around her school's track at a speed of 3 laps every 12.5 minutes.	Read this part of the statement carefully: The fastest snail ever recorded could travel at a speed of 39.6 inches in 6 minutes.	Read this part of the statement carefully: Andrew has planned to give 9 ice chips for every 3 glasses of lemonade...	Read this part of the statement carefully: The clock's minute hand loops around the clock at a rate of 3 loops every 20 minutes.	Read this part of the statement carefully: ...each pack of 12 balloons costs $4.25.	-
%(gvn2)%	20	6	60	30	2	2.25	1	10	7	2	8	3	3	39.6	3	3	4.25	10.50
%(gvn2-h1)%	Do you remember what you planted last year and how many tomatoes grew? What was the number of tomatoes that were produced?	Do you remember what you purchased last week? What was the cost of the water bottles you bought?	Do you remember what Henry did for his New Year's Eve part last year? How many people attended Henry's party last year?	Do you remember what the bicyclist likes to do when she practices for a race? How far does she bike every morning when practicing for a race?	Do you remember what the scale on the map is supposed to represent? How many inches long is the scale?	Do you remember how well she was doing the day she started running her lemonade stand? How much money did she earn during that time?	Can you write the speed (miles per hour) as the distance traveled in a given amount of time? Think about what 'per hour' means.	Do you remember how much time passed on Earth while you visited your friend in Saturn?	Do you remember what the radio station offered? What was the number of cans of pet food they wanted for the offer?	Do you remember what Hair-Be-Gone Hair Salon's special offer was? What was the number of free bottles of shampoo the salon will give for the offer?	Do you remember the recipe Billy and Suzzy followed? How many cups of sugar is needed to make 5 pitchers of lemonade?	Do you remember what the special prize offer was? How many cards do you receive for 10 pink colored eggs?	Do you remember how fast Amelia can run? How many laps can she run in 12.5 minutes?	Do you remember the speed recorded for the fastest snail? What was the distance the snail travelled in 6 minutes?	Do you remember what Andrew planned to do? How many glasses of lemonade was Andrew planning to provide for 9 chips of ice?	Do you remember how many loops Uncle Sam's clock makes in 20 minutes?	Do you remember what the store sells? What was the cost of balloons they sell?	Do you remember what the store sells? What was the cost of marbles they sell?
%(gvn2-h2)%	Read this part of the statement carefully: Last year, you had 3 tomato plants, which produced a total of 20 tomatoes.	Read this part of the statement carefully: Last week you purchased 12 bottles of water, on which you spent $6.00.	Read this part of the statement carefully: Last year, 60 people attended Henry's New Year's Eve party, for which Henry baked 120 gingerbread cookies.	Read this part of the statement carefully: A bicyclist likes to practice for a race by riding a distance of 30 miles in 50 minutes every morning.	Read this part of the statement carefully: ...there is a 2 inch-long scale that represents 50.5 miles.	Read this part of the statement carefully: The day that she started the stand, she sold 25 glasses of lemonade and made $2.25.	50 miles per hour means Bill can travel 50 miles in one hour. 	Read this part of the statement carefully: After 24 days passed on Saturn, you returned home to find that only 10 days had passed on Earth.	Read this part of the statement carefully: 2 small bags of dog food for every 7 cans of pet food that are donated to the shelter.	Read this part of the statement carefully: ...for every 6 haircuts that a customer pays for at the salon, the customer will receive 2 free bottles of shampoo.	Read this part of the statement carefully: The recipe that they are using to make the lemonade requires 8 cups of sugar for every 5 pitchers of lemonade that is made.	Read this part of the statement carefully: One of the town's special prize offers states that for every 10 pink colored eggs a resident finds, he or she can win 3 Nokemop cards.	Read this part of the statement carefully: Amelia can run around her school's track at a speed of 3 laps every 12.5 minutes.	Read this part of the statement carefully: The fastest snail ever recorded could travel at a speed of 39.6 inches in 6 minutes.	Read this part of the statement carefully: Andrew has planned to give 9 ice chips for every 3 glasses of lemonade...	Read this part of the statement carefully: The clock's minute hand loops around the clock at a rate of 3 loops every 20 minutes.	Read this part of the statement carefully: ...each pack of 12 balloons costs $4.25.	- 
%(item1_word)%	number of plants	number of bottles	number of cookies	number of minutes	distance in miles	number of glasses of lemonade	distance in miles	number of Saturn days	number of bags of dog food	number of haircuts	number of pitchers of lemonade	number of pink eggs	number of minutes	number of minutes	number of ice chips	number of minutes	number of balloons	-
%(item2_word)%	number of tomatoes	cost	number of people	number of miles	number of inches	amount of earnings	number of hours	number of Earth days	number of cans of pet food	number of bottles of shampoo	number of cups of sugar	number of cards	number of laps	distance in inches	number of glasses of lemonade	number of loops	cost	- 
%(oper-on)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(oper)%	*	*	/	*	*	*	*	/	*	*	*	*	*	/	*	*	*	/
%(oper-h-top)%	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of tomatoes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the cost of bottles. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of people. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the distance in miles. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the miles of the trip. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the amount of earnings. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the hours of the trip. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of Earth days. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of cans of pet food. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of bottle of shampoo. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the cups of sugar. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the pink eggs. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of laps. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the inches traveled. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the number of number of loops. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO2),You've already chosen a correct operation for the cost of balloons. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO2),You've already chosen a correct scaling operation for the cost. Since you need to scale both numbers equally, you should use the same operation here.,Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 
%(oper-h-bott)%	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of plants. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of bottles. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of cookies. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the time in minutes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the distance in inches. Since you need to scale both numbers equally, you should use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the miles of the trip. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of Saturn days. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of bags of dog food. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of haircuts. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of pitchers of lemonade. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of Nokemop cards. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the time in minutes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the minutes of travel. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of ice chips. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the time in minutes. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%>	<%=ifThen(hasValue(SO1),You've already chosen a correct operation for the number of balloons. Since you need to scale both numbers equally, use the same operation here.,Are you trying to convert to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 	<%=ifThen(hasValue(SO1),You've already chosen a correct scaling operation for the number of marbles. Since you need to scale both numbers equally, you should use the same operation here.,Are you trying to scale to a bigger number or a smaller number? Remember that multiplication will increase the original number while division will decrease the original number.)%> 
%(oper-h2)%	How do you get from 3 plants to 27 plants?	How do you get from 12 bottles to 24 bottles?	How do you get from 60 people to 15 people?	How do you get from 50 minutes to 100 minutes?	How do you get from 2 inches to 200 inches?	How do you get from 25 glasses to 75 glasses of lemonade?	How do you get from 50 miles to 400 miles?	How do you get from 24 Saturn days to 12 Saturn days?	How do you get from 2 bags to 8 bags of dog food?	How do you get from 6 haircus to 24 haircuts?	How do you get from 5 pitchers to 30 pitchers of lemonade?	How do you convert from 3 cards to 27 cards?	How do you get from 12.5 minutes to 37.5 minutes?	How do you get from 6 minutes to 2 minutes?	How do you get from 3 glasses to 300 glasses of lemonade?	How do you get from 20 minutes to 120 minutes?	How do you get from 12 balloons to 36 balloons?	How do you get from 20 marbles to 10 marbles?
%(fac)%	9	2	4	2	4	3	8	2	4	4	6	9	3	3	100	6	3	3
%(fac-top)%	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of tomatoes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the cost of bottles. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of people. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the distance in miles. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the miles of the trip. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the amount of earnings. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the hours of the trip. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of Earth days. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of cans of pet food. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number bottles of shampoo. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number cups of sugar. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of pink eggs. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of laps. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the inches traveled. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the number of loops. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct operator for the cost of balloons. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF2),You've already found the correct scaling factor for the cost. Since you need to scale both numbers equally, you should use the same scaling factor here.,Are you trying to scale to a bigger or a smaller number? Remember, multiplying an integer will increase the original number while multiplying a fraction will decrease the original number.)%>
%(fac-bott)%	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of plants. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of bottles. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of cookies. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the time in minutes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the distance in inches. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of glasses of lemonade. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of miles of the trip. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of Saturn days. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of bags of dog food. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of hair cuts. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of pitchers of lemonade. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of Nokemop cards. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the time in minutes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the minutes of travel. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of ice chips. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the time in minutes. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct operator for the number of balloons. Since you need to scale both numbers equally, use the same operator here.,What number do you have to use so that the starting numbers will be converted into the numbers you want?)%> 	<%=ifThen(hasValue(SF1),You've already found the correct scaling factor for the number of marbles. Since you need to scale both numbers equally, you should use the same scaling factor here.,Are you trying to scale to a bigger or a smaller number? Remember, multiplying an integer will increase the original number while multiplying a fraction will decrease the original number.)%>
