Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(gvntype3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(shape1)%	-	-	-	-	-	-	-	-	-	-	-	semicircle	semicircle	semicircle	circle	circle	quarter-circle	quarter-circle	circle	circle	semicircle	triangle	semicircle	triangle	triangle #1	semicircle	semicircle
%(shape2)%	-	-	-	-	-	-	-	-	-	-	-	-	square	square	square	rectangle	-	square	square	square	rectangle	square	square	square	triangle #2	rectangle	triangle
%(shape3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rectangle	-	-
																											
%(unt1)%	cm	in	in	cm	cm	ft	cm	in	mm	ft	ft	cm	in	cm	ft	ft	cm	cm	in	in	cm	cm	cm	cm	in	in	ft
%(unt2)%	sq. cm	sq. in	sq. in	sq. cm	sq. cm	sq. ft	sq. cm	sq. in	sq. mm	sq. ft	sq. ft	sq. cm	sq. in	sq. cm	sq. ft	sq. ft	sq. cm	sq. cm	sq. in	sq. in	sq. cm	sq. cm	sq. cm	sq. cm	sq. in	sq. in	sq. ft
%(unit1word)%	centimeters	inches	inches	centimeters	centimeters	feet	centimeters	inches	milimeters	feet	feet	centimeters	inches	centimeters	feet	feet	centimeters	centimeters	inches	inches	centimeters	centimeters	centimeters	centimeters	inches	inches	feet
%(unit2word)%	square centimeters	square inches	square inches	square centimeters	square centimeters	square feet	square centimeters	square inches	square milimeters	square feet	square feet	square centimeters	square inches	square centimeters	square feet	square feet	square centimeters	square centimeters	square inches	square inches	square centimeters	square centimeters	square centimeters	square centimeters	square inches	square inches	square feet
																											
%(heading1)%	Radius	1. Radius	1	A side of SQUA	Radius	Radius	Radius	Radius	Radius	Length of the rope	Area of the pool	Radius of the semicircle	Diameter of the semicircle	Area of the semicircle	Area of the square (shape A)	Area of the entire lawn	Radius of the quarter-circle	Length of a side of the square	Diameter of the circle	Radius of circle O	Diameter of the semicircles	Base of the triangle	Radius of the semicircle	Base of the triangle	Area of triangle #1 (AFE)	Diameter of the semicircle	Area of the triangle
%(heading2)%	Diameter or 2 Radii	2. Square of the radius	2	Area (A)	&nbsp;	Diameter (2R or D)	Diameter or 2 Radii	Diameter or 2 Radii	Diameter	Area that Cocoa can roam	Radius of the pool	Area of the shape if the semicircle is a full circle	Radius of the semicircle	Area of the square	Radius of the circle	Area of watered lawn	"Circumference, if the quarter-circle is a full circle"	Area of the square	Radius of the circle	Length of a side of the square ABCD	Radius of the semicircles	Height of the triangle	Area of one semicircle	Height of the triangle	Area of triangle #2 (BCD)	Length of arc AB	Radius of the semicircle
%(heading3)%	Area (A)	3. Area (A)	3	Perimeter (P)	Area (A)	Circumference (C)	Square of the radius	Area (A)	Area (A)	Length of the chain-link fence to be bought	Diameter of the pool	Area of the semicircle	Area of the semicircle (shape A)	Area of the complex shape	Area of the circle (shape B)	Area of unwatered lawn	Length of arc CD	Radius of the quarter circle	Area of the circle	Area of the shaded region	Total area of 2 semicircles	Area of the triangle	Total area of 3 semicircles	Area of the triangle	Area of the wooden rectangle ACDF	Area of the semicircle	Area of the semicircle
%(heading4)%	Circumference (C)	-	-	-	-	-	Area (A)	Circumference (C)	Circumference (C)	-	-	Circumference of the shape if the semicircle is a full circle	Area of the square (shape B)	-	Area of the complex shape (shape C)	-	Perimeter of the quarter-circule	Total area of 4 quarter circles	Area of the square	-	Area of the rectangle	Area of the square	Area of the entire region	Area of the square	Area of the tail piece	Area of the rectangle	Total area of the ice cream poster
%(heading5)%	-	-	-	-	-	-	Circumference (C)	-	-	-	-	Length of arc CD (Half of the full circumference)	Total area (Area of shape C)	-	-	-	-	Area of the green region	Area of the shaded region	-	Area of the entire region	Total area of the entire region	-	Area of the red region	-	Area of the purple area	-
%(heading6)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Perimeter of the purple area	-
																											
%(formula11)%		R	R	S	R	R	R	R																			
%(formula12)%		R<sup>2</sup>	R<sup>2</sup>	S<sup>2</sup>	R<sup>2</sup>	2R	2R or D	2R or D																			
%(formula13)%		"R<sup>2</sup>*<span class=""pi"">&#x1d70b;</span>"	"R<sup>2</sup>*<span class=""pi"">&#x1d70b;</span>=A<sub>(Area)</sub>"	4*S	"R<sup>2</sup>*<span class=""pi"">&#x1d70b;</span>"	"2R*<span class=""pi"">&#x1d70b;</span>"	R<sup>2</sup>	"R<sup>2</sup>*<span class=""pi"">&#x1d70b;</span>"																			
%(formula14)%							"R<sup>2</sup>*<span class=""pi"">&#x1d70b;</span>"	"2R*<span class=""pi"">&#x1d70b;</span>"																			
%(formula15)%							"2R*<span class=""pi"">&#x1d70b;</span>"																				
%(formula21)%			R		R	R																					
%(formula22)%			2R		R<sup>2</sup>	2R																					
%(formula23)%			"2R*<span class=""pi"">&#x1d70b;</span>=C<sub>(Circumference)</sub>"		"R<sup>2</sup>*<span class=""pi"">&#x1d70b;</span>"	"2R*<span class=""pi"">&#x1d70b;</span>"																					
																											
%(unit1Label)%	cm	in	in	cm	cm	ft	cm	in	mm	ft	sq. ft	cm	in	sq. cm	ft	sq. ft	cm	cm	in	in	cm	cm	cm	cm	sq. in	in	sq. ft
%(unit2Label)%	cm	sq. in	sq. in	sq. cm	sq. cm	ft	cm	in	mm	sq. ft	ft	sq. cm	in	sq. cm	sq. ft	sq. ft	cm	sq. cm	in	in	cm	cm	sq. cm	cm	sq. in	in	ft
%(unit3Label)%	sq. cm	sq. in	sq. in	cm	sq. cm	ft	sq. cm	sq. in	sq. mm	ft	ft	sq. cm	sq. in	sq. cm	sq. ft	sq. ft	cm	cm	sq. in	sq. in	sq. cm	sq. cm	sq. cm	sq. cm	sq. in	sq. in	sq. ft
%(unit4Label)%	cm	-	-	-	-	-	sq. cm	in	mm	-	-	cm	sq. in	-	sq. ft	-	cm	sq. cm	sq. in	-	sq. cm	sq. cm	sq. cm	sq. cm	sq. in	sq. in	sq. ft
%(unit5Label)%	-	-	-	-	-	-	cm	-	-	-	-	cm	sq. in	-	-	-	-	sq. cm	sq. in	-	sq. cm	sq. cm	-	sq. cm	-	sq. in	-
%(unit6Label)%	-	-	-	-	-	-	-	-	-	-	-	-	sq. in	-	-	-	-	-	-	-	-	-	-	-	-	in	-
																											
%(row1Label)%	Diagram Labels	Diagram Labels	1. Area	1	1. Forward	1. Forward	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Worksheet	Diagram Labels	Diagram Labels	Worksheet	Diagram Label	Worksheet	Worksheet	Diagram Label	Diagram Label	Question 1	Worksheet	Diagram Label	Worksheet	Diagram Label	Worksheet	Worksheet	Worksheet
%(row2Label)%	1	1	-	2	-	-	1	1	1	Worksheet	-	Worksheet	Worksheet	-	Worksheet	-	-	Worksheet	Worksheet	Question 2	-	Worksheet	-	1	-	-	-
%(row3Label)%	2	2		3			2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-
%(row4Label)%	-	-	2. Circumference	-	2. Backward	2. Backward	-	3	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																											
%(numQues)%	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	2	3	3	2	3	1	1	1	3	3	3	3
%(numRows)%	4	4	4	4	4	4	4	5	5	3	2	3	3	2	3	2	2	3	3	3	2	3	2	4	2	2	2
%(numCol)%	4	3	3	3	3	3	5	4	4	3	3	5	5	3	4	3	4	5	5	3	5	5	4	5	4	6	4
																											
%(r1c1)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c2)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c3)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c4)%	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1
%(r1c5)%	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0
%(r1c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
%(r2c1)%	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0
%(r2c2)%	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0
%(r2c3)%	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0
%(r2c4)%	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0
%(r2c5)%	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0
%(r2c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r3c1)%	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c2)%	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c3)%	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c4)%	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c5)%	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c1)%	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c2)%	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c3)%	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c4)%	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c5)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																											
%(showr3)%	removeClass	removeClass	addClass	removeClass	addClass	addClass	removeClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass	addClass	addClass
%(showr4)%	removeClass	removeClass	addClass	removeClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass
%(showr5)%	addClass	addClass	removeClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass
%(showr6)%	addClass	addClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass
																											
%(r0c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r1c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r2c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r3c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r4c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r5c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r6c4-hide)%	removeClass	addClass	addClass	addClass	addClass	addClass	removeClass	removeClass	removeClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	removeClass	removeClass	addClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass	removeClass
%(r0c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r1c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r2c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r3c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r4c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r5c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r6c5-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	addClass	addClass	addClass	removeClass	removeClass	addClass	removeClass	removeClass	addClass	removeClass	addClass	removeClass	addClass
%(r0c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
%(r1c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
%(r2c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
%(r3c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
%(r4c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
%(r5c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
%(r6c6-hide)%	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	addClass	removeClass	addClass
																											
%(ansQ1a)%	BO	OA	10	10	3	7	CO	AO	XQ	OD	153.86	OD	AB	39.25	--	252	7	AB	(not marked)	6	6	BC	5	FC	10.5	8	4.5
%(ansQ1b)%	BC	--	100	100	9	14	CD	AB	XY	--	7	--	AE	100	OE	113.04	43.96	--	OE	12	3	EC	39.25	CE	21	12.56	1
%(ansQ1c)%	--	--	314	40	28.26	43.96	--	--	--	--	14	--	--	139.25	--	138.96	10.99	EB	--	30.96	28.26	--	117.75	--	84	25.12	1.57
%(ansQ1d)%	--	-	-	-	-	-	--	--	--	-	-	--	--	-	--	-	24.99	--	--	-	78	--	217.75	--	52.5	80	6.07
%(ansQ1e)%	-	-	-	-	-	-	--	-	-	-	-	--	--	-	-	-	-	--	--	-	106.26	--	-	--	-	54.88	-
%(ansQ1f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	40.56	-
%(ansQ2a)%	3	2	-	5	-	-	12	6	11	10	-	10	6	-	81	-	-	20	3	2.5	-	9	-	5	-	-	-
%(ansQ2b)%	6	4	-	25	-	-	24	12	22	314	-	314	3	-	2	-	-	400	1.5	5	-	3	-	5	-	-	-
%(ansQ2c)%	28.26	12.56	-	20	-	-	144	113.04	379.94	62.8	-	157	14.13	-	12.56	-	-	10	7.065	5.375	-	13.5	-	12.5	-	-	-
%(ansQ2d)%	18.84	-	-	-	-	-	452.16	37.68	69.08	-	-	62.8	36	-	68.44	-	-	314	9	-	-	81	-	100	-	-	-
%(ansQ2e)%	-	-	-	-	-	-	75.36	-	-	-	-	31.4	50.13	-	-	-	-	86	1.935	-	-	94.5	-	87.5	-	-	-
%(ansQ2f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ3a)%	10	5	-	6	-	-	5	8	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-
%(ansQ3b)%	20	25	-	36	-	-	10	16	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-
%(ansQ3c)%	314	78.5	-	24	-	-	25	200.96	452.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	-	-
%(ansQ3d)%	62.8	-	-	-	-	-	78.5	50.24	75.36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	144	-	-	-
%(ansQ3e)%	-	-	-	-	-	-	31.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	126	-	-	-
%(ansQ3f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4a)%	-	-	6	-	9	8	-	2	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4b)%	-	-	12	-	81	16	-	4	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4c)%	-	-	37.68	-	254.34	50.24	-	12.56	706.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
