Problem Name	00intro	01circleArea	02circleCirc	03square	04circle	05circle	06circle	07circle	08circle	09fence	10pool	11semicircle	12add	13add	14subtract	15subtract	16quarterCircle	17star	18shaded	19shaded	20pill	21mix	22mix	23shaded	24tail	25shaded	26icecream
%(heading4)%	Circumference (C)	-	-	-	-	-	Area (A)	Circumference (C)	Circumference (C)	-	-	Circumference of the shape if the semicircle is a full circle	Area of the square (shape B)	-	Area of the complex shape (shape C)	-	Perimeter of the quarter-circule	Total area of 4 quarter circles	Area of the square	-	Area of the rectangle	Area of the square	Area of the entire region	Area of the square	Area of the tail piece	Area of the rectangle	Total area of the ice cream poster
%(heading5)%	-	-	-	-	-	-	Circumference (C)	-	-	-	-	Length of arc CD (Half of the full circumference)	Total area (Area of shape C)	-	-	-	-	Area of the green region	Area of the shaded region	-	Area of the entire region	Total area of the entire region	-	Area of the red region	-	Area of the purple area	-
%(heading6)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Perimeter of the purple area	-
%(unit1Label)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt2)%
%(unit2Label)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt1)%
%(unit3Label)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt1)%	%(unt1)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%
%(unit4Label)%	%(unt1)%	-	-	-	-	-	%(unt2)%	%(unt1)%	%(unt1)%	-	-	%(unt1)%	%(unt2)%	-	%(unt2)%	-	%(unt1)%	%(unt2)%	%(unt2)%	-	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%	%(unt2)%
%(unit5Label)%	-	-	-	-	-	-	%(unt1)%	-	-	-	-	%(unt1)%	%(unt2)%	-	-	-	-	%(unt2)%	%(unt2)%	-	%(unt2)%	%(unt2)%	-	%(unt2)%	-	%(unt2)%	-
%(unit6Label)%	-	-	-	-	-	-	-	-	-	-	-	-	%(unt2)%	-	-	-	-	-	-	-	-	-	-	-	-	%(unt1)%	-
%(row1Label)%	Diagram Labels	Diagram Labels	1. Area	Question 1	1. Forward	1. Forward	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Labels	Worksheet	Diagram Labels	Diagram Labels	Diagram Labels	Diagram Label	Worksheet	Worksheet	Diagram Label	Diagram Label	Question 1	Worksheet	Diagram Label	Worksheet	Diagram Label	Worksheet	Worksheet	Worksheet
%(row2Label)%	Question 1	Question 1	-	Question 2	-	-	Question 1	Question 1	Question 1	Worksheet	-	Worksheet	Worksheet	Worksheet	Worksheet	-	-	Worksheet	Worksheet	Question 2	-	Worksheet	-	Question 1	-	-	-
%(row3Label)%	Question 2	Question 2	-	Question 3	-	-	Question 2	Question 2	Question 2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Question 2	-	-	-
%(row4Label)%	-	-	2. Circumference	-	2. Backward	2. Backward	-	Question 3	Question 3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- 																									
%(numQues)%	3	3	5	3	5	5	3	4	4	2	1	2	2	1	2	1	1	2	2	2	1	2	1	3	1	1	1
%(numCol)%	4	3	3	3	3	3	5	4	4	3	3	5	5	3	4	3	4	5	5	3	5	5	4	5	4	6	4 																									
%(r1c1)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c2)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c3)%	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
%(r1c4)%	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1
%(r1c5)%	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	1	1	0	1	0	1	0
%(r1c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0 																									
%(r2c1)%	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0
%(r2c2)%	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0
%(r2c3)%	1	1	0	1	0	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0
%(r2c4)%	1	0	0	0	0	0	1	1	1	0	0	1	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0
%(r2c5)%	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	0
%(r2c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 																									
%(r3c1)%	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c2)%	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c3)%	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c4)%	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c5)%	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(r3c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 																								
%(r4c1)%	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c2)%	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c3)%	0	0	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c4)%	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c5)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r4c6)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 																								
%(ansQ1a)%	BO	OA	10	10	3	7	CO	AB	XQ	OD	153.86	OD	AB	39.25	--	252	7	AB	(not marked)	6	6	BC	5	FC	10.5	8	4.5
%(ansQ1b)%	CO	--	100	100	9	14	CD	AO	XY	--	7	--	AE	100	OE	113.04	43.96	EB	AB	12	3	EC	39.25	CE	21	12.56	1
%(ansQ1c)%	--	--	314	40	28.26	43.96	--	--	--	--	14	--	--	139.25	--	138.96	10.99	--	--	30.96	28.26	-	117.75	-	84	25.12	1.57
%(ansQ1d)%	--	-	-	-	-	-	--	--	--	-	-	--	--	-	--	-	24.99	--	--	-	78	-	217.75	-	52.5	80	6.07
%(ansQ1e)%	--	-	-	-	-	-	--	--	-	-	-	--	--	-	-	-	-	--	--	-	106.26	-	-	-	-	54.88	-
%(ansQ1f)%	-	-	-	-	-	-	-	-	-	-	-	-	--	-	-	-	-	-	--	-	-	-	-	-	-	40.56	- 																								
%(ansQ2a)%	3	2	-	5	-	-	12	6	11	10	-	10	6	-	81	-	-	20	3	2.5	-	9	-	5	-	-	-
%(ansQ2b)%	6	4	-	25	-	-	24	12	22	314	-	314	3	-	2	-	-	400	1.5	5	-	3	-	5	-	-	-
%(ansQ2c)%	28.26	12.56	-	20	-	-	144	113.04	379.94	62.8	-	157	14.13	-	12.56	-	-	10	7.065	5.375	-	13.5	-	12.5	-	-	-
%(ansQ2d)%	18.84	-	-	-	-	-	452.16	37.68	69.08	-	-	62.8	36	-	68.44	-	-	314	9	-	-	81	-	100	-	-	-
%(ansQ2e)%	-	-	-	-	-	-	75.36	-	-	-	-	31.4	50.13	-	-	-	-	86	1.935	-	-	94.5	-	87.5	-	-	-
%(ansQ2f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- 																								
%(ansQ3a)%	10	5	-	6	-	-	5	8	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-
%(ansQ3b)%	20	25	-	36	-	-	10	16	24	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-
%(ansQ3c)%	314	78.5	-	24	-	-	25	200.96	452.16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	-	-	-
%(ansQ3d)%	62.8	-	-	-	-	-	78.5	50.24	75.36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	144	-	-	-
%(ansQ3e)%	-	-	-	-	-	-	31.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	126	-	-	-
%(ansQ3f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- 																								
%(ansQ4a)%	-	-	6	-	9	8	-	2	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4b)%	-	-	12	-	81	16	-	4	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4c)%	-	-	37.68	-	254.34	50.24	-	12.56	706.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4d)%	-	-	-	-	-	-	-	12.56	94.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4e)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(ansQ4f)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- 																								
%(calc-radius)%	-	-	-	-	-	7	-	-	-	10	8	10	3	5	2	6	7	10	1.5	2.5	3	-	5	-	3	4	1
%(calc-diameter)%	-	-	-	-	-	14	-	-	-	20	16	20	6	10	4	12	14	20	3	5	6	-	10	-	6	8	2
%(calc-height)%	-	-	-	-	-	-	-	-	-	-	-	-	6	10	9	18	-	20	3	5	6	9	10	10	7	10	4.5
%(calc-base)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	-	20	-	5	13	9	10	6	12	8	2
%(calc-gvn)%	-	-	-	-	81*pi	16*pi	-	200.96	144*pi	-	153.86	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
%(calc-gvn2)%	-	-	-	-	-	-	25*pi	-	94.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- 																								
%(q1a-h1)%	-	-	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	Enter the length of a side of the square here.	This is step 1 of finding the area of the circle. Enter the length of the circle's radius here. 	This is step 1 of finding the circumference of the circle. Enter the length of the circle's radius here. 	-	-	-	-	Enter the value of the circle's area here. 	-	-	Enter the semicircle's area here. You can find the area of a semicircle by dividing an area of a full circle in half! %(gloss-area-h1)%	-	Enter area of the rectangle here. %(gloss-box-h1)%	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	-	-	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	Enter the length of the %(shape1)%'s diameter here. What information is given in this question?	-	Enter the length of the %(shape1)%'s radius here. What information is given in this question?	-	Enter the area of triangle 1 here. %(gloss-area-h1)% %(gloss-area-h2)%	Enter the length of the %(shape1)%'s diameter here. What information is given in this question?	Enter the area of triangle 1 here. %(gloss-area-h1)% %(gloss-area-h2)%
%(q1a-h2)%	-	-	Radius is a segment that connects the circle's center to its circumference. 	"ABCD is a square, so all 4 sides have the equal length. "	Radius is a segment that connects the circle's center to its circumference. 	Radius is a segment that connects the circle's center to its circumference. What information is given in this question? 	-	-	-	-	What information is given in this question? Read question1 again carefully.	-	-	"To find an area of a semicircle, take the area-formula for a full circle, 'A&nbsp;= R^2 * pi', and divide it by 2: '(R^2 * pi) / 2'. "	-	%(gloss-box-h2)%	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the lengths of sides of the %(shape2)% instead. Do any of these sides have any relationship with the diameter?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the length of a side of the %(shape2)% instead. Does this side have any relationship with the radius?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	-	"Having trouble finding triangle 1's base (FE) and height (AF)? The triangle's height is the rectangle's height. Since the rectangle's height is %(calc-height)% %(unt1)%, the triangle's height is also %(calc-height)% %(unt1)%."	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""),""The problem statement gave you the lengths of sides of the %(shape2)% instead. Do any of these sides have any relationship with the diameter?"",""Either diameter or radius is given in the problem statement. Read the problem statement again to find out what it is."")%>"	"Having trouble finding the triangle base (IC), and the height(CB)? Both the base and the height of the triangle is given in the diagram. What are they?"
%(q1a-h3)%	-	-	What information is given in this question? Read question 1 again carefully.	What information is given in this question? Read question 1 again carefully.	What information is given in this question? Read question 1 again carefully.	"The problem has given you the length of the diameter, %(calc-diameter)% %(unt1)%, instead, but if you divide it in half, you will get the length of the radius!"	-	-	-	-	"The area is %(calc-gvn)% %(unit2word)%. Enter the expression into the highlighted box. Make sure to replace ""pi"" with its approximated value if the area value is an expression with a pi!"	-	-	Having trouble substituting the length of the radius into the formula? Try to think about the length of the diameter first. The diameter of the semicircle fits perfectly onto a side of the square. This means the diameter and the side have the equal length of %(calc-diameter)% %(unt1)%.	-	"Find the area of the rectangle using this formula: area(A)&nbsp;= b * h, where ""b"" represents the base, and ""h"" represents the height. What is the length of the rectangles base and height? Are they given in the problem statement?"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)% fits tightly onto the square. This means the %(shape1)%'s diameter and the side of the square have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	-	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)% fits tightly onto the square. This means the %(shape1)%'s diameter and the side of the square have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Notice how the %(shape1)%'s diameter fits perfectly onto the %(shape2)%'s height. This means the %(shape1)%'s diameter and the rectangle's height have the same length."",""Remember: 1 diameter is made of 2 radii!"")%>"	-	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto a %(shape2)%'s side. This means the %(shape1)%'s diameter and a square's side have the same length, and remember: a radius is 1/2 of a diameter!"",""Remember: a radius is 1/2 of a diameter!"")%>"	-	"For the triangle's base, review this part of the problem statement: ""the length of segment FE is exactly 1/4 of the width."" Get the length of the triangle's base by finding 1/4 of the the rectangle's width: %(calc-base)% / 4&nbsp;= %(calc-radius)% %(unt1)%."	"<%=ifThen(regExMatch(""%(gvntype1)%"",""side""), ""Yes it does! Review the diagram again; notice how the %(shape1)%'s diameter fits perfectly onto the %(shape2)%'s base (AB). This means the %(shape1)%'s diameter and the rectangle's base (AB) have the same length."",""Remember: 1 diameter is made of 2 radii!"")%>"	"The triangle's base is segment IC, and it is %(calc-base)% %(unt1)% long. The triangle's height is segment CB, and it is %(calc-height)% %(unt1)% long."
