Problem Name	deer in garden	office picnic	widgets	tree height	animal shelter	toy robot	kennel	concert	stick house	bracelets	CD sales	double-booked plane	shed	bands collection	mileage	texting	pizza party	cookies	chemical solution
%(hintoperatorvariable)%	*	/	/	*	*	/	*	/	/	*	/	/	*	/	/	/	*	/	/
%(hint1denomfactor)%	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?	What number do you have to use so that the starting total number of objects will be converted into 100?
%(operation)%	multiply	divide	divide	multiply	multiply	divide	multiply	divide	divide	multiply	divide	divide	multiply	divide	divide	divide	multiply	divide	divide
%(hintfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(totalnumfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(hint1numfactor)%	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."	"You have already found the correct scale factor for the denominator. Since you have to scale both the numerator and denominator equally, use the same scale factor here."
%(totaldenomfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(hint1numpercent)%	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.	Use the operation and the scale factor to convert the numerator.
%(totalnumpercentnumber)%	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
%(totalnumpercent)%	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
%(totalpercent)%	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
%(hint2percent)%	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"
%(part1numprescaling)%	15	163	15	30	76	69	28	30	8	42	25	180	30	84	1200	2257	6	310	1218
%(hint1part1prescaling)%	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.	Use the value given in the question.
%(objectnamepart1)%	stalks eaten	slices eaten	defective widgets	maple tree feet 	cats	light patterns	dogs	fans who went backstage	chipped craft sticks	buyers	CD sales at BuyMart	seats sold	total planks needed	blue bands	miles driven	sent texts	slices eaten	buyers	milliliters
%(part1numprescalingnumber)%	15	163	15	30	76	69	28	30	8	42	25	180	30	84	1200	2257	6	310	1218
%(part1denomoperator)%	*	/	/	*	*	/	*	/	/	*	/	/	*	/	/	/	*	/	/
%(part1numfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(part1denomfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(part1percent)%	60	40.75	0.08	300	152	30	112	0.5	0.2	105	0.5	120	120	48	24	37	30	155	140
%(part1numpercentnumber)%	60	40.75	0.08	300	152	30	112	0.5	0.2	105	0.5	120	120	48	24	37	30	155	140
%(hint2part1percent)%	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"	"Since a percent written as a fraction will have a denominator of 100, look at your fraction with the denominator of 100. What is the numerator?"
%(part2numprescaling)%	7	78	100	8	44	23	7	1800	5000	108	4	225	5	126	4050	1159	0.5	283	348
%(objectnamepart2)%	stalks eaten	donated slices	defective widgets	pine tree feet 	new cats	light patterns and sounds	puppies	fans with free T-shirts	total craft sticks	buyers	CDs sold	seats sold	additional planks needed	blue and animal skin bands	total miles driven	sent texts	slices eaten	buyers waiting	milliliters
%(part2numprescalingnumber)%	7	78	100	8	44	23	7	1800	5000	108	4	225	5	126	4050	1159	0.5	283	348
%(part2denomoperator)%	*	/	/	*	*	/	*	/	/	*	/	/	*	/	/	/	*	/	/
%(totaldenomprescalingerror)%	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
%(totalnumprescalingerror)%	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
%(totaldenomoperatorerror)%	/	*	*	/	/	*	/	*	*	/	*	*	/	*	*	*	/	*	*
%(part1numprescalingerror)%	60	40.75	0.08	300	152	30	112	0.5	0.2	105	0.5	120	120	48	24	37	30	155	140
%(part1denomoperatorerror)%	/	*	*	/	/	*	/	*	*	/	*	*	/	*	*	*	/	*	*
%(part2numprescalingerror)%	28	19.5	0.5	80	88	10	28	30	125	270	0.08	150	20	72	81	19	2.5	141.5	40
%(part2denomoperatorerror)%	/	*	*	/	/	*	/	*	*	/	*	*	/	*	*	*	/	*	*
%(totalnumprescaling)%	25	400	20000	10	50	230	25	6000	4000	40	5000	150	25	175	5000	6100	20	200	870
%(part1numpercent)%	60	40.75	0.08	300	152	30	112	0.5	0.2	105	0.5	120	120	48	24	37	30	155	140
%(part2numpercentnumber)%	28	19.5	0.5	80	88	10	28	30	125	270	0.08	150	20	72	81	19	2.5	141.5	40
%(part2numpercent)%	28	19.5	0.5	80	88	10	28	30	125	270	0.08	150	20	72	81	19	2.5	141.5	40
%(part2denomfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(part2numfactor)%	4	4	200	10	2	2.3	4	60	40	2.5	50	1.5	4	1.75	50	61	5	2	8.7
%(part2percent)%	28	19.5	0.5	80	88	10	28	30	125	270	0.08	150	20	72	81	19	2.5	141.5	40
%(part1denomprescaling)%	25	400	20000	10	50	230	25	6000	4000	40	5000	150	25	175	5000	6100	20	200	870
%(part1numoperator)%	*	/	/	*	*	/	*	/	/	*	/	/	*	/	/	/	*	/	/
%(hint1totalnumoperator)%	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.	Any operation applied to the denominator of a fraction must also be used on the numerator. Then you are just multiplying by a form of 1.
%(part1numoperatorerror)%	/	*	*	/	/	*	/	*	*	/	*	*	/	*	100	*	/	*	*
%(part2denomprescaling)%	25	400	20000	10	50	230	25	6000	4000	40	5000	150	25	175	5000	6100	20	200	870
%(totalnumoperator)%	*	/	/	*	*	/	*	/	/	*	/	/	*	/	/	/	*	/	/
%(totalnumoperatorerror)%	/	*	*	/	/	*	/	*	*	/	*	*	/	*	*	*	/	*	*
%(part2numoperator)%	*	/	/	*	*	/	*	/	/	*	/	/	*	/	/	/	*	/	/
%(hint2totaloperator)%	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?	Which operation did you already choose?
%(part2numoperatorerror)%	/	*	*	/	/	*	/	*	*	/	*	*	/	*	*	*	/	*	* 
