Problem Name	00bubble	01tv	02tv	03football	04president	05music	06boyschool	07tomato	08bowl	09fence	10highlighters	11park	12park	13pizza	14ex	15baseball	16muffin	17juice	18dozen	19gum	20gum	21project	22water
%(labelPoints)%	true	true	true	true	true	false	false	true	true	false	false	true	false	true	true	false	true	false	false	false	false	false	false
%(mixed-mm)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
%(frac)%	5/7	1/4	3/4	3/6	7/10	5/6	3/5	6/8	5/10	5/7	9/10	2/4	6/4	9/6	13/8	10/9	23/12	11/4	33/12	6/5	12/5	9/7	9/4
%(num)%	5	1	3	3	7	5	3	6	5	5	9	2	6	9	13	10	23	11	33	6	12	9	9
%(den)%	7	4	4	6	10	6	5	8	10	7	10	4	4	6	8	9	12	4	12	5	5	7	4
%(mfNum)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	11	3	9	1	7	3	1
%(mint)%	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	2	2	1	2	1	2
%(mnum)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	2	1
%(mden)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	7	4
																							
%(est-hint)%	"Think of it this way: 5/7 is only 2 parts to the left of ""1"""	"Think of it this way: 1/4 is only 1 part to the right of ""0"""	"Think of it this way: 3/4 is only 1 part to the left of ""1"" or 4/4."	"Think of it this way: 3/6 is an equivalent fraction of 1/2, which lays right in the middle of the line."	"Think of it this way: 7/10 is only 2 parts to the right of 5/10, or the middle of the line. "	"Think of it this way: 5/6 is only 1 part to the left of ""1"" or 6/6."	"Think of it this way: 3/5 is only 2 parts to the left of ""1"" or 5/5."	"Think of it this way: 6/8 is only 2 parts to the left of ""1"" or 8/8."	"Think of it this way: 5/10 is an equivalent fraction of 1/2, which lays right in the middle of the line."	"Think of it this way: 5/7 is only 2 parts to the left of ""1"" or 7/7."	"Think of it this way: 9/10 is only 1 part to the left of ""1"" or 10/10."	"Think of it this way: 2/4 is an equivalent fraction of 1/2, which lays right in the middle of the line."	"Think of it this way: 6/4 is only 2 parts to the right of ""1"" or 4/4."	"Think of it this way: 9/6 is only 3 parts to the right of ""1"" or 6/6."	"Like the problem stated, try thinking of 13/8 as 5/8 after ""1"". "	"Think of it this way: 10/9 is only 1 part to the right of ""1"" or 9/9."	"Think of it this way: 23/12 is only 1 part to the left of ""2"" or 24/12."	"Think of it this way: %(frac)% is only one part to the right of 12/4, which is ""3"". "	"Think of it this way: 33/12 is only 3 parts to the left of ""3"" or 36/12. If this is still too difficult, try to imagine what ""3 parts out of 12"" looks like. "	"Think of it this way: 6/5 is only 1 part to the right of ""1"" or 5/5."	"Think of it this way: 12/5 is only 2 part to the right of ""2"" or 10/5."	"Think of it this way: 9/7 is only 2 part to the right of ""1"" or 7/7."	"Think of it this way: 9/4 is only 1 part to the right of ""2"" or 8/4."
%(num-h1)%	Numerator represents number of parts out of the whole. What are you trying to count in this problem?							Numerator represents number of parts out of the whole. What are you trying to count in this problem?	Numerator represents number of parts out of the whole. What are you trying to count in this problem?	Numerator represents number of parts out of the whole. What are you trying to measure in this problem?	Numerator represents number of parts out of the whole. What are you trying to count in this problem?						Numerator represents number of parts out of the whole. What are you trying to count in this problem?	Numerator represents number of parts out of the whole. What are you trying to measure in this problem?		Numerator represents number of parts out of the whole. What are you trying to count in this problem?	Numerator represents number of parts out of the whole. What are you trying to count in this problem?	Numerator represents number of parts out of the whole. What are you trying to count in this problem?	Numerator represents number of parts out of the whole. What are you trying to count in this problem?
%(num-h2)%	Think about how many of John's siblings are brothers.							Think about how many of Sally's aunt's tomato plants were not eaten.	Think about how many pins Cheryl needs to knock down.	Think about how much of the fence Lisa painted so far.	Think about how many highlighters your friend borrowed.						"The problem statement is giving you the mixed fraction 1 11/12. To write this as an improper fraction, think of this as 12/12 + 11/12. What would be its numerator of the sum?"	"The problem statement is giving you a mixed fraction, 2 3/4. To write this as an improper fraction, think of this as 8/4 + 3/4. What would be its numerator of the sum?"		Think about how many pieces of gum Brandon gave to his friend.	Think about how many pieces of gum Brandon gave to his friend.	Think about how many days it took for Eric to finish his project.	Think about how many smaller water bottles John is trying to convert  to larger water bottles.
%(den-h1)%	Denominator represents total number of parts or pieces.							Denominator represents total number of parts or pieces.	Denominator represents total number of parts or pieces.	Denominator represents total number of parts or pieces.	Denominator represents total number of parts or pieces.						Denominator represents total number of parts or pieces in EACH muffin tray.	Denominator represents total number of parts or pieces in EACH pitcher of tomato juice.		You are trying to describe number of gums as number of packs of gums. Try to remember what you would do when you want to convert number of pencils into number of dozens.	You are trying to describe number of gums as number of packs of gums. Try to remember what you would do when you want to convert number of pencils into number of dozens.	You are trying to describe number of day as number of weeks. Try to remember what you would do when you want to convert number of pencils into number of dozens.	You are trying to describe the number of small water bottles as a number of large water bottles. Try to remember what you would do when you want to convert number of pencils into number of dozens.
%(den-h2)%	Think about how many siblings John has.							Think about how many tomato plants Sally's aunt's garden consisted of.	Think about what is the total number of pins in each frame.	Think about what the length of the fence is.	Think about the total number of highlighters in your highlighter collection.						Think about the total number of spaces you can fill in EACH muffin trays.	Did you know that conversion between mixed number from improper fraction never changes the denominator?		Think about how many pieces of gum are in EACH pack of gum.	Think about how many pieces of gum are in EACH pack of gum.	Think about how many days are in a week.	Think about how many smaller bottles a larger bottle can hold.
%(den-bug-msg)%	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	Remember that denominator represents total number of parts!	Remember that denominator represents total number of parts!	Remember that denominator represents total number of parts!	Remember that denominator represents total number of parts!	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Study the fraction in the problem statement, and try again."	"Denominator represents total number of parts in one thing. In this case, it would be number of parts in one muffin tray."	"Denominator represents total number of parts in one thing. In this case, it would be number of parts in one cup of juice. "	"Study the fraction in the problem statement, and try again."	Remember that denominator represents total number of parts!	Remember that denominator represents total number of parts!	Remember that denominator represents total number of parts!	Remember that denominator represents total number of parts!
%(goodjob)%	Good job!	Good job!	Good job!	Good! Notice that 3/6 looks like 1/2!	Nice job!	Good job!	Good job!	Great job!	Nice job! Notice that 5/10 looks like 1/2!	Good job!	"Great job! 9/10 is pretty close to ""1""; only 1 part to the left of 10/10!"	Good! Notice that 2/4 looks like 1/2!	Good job!	Great job! 	Good job!	Nice job!	Good job!	Nice job!	"Great job! 33/12 is pretty close to ""3""; only 3 part left of 36/12!"	Nice job!	Good job!	Good job!	Great job!
%(skillName)%	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracLess1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1	FracGreater1
%(skillLabel)%	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction less then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1	Work with fraction greater then 1
