Problem Name	1	2	3	4	5	6	7	8	9	10	11	12	13	14	circle1	circle2	circle3	0intro
%(type4)%	red	green	blue squares	red	not blue	squares	green or yellow	black	not yellow	blue or red	red circles	blue	purple	not circles	eating lunch and dinner	-	-	purple
%(tar1)%	100	15	7	9	1	10	5	32	30	5	2	3	2	62	1	2	4	8
%(tar2)%	20	5	9	6	8	5	15	5	25	25	35	5	60	18	4	1	5	12
%(tar3)%	60	18	4	3	5	20	20	30	5	45	5	1	4	44	7	1	2	9
%(tar4)%	5	27	1	2	15	15	10	3	15	35	7	4	54	64	3	2	2	2
%(tot)%	100	100	10	10	20	25	25	40	40	50	50	5	80	80	10	8	10	20
																		
%(100ratio1)%	100/100	15/100	70/100	90/100	5/100	40/100	20/100	80/100	75/100	10/100	4/100	60/100	2.5/100	77.5/100	10/100	25/100	40/100	40/100
%(100ratio2)%	20/100	5/100	90/100	60/100	40/100	20/100	60/100	12.5/100	62.5/100	50/100	70/100	100/100	75/100	22.5/100	40/100	12.5/100	50/100	60/100
%(100ratio3)%	60/100	18/100	40/100	30/100	25/100	80/100	80/100	75/100	12.5/100	90/100	10/100	20/100	5/100	55/100	70/100	25/100	20/100	45/100
%(100ratio4)%	5/100	27/100	10/100	20/100	75/100	60/100	40/100	7.5/100	37.5/100	70/100	14/100	80/100	67.5/100	80/100	25/100	50/100	40/100	10/100
%(percent1)%	100	15	70	90	5	40	20	80	75	10	4	60	2.5	77.5	10	25	40	40
%(percent2)%	20	5	90	60	40	20	60	12.5	62.5	50	70	100	75	22.5	40	12.5	50	60
%(percent3)%	60	18	40	30	25	80	80	75	12.5	90	10	20	5	55	70	25	20	45
%(percent4)%	5	27	10	20	75	60	40	7.5	37.5	70	14	80	67.5	80	25	50	40	10
%(decimal1)%	1	0.15	0.7	0.9	0.05	0.4	0.2	0.8	0.75	0.1	0.04	0.6	0.025	0.775	0.1	0.25	0.4	0.4
%(decimal2)%	0.2	0.05	0.9	0.6	0.4	0.2	0.6	0.125	0.625	0.5	0.7	1	0.75	0.225	0.4	0.125	0.5	0.6
%(decimal3)%	0.6	0.18	0.4	0.3	0.25	0.8	0.8	0.75	0.125	0.9	0.1	0.2	0.05	0.55	0.7	0.25	0.2	0.45
%(decimal4)%	0.05	0.27	0.1	0.2	0.75	0.6	0.4	0.075	0.375	0.7	0.14	0.8	0.675	0.8	0.25	0.5	0.4	0.1
%(redfrac1)%	1	3/20	7/10	9/10	1/20	2/5	1/5	4/5	3/4	1/10	1/25	3/5	1/40	  31/40 	   1/10 	   1/4  	   2/5  	   2/5  
%(redfrac2)%	1/5	1/20	9/10	3/5	2/5	1/5	3/5	1/8	5/8	1/2	7/10	1        	3/4	   9/40 	   2/5  	   1/8  	   1/2  	   3/5  
%(redfrac3)%	3/5	9/50	2/5	3/10	1/4	4/5	4/5	3/4	1/8	9/10	1/10	1/5	1/20	  11/20 	   7/10 	   1/4  	   1/5  	   9/20 
%(redfrac4)%	1/20	27/100	1/10	1/5	3/4	3/5	2/5	3/40	3/8	7/10	7/50	4/5	  27/40 	   4/5  	   1/4  	   1/2  	   2/5  	   1/10 
																		
%(gcf1)%	100	5	1	1	1	5	5	8	10	5	2	1	2	2	1	2	2	-
%(gcf2)%	20	5	1	2	4	5	5	5	5	25	5	5	20	2	2	1	5	-
%(gcf3)%	20	2	2	1	5	5	5	10	5	5	5	1	4	4	1	1	2	-
%(gcf4)%	5	1	1	2	5	5	5	1	5	5	1	1	2	16	3	2	1	-
																		
%(tot1)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot2)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%
%(tot3)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	4	%(tot)%	%(tot)%
%(tot4)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	%(tot)%	12	4	5	%(tot)%
%(bugTot1)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	4	n/a	n/a
%(bugTot2)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	4	n/a	n/a
%(bugTot3)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	12	8	n/a	n/a
%(bugTot4)%	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	10	8	10	n/a
%(bugMsg1)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	That's a little too much! 12 hours are the total hours between 12pm and 12am. You must find for how long Sally was awake since 12pm.	"That should not be your total! 4 is half of the number of slices of pizza. Read problem 1 again to find out what your ""total"" should be!"	-	-
%(bugMsg2)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	That's a little too much! 12 hours are the total hours between 12pm and 12am. You must find for how long Sally was awake since 12pm.	"That should not be your total! 4 is half of the number of slices of pizza. Read problem 2 again to find out what your ""total"" should be!"	-	-
%(bugMsg3)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	That's a little too much! 12 hours are the total hours between 12pm and 12am. You must find for how long Sally was awake since 12pm.	"That's a little too much! 8 is the total number of slices of pizza. Read problem 3 again to find out what your ""total"" should be!"	-	-
%(bugMsg4)%	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Wrong. That's is the number of hours which Sally was awake. How many hours are between 12pm and 12am?	"That's a little too much! 8 is the total number of slices of pizza. Read problem 4 again to find out what your ""total"" should be!"	"That's a little too much! 10 is the total number of pieces of cake. Read problem 4 again to find out what your ""total"" should be!"	-
																		
%(shapeORitem)%	shapes	shapes	shapes	items	shapes	shapes	items	shapes	items	shapes	shapes	shapes	shapes	shapes	hours	-	-	-
%(pictureORgraph)%	in the picture	in the picture	in the picture	using the information on the graph	in the picture	in the picture	using the information on the graph	in the picture	using the information on the graph	in the picture	in the picture	in the picture	in the picture	in the picture	using the information on the clock	-	-	-
																		
%(q1-target-h1)%	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% that are %(type1)%."	"To work through question 1, you must first find the number of %(shapeORitem)% Sally spent %(type1)%."	Read question 1 carefully. What are you looking for?	"To work through question 1, you must first find the number of pieces of cake that are Oleg's favorite. "	-
%(q1-target-h2)%	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	How many %(shapeORitem)% are %(type1)%?	The red area represents the time Sally spent %(type1)%. Each space between numbers represent 1 hour. How many hours are in the red area?	You are looking for what percent of the whole pizza Sam ate. How many slices of pizza did he eat?	Oleg's favorite cake is blueberry flavored cake. How many pieces of cake are blueberry flavored?	-
%(q2-target-h1)%	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% that are %(type2)%."	"To work through question 2, you must first find the number of %(shapeORitem)% Sally spent %(type2)%."	Read question 2 carefully. What are you looking for?	"To work through question 2, you must first find the number of pieces of cake that are Faina's favorite."	-
%(q2-target-h2)%	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	How many %(shapeORitem)% are %(type2)%?	The green area represents the time Sally spent %(type1)%. Each space between numbers represent 1 hour. How many hours are in the green area?	You are looking for what percent of the whole pizza Sam ate. How many slices of pizza did he eat?	Faina's favorite cake is chocolate creamed cake. How many pieces of cake have chocolate cream on them?	-
%(q3-target-h1)%	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% that are %(type3)%."	"To work through question 3, you must first find the number of %(shapeORitem)% Sally spent %(type3)%."	Read question 3 carefully. What are you looking for?	"To work through question 3, you must first find the number of pieces of cake that are Oleg's favorite and Faina's favorite at the same time."	-
%(q3-target-h2)%	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	How many %(shapeORitem)% are %(type3)%?	The areas that are NOT yellow represents the time Sally spent %(type3)%. Each space between numbers represent 1 hour. How many hours are in the area that is NOT yellow?	You are looking for what percent of the slices of mushroom pizza Sam ate. How many slices of mushroom pizza did he eat?	Cakes that are blueberry flavored and have chocolate cream on them will be Oleg's favorite also Faina's favorite.	-
%(q4-target-h1)%	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% that are %(type4)%."	"To work through question 4, you must first find the number of %(shapeORitem)% Sally spent %(type4)%."	Read question 4 carefully. What are you looking for?	"To work through question 4, you must first find the number of pieces of cake that are Oleg's favorite after Faina has eaten all her favorite ones. "	-
%(q4-target-h2)%	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	How many %(shapeORitem)% are %(type4)%?	The red and blue areas represent the time Sally spent %(type4)%. Each space between numbers represent 1 hour. How many hours are in the red and blue areas?	You are looking for what percent of the slices of pepperoni pizza Sam ate. How many slices of pepperoni pizza did he eat?	Cake pieces that will be left over after Faina eats all her favorite will have vanila cream on them. How many of the vanila creamed cake pieces are Oleg's favorite?	-
																		
%(total-h1)%	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	The next step is to figure out the total number of %(shapeORitem)% %(pictureORgraph)%.	What is the total number of %(shapeORitem)% Sally was awake? These are the hours that are NOT purple.	The next step is to figure out the total number of slices of pizza.	The next step is to figure out the total number of pieces of cake.	-
%(total-h2)%	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	What is the total number of %(shapeORitem)% shown?	For how many hours until the midnight did Sally sleep? Subtract 12 hours with the number of hours Sally slept until 12am.	Into how many parts is the pizza divided?	Into how many parts is the cake divided?	-
%(q1-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	-
%(q1-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	-
%(q2-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	-
%(q2-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	-
%(q3-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	The next step is to figure out the total number of slices of mushroom pizza.	%(total-h1)%	-
%(q3-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	What is the total number of slices of mushroom  pizza? 	%(total-h2)%	-
%(q4-tot-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	%(total-h1)%	"What is the total number of hours between 12pm and 12am? Remember, 12pm is about lunch time, and 12am is midnight."	The next step is to figure out the total number of slices of pepperoni pizza.	"What should be the ""total"" for this question? Is it the entire cake, or just a part of it? Think about which pieces Faina will eat away!"	-
%(q4-tot-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	%(total-h2)%	"If you count hours from 12pm to 12am, you will make ONE full circle around the clock. How many hours do you see on the clock?"	What is the total number of slices of pepperoni pizza? 	Faina's favorite is cake pieces with chocolate cream. That means only pieces with vanila cream will be left over. How many pieces of cake have vanila cream on them?	-
																		
%(unred-h1)%	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.	The unreduced ratio is a fraction representing the target number of items divided by the total number of items.
%(unred-h2)%	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."	"Make sure you enter the unreduced ratio as a fraction, where the target number is the numerator and the total number is the denominator."
																		
