Problem Name	8.6.1	8.6.2	8.6.3	8.6.4	8.6.5	8.6.6	8.6.7	8.6.8
%(hint3c1-2)%	A given value in this question represents the number of CDs the band makes. Please type this given value into the correct place in the table.	A given value in the question represents the number of additional fires Marcus makes this winter. Please type this given value into the correct place in the table.	A given value in this question represents the number of new books Cindy writes. Please type this given value into the correct place in the table.	A given value in the question rrepresents the number of people attending the dance. Please type this given value into the correct place in the table.	A given value in this question represents the number of new deliveries. Please type this given value into the correct place in the table.	A given value in this question represents the number of hours he rents the umbrella. Please type this given value into the correct place in the table.	A given value in this question represents the number of books you bought in the last year. Please type this given value into the correct place in the table.	A given value in this question represents total numbers of months of work. Please type this given value into the correct place in the table.
%(thirdmid)%	337.50	100	92000	425.25	70	16	38	11500
%(hint3c2-1)%	The number of CDs the band makes in question 3 is 250. Please substitute the number 250 into the algebraic expression 1000-2.5(C+15) to solve the total amount of money they spent on CDs.	The number of additional fires Marcus makes this summer in question 3 is 15. Please substitute the number 15 into the algebraic expression 200 - 4 (F + 10) to solve total amount of wood used.	The number of new books Cindy writes in question 3 is 16. Please substitute the number 16 into the algebraic expression 50000 + 2000 (B + 5) to solve total charity donation.	The number of people attending the dance in question 3 is 100. Please substitute the number 100 into the algebraic expression 5.25(B - 15) - 21 to solve the total amount the committee spends.	The number of new deliveries in question 3 is 7. Please substitute the number 7 into the algebraic expression 20+ 5(N + 3) to solve total time.	The number of hours he rents the umbrella in question 3 is 4. Please substitute the number 4 into the algebraic expression 10 + 3(H - 2) to solve the total amount spent on the umbrella rental.	The number of books you bought in the last year in question 3 is 10. Please substitute the number 10 into the algebraic expression 6.75(B - 8) + 24.50 to solve the total amount of money you spent on books.	Total number of months of work in question 3 is 6. Please substitute the number 6 into the algebraic expression 1500 + 2000(M - 1).
%(hint3c2-2)%	The variable C stands for the number of CDs the band makes. Please substitute 250 for the variable C in the algebraic expression 1000-2.5(C+15).	The variable F stands for the number of additional fires Marcus makes this summer. Please substitute 15 for the variable F in the algebraic expression 200 - 4 (F + 10)	The variable B stands for the number of new books Cindy writes. Please substitute 16 for the variable B in the algebraic expression 50000 + 2000 (B + 5).	The variable B stands for the number of people attending the dance. Please substitute 20 for the variable B in the algebraic expression 5.25(B - 15) - 21.	The variable N stands for the number of new deliveries. Please substitute 0 for the variable N in the algebraic expression 20 + 5(N + 3).	The variable H stands for the number of hours he rents the umbrella. Please substitute 4 for the variable H in the algebraic expression 10 + 3(H - 2).	The variable B stands for the number of books you bought in the last year. Please substitute 10 for the variable B in the algebraic expression 6.75(B - 8) + 24.50.	The variable M stands for total number of months of work. Please substitute 6 for the variable M in the algebraic expression 1500 + 2000(M - 1).
%(fourthleft)%	385	30	18	200	12	5	20	12
%(hint4c1-1)%	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?
%(hint4c1-2)%	A given value in this question represents the number of CDs the band makes. Please type this given value into the correct place in the table.	A given value in the question represents the number of additional fires Marcus makes this winter. Please type this given value into the correct place in the table.	A given value in this question represents the number of new books Cindy writes. Please type this given value into the correct place in the table.	A given value in the question rrepresents the number of people attending the dance. Please type this given value into the correct place in the table.	A given value in this question represents the number of new deliveries. Please type this given value into the correct place in the table.	A given value in this question represents the number of hours he rents the umbrella. Please type this given value into the correct place in the table.	A given value in this question represents the number of books you bought in the last year. Please type this given value into the correct place in the table.	A given value in this question represents total numbers of months of work. Please type this given value into the correct place in the table.
%(fourthmid)%	0	40	96000	950.25	95	19	105.50	23500
%(hint4c2-1)%	The number of CDs the band makes in question 3 is 385. Please substitute the number 385 into the algebraic expression 1000-2.5(C+15) to solve the total amount of money they spent on CDs.	The number of additional fires Marcus makes this summer in question 4 is 30. Please substitute the number 30 into the algebraic expression 200 - 4 (F + 10) to solve total amount of wood used.	The number of new books Cindy writes in question 4 is 18. Please substitute the number 18 into the algebraic expression 50000 + 2000 (B + 5) to solve total charity donation.	The number of people attending the dance in question 4 is 200. Please substitute the number 200 into the algebraic expression 5.25(B - 15) - 21 to solve the total amount the committee spends.	The number of new deliveries in question 4 is 12. Please substitute the number 12 into the algebraic expression 20+ 5(N + 3) to solve total time.	The number of hours he rents the umbrella in question 4 is 5. Please substitute the number 5 into the algebraic expression 10 + 3(H - 2) to solve the total amount spent on the umbrella rental.	The number of books you bought in the last year in question 4 is 20. Please substitute the number 20 into the algebraic expression 6.75(B - 8) + 24.50 to solve the total amount of money you spent on books.	Total number of months of work in question 4 is 12. Please substitute the number 12 into the algebraic expression 1500 + 2000(M - 1).
%(hint4c2-2)%	The variable C stands for the number of CDs the band makes. Please substitute 385 for the variable C in the algebraic expression 1000-2.5(C+15).	The variable F stands for the number of additional fires Marcus makes this summer. Please substitute 30 for the variable F in the algebraic expression 200 - 4 (F + 10)	The variable B stands for the number of new books Cindy writes. Please substitute 18 for the variable B in the algebraic expression 50000 + 2000 (B + 5).	The variable B stands for the number of people attending the dance. Please substitute 200 for the variable B in the algebraic expression 5.25(B - 15) - 21	The variable N stands for the number of new deliveries. Please substitute 12 for the variable N in the algebraic expression 20 + 5(N + 3).	The variable H stands for the number of hours he rents the umbrella. Please substitute 5 for the variable H in the algebraic expression 10 + 3(H - 2).	The variable B stands for the number of books you bought in the last year. Please substitute 8 for the variable B in the algebraic expression 6.75(B - 8) + 24.50.	The variable M stands for total number of months of work. Please substitute 12 for the variable M in the algebraic expression 1500 + 2000(M - 1).
								
%(replaceFunction)%	"fmtDollar(calca(input),\""I\"")"	calca(input)	"fmtDollar(calca(input),\""I\"")"	"fmtDollar(calca(input),\""I\"")"	calca(input)	"fmtDollar(calca(input),\""I\"")"	"fmtDollar(calca(input),\""I\"")"	"fmtDollar(calca(input),\""I\"") "
%(8102657683516050208)%	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?
%(-5166532556208710060)%	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.	No, this is not correct.
%(-7538229578606087202)%	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.	Please click on the highlighted button.
%(2993707727535779030)%	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.	A given value in this question represents the number of pizzas. Please type this given value into the correct place in the table.
%(-6550298484717880875)%	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 4, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?
%(792793084441510216)%	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 1, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?
%(282619425198773699)%	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '2' in the highlighted field.
%(-5878948089593845330)%	The number of CDs the band makes in question 3 is 385. Please substitute the number 385 into the algebraic expression 1000-2.5(C+15) to solve the total amount of money they spent on CDs.	The number of additional fires Marcus makes this summer in question 4 is 30. Please substitute the number 30 into the algebraic expression 200 - 4 (F + 10) to solve total amount of wood used.	The number of new books Cindy writes in question 4 is 18. Please substitute the number 18 into the algebraic expression 50000 + 2000 (B + 5) to solve total charity donation.	The number of people attending the dance in question 4 is 200. Please substitute the number 200 into the algebraic expression 5.25(B - 15) - 21 to solve the total amount the committee spends.	The number of new deliveries in question 4 is 12. Please substitute the number 12 into the algebraic expression 20+ 5(N + 3) to solve total time.	The number of hours he rents the umbrella in question 4 is 5. Please substitute the number 5 into the algebraic expression 10 + 3(H - 2) to solve the total amount spent on the umbrella rental.	The number of books you bought in the last year in question 4 is 20. Please substitute the number 20 into the algebraic expression 6.75(B - 8) + 24.50 to solve the total amount of money you spent on books.	Total number of months of work in question 4 is 12. Please substitute the number 12 into the algebraic expression 1500 + 2000(M - 1).
%(3679965825874896502)%	The variable C stands for the number of CDs the band makes. Please substitute 250 for the variable C in the algebraic expression 1000-2.5(C+15).	The variable F stands for the number of additional fires Marcus makes this summer. Please substitute 15 for the variable F in the algebraic expression 200 - 4 (F + 10)	The variable B stands for the number of new books Cindy writes. Please substitute 16 for the variable B in the algebraic expression 50000 + 2000 (B + 5).	The variable B stands for the number of people attending the dance. Please substitute 20 for the variable B in the algebraic expression 5.25(B - 15) - 21.	The variable N stands for the number of new deliveries. Please substitute 0 for the variable N in the algebraic expression 20 + 5(N + 3).	The variable H stands for the number of hours he rents the umbrella. Please substitute 4 for the variable H in the algebraic expression 10 + 3(H - 2).	The variable B stands for the number of books you bought in the last year. Please substitute 10 for the variable B in the algebraic expression 6.75(B - 8) + 24.50.	The variable M stands for total number of months of work. Please substitute 6 for the variable M in the algebraic expression 1500 + 2000(M - 1).
%(4920608439303684340)%	Please enter '385' in the highlighted field.	Please enter '30' in the highlighted field.	Please enter '18' in the highlighted field.	Please enter '200' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '5' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '12' in the highlighted field.
%(-453518294639506693)%	Please enter '85' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '20' in the highlighted field.	Please enter '0' in the highlighted field.	Please enter '2' in the highlighted field.	Please enter '8' in the highlighted field.	Please enter '1' in the highlighted field.
%(8796587289776407051)%	The number of CDs the band makes in question 1 is 85. Please substitute the number 85 into the algebraic expression 1000 - 2.5 (C + 15) to solve the total amount of money they spent on CDs.	The number of additional fires Marcus makes this winter in question 1 is 0. Please substitute the number 0 into the algebraic expression 200 - 4 (F + 10) to solve total amount of wood used.	The number of new books Cindy writes in question 1 is 9. Please substitute the number 9 into the algebraic expression 50000 + 2000 (B + 5) to solve total charity donation.	The number of people attending the dance in question 1 is 20. Please substitute the number 20 into the algebraic expression 5.25 (B - 15) - 21 to solve the total amount the committee spends.	The number of new deliveries in question 1 is 0. Please substitute the number 0 into the algebraic expression 20 + 5 (N + 3) to solve total time.	The number of hours he rents the umbrella in question 1 is 2. Please substitute the number 2 into the algebraic expression 10 + 3 (H - 2) to solve the total amount spent on the umbrella rental.	The number of books you bought in the last year in question 1 is 8. Please substitute the number 8 into the algebraic expression 6.75 (B - 8) + 24.50 to solve the total amount of money you spent on books.	Total number of months of work in question 1 is 1. Please substitute the number 1 into the algebraic expression 1500 + 2000 (M - 1) to solve the total amount of income.
%(-8809890632388366728)%	Please enter '125' in the highlighted field.	Please enter '10' in the highlighted field.	Please enter '12' in the highlighted field.	Please enter '50' in the highlighted field.	Please enter '4' in the highlighted field.	Please enter '3' in the highlighted field.	Please enter '9' in the highlighted field.	Please enter '3' in the highlighted field.
%(-4309026559528414754)%	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?	For question 3, you have not yet entered a given value. Look at the question on the left. What do you already know from the question?
%(3679966825882896453)%	The number of CDs the band makes in question 3 is 250. Please substitute the number 250 into the algebraic expression 1000-2.5(C+15) to solve the total amount of money they spent on CDs.	The number of additional fires Marcus makes this summer in question 3 is 15. Please substitute the number 15 into the algebraic expression 200 - 4 (F + 10) to solve total amount of wood used.	The number of new books Cindy writes in question 3 is 16. Please substitute the number 16 into the algebraic expression 50000 + 2000 (B + 5) to solve total charity donation.	The number of people attending the dance in question 3 is 100. Please substitute the number 100 into the algebraic expression 5.25(B - 15) - 21 to solve the total amount the committee spends.	The number of new deliveries in question 3 is 7. Please substitute the number 7 into the algebraic expression 20+ 5(N + 3) to solve total time.	The number of hours he rents the umbrella in question 3 is 4. Please substitute the number 4 into the algebraic expression 10 + 3(H - 2) to solve the total amount spent on the umbrella rental.	The number of books you bought in the last year in question 3 is 10. Please substitute the number 10 into the algebraic expression 6.75(B - 8) + 24.50 to solve the total amount of money you spent on books.	Total number of months of work in question 3 is 6. Please substitute the number 6 into the algebraic expression 1500 + 2000(M - 1).
%(-1217587432769992042)%	Please enter '337.50' in the highlighted field.	Please enter '100' in the highlighted field.	Please enter '92000' in the highlighted field.	Please enter '425.25' in the highlighted field.	Please enter '70' in the highlighted field.	Please enter '16' in the highlighted field.	Please enter '38' in the highlighted field.	Please enter '11500' in the highlighted field.
