Problem Name	test1	test2	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p24	p25	p26	p27
%(n1d5hint1)%	Please enter the digit in the ones place of 18.37	Please enter the digit in the tenths place of 15.5.		"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"	Please enter the digit in the tenths place of 3.74.	"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"		Please enter the digit in the hundredths place of 2.742.	"In subtraction, you need to enter the larger number first. Which number should be entered in the top row for this problem?"	Please enter the digit in the ones place of 30.9.	Please enter the digit in the tenths place of 48.99.		Please enter the digit in the hundredths place of 50.75.	Please enter the digit in the tenths place of 54.18.	Please enter the digit in the ones place of 59.219.	
%(n1d5hint2)%	The digit in the ones place of 18.37 is 8. Please enter 8.	The digit in the tenths place of 15.5 is 5. Please enter 5.		3.045 is the larger number. Please enter the digit in the ones place of 3.045.	The digit in the tenths place of 3.74 is 7. Please enter 7.	5.4 is the larger number. Please enter the digit in the ones place of 5.4.		The digit in the hundredths place of 2.742 is 4. Please enter 4.	22.9 is the larger number. Please enter the digit in the tens place of 22.9.	The digit in the ones place of 30.9 is 0. Please enter 0.	The digit in the tenths place of 48.99 is 9. Please enter 9.		The digit in the hundredths place of 50.75 is 5. Please enter 5.	The digit in the tenths place of 54.18 is 1. Please enter 1.	The digit in the ones place of 59.219 is 9. Please enter 9.	
%(n1d5hint3)%				The digit in the ones place of 3.045 is 3. Please enter 3.		The digit in the ones place of 5.4 is 5. Please enter 5.			The digit in the tens place of 22.9 is 2. Please enter 2.							
%(n1d6req)%	0	0	1	0	1	0	1	1	1	0	1	1	0	1	0	1
%(n1d6)%	---	0	0	---	4	---	2	2	2	---	9	0	0	8	---	5
%(n1d6hint1)%			Please enter the digit in the tenths place of 1.052.		Please enter the digit in the hundredths place of 3.74.		Please enter the digit in the tenths place of 5.23.	Please enter the digit in the thousandths place of 2.742.	Please enter the digit in the ones place of 22.9.		Please enter the digit in the hundredths place of 48.99.	Please enter the digit in the tenths place of 50.09.		Please enter the digit in the hundredths place of 54.18.		Please enter the digit in the tenths place of 73.545.
%(n1d6hint2)%			The digit in the tenths place of 1.052 is 0. Please enter 0.		The digit in the hundredths place of 3.74 is 4. Please enter 4.		The digit in the tenths place of 5.23 is 2. Please enter 2.	The digit in the thousandths place of 2.742 is 2. Please enter 2.	The digit in the ones place of 22.9 is 2. Please enter 2.		The digit in the hundredths place of 48.99 is 9. Please enter 9.	The digit in the tenths place of 50.09 is 0. Please enter 0.		The digit in the hundredths place of 54.18 is 8. Please enter 8.		The digit in the tenths place of 73.545 is 5. Please enter 5.
%(n1d7req)%	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1
%(n1d7)%	3	0	5	0	0	4	3	0	---	9	0	9	0	0	2	4
%(n1d7hint1)%	Please enter the digit in the tenths place of 18.37.		Please enter the digit in the hundredths place of 1.052.	Please enter the digit in the tenths place of 3.045.		Please enter the digit in the tenths place of 5.4.	Please enter the digit in the hundredths place of 5.23.			Please enter the digit in the tenths place of 30.9.		Please enter the digit in the hundredths place of 50.09.			Please enter the digit in the tenths place of 59.219.	Please enter the digit in the hundredths place of 73.545.
%(n1d7hint2)%	The digit in the tenths place of 18.37 is 3. Please enter 3.		The digit in the hundredths place of 1.052 is 5. Please enter 5.	The digit in the tenths place of 3.045 is 0. Please enter 0.		The digit in the tenths place of 5.4 is 4. Please enter 4.	The digit in the hundredths place of 5.23 is 3. Please enter 3.			The digit in the tenths place of 30.9 is 9. Please enter 9.		The digit in the hundredths place of 50.09 is 9. Please enter 9.			The digit in the tenths place of 59.219 is 2. Please enter 2.	The digit in the hundredths place of 73.545 is 4. Please enter 4.
%(n1d8req)%	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1
%(n1d8)%	7	0	2	4	0	0	0	0	9	0	0	0	0	0	1	5
%(n1d8hint1)%	Please enter the digit in the hundredths place of 18.37.		Please enter the digit in the thousandths place of 1.052.	Please enter the digit in the hundredths place of 3.045.					Please enter the digit in the tenths place of 22.9.						Please enter the digit in the hundredths place of 59.219.	Please enter the digit in the thousandths place of 73.545.
%(n1d8hint2)%	The digit in the hundredths place of 18.37 is 7. Please enter 7.		The digit in the thousandths place of 1.052 is 2. Please enter 2.	The digit in the hundredths place of 3.045 is 4. Please enter 4.					The digit in the tenths place of 22.9 is 9. Please enter 9.						The digit in the hundredths place of 59.219 is 1. Please enter 1.	The digit in the thousandths place of 73.545 is 5. Please enter 5.
%(n1d9req)%	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
%(n1d9)%	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0
%(n1d9hint1)%				Please enter the digit in the thousandths place of 3.045.											Please enter the digit in the thousandths place of 59.219.	
%(n1d9hint2)%				The digit in the thousandths place of 3.045 is 5. Please enter 5.											The digit in the thousandths place of 59.219 is 9. Please enter 9.	
%(n2d1req)%	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
%(n2d1)%	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
%(n2d1hint1)%													Please enter the digit in the tens place of 33.			
%(n2d1hint2)%													The digit in the tens place of 33 is 3. Please enter 3.			
%(n2d2req)%	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0
%(n2d2)%	0	1	0	0	0	0	0	1	0	0	1	0	3	4	0	0
%(n2d2hint1)%		Please enter the digit in the tens place of 10.7.						Please enter the digit in the ones place of 1.74.			Please enter the digit in the tens place of 16.7.		Please enter the digit in the ones place of 33.	Please enter the digit in the tens place of 45.3.		
%(n2d2hint2)%		The digit in the tens place of 10.7 is 1. Please enter 1.						The digit in the ones place of 1.74 is 1. Please enter 1.			The digit in the tens place of 16.7 is 1. Please enter 1.		The digit in the ones place of 33 is 3. Please enter 3.	The digit in the tens place of 45.3 is 4. Please enter 4.		
%(n2d3req)%	0	1	0	0	1	0	0	0	0	0	1	1	0	1	0	1
%(n2d3)%	0	0	0	0	2	0	0	---	0	0	6	4	---	5	0	2
%(n2d3hint1)%		Please enter the digit in the ones place of 10.7.			Please enter the digit in the ones place of 2.5.						Please enter the digit in the ones place of 16.7.	Please enter the digit in the tens place of 46.27.		Please enter the digit in the ones place of 45.3.		Please enter the digit in the tens place of 20.51.
%(n2d3hint2)%		The digit in the ones place of 10.7 is 0. Please enter 0.			The digit in the ones place of 2.5 is 2. Please enter 2.						The digit in the ones place of 16.7 is 6. Please enter 6.	The digit in the tens place of 46.27 is 4. Please enter 4.		The digit in the ones place of 45.3 is 5. Please enter 5.		The digit in the tens place of 20.51 is 2. Please enter 2.
%(n2d4req)%	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	1
%(n2d4)%	0	---	0	0	.	0	0	7	0	2	---	6	0	---	1	0
%(n2d4hint1)%								Please enter the digit in the tenths place of 1.74.		Please enter the digit in the tens place of 20.1.		Please enter the digit in the ones place of 46.27.			Please enter the digit in the tens place of 18.86.	Please enter the digit in the ones place of 20.51.
%(n2d4hint2)%								The digit in the tenths place of 1.74 is 7. Please enter 7.		The digit in the tens place of 20.1 is 2. Please enter 2.		The digit in the ones place of 46.27 is 6. Please enter 6.			The digit in the tens place of 18.86 is 1. Please enter 1.	The digit in the ones place of 20.51 is 0. Please enter 0.
%(n2d5req)%	1	1	0	0	1	1	0	1	1	1	1	0	0	1	1	0
%(n2d5)%	6	7	---	0	5	2	---	4	1	0	7	---	0	3	8	---
%(n2d5hint1)%	Please enter the digit in the ones place of 6.49.	Please enter the digit in the tenths place of 10.7.			Please enter the digit in the tenths place of 2.5.	Please enter the digit in the ones place of 2.3.		Please enter the digit in the hundredths place of 1.74.	Please enter the digit in the tens place of 18.4.		Please enter the digit in the tenths place of 16.7.			Please enter the digit in the tenths place of 45.3.	Please enter the digit in the ones place of 18.86.	
%(n2d5hint2)%	The digit in the ones place of 6.49 is 6. Please enter 6.	The digit in the tenths place of 10.7 is 7. Please enter 7.			The digit in the tenths place of 2.5 is 5. Please enter 5.	The digit in the ones place of 2.3 is 2. Please enter 2.		The digit in the hundredths place of 1.74 is 4. Please enter 4.	The digit in the tens place of 18.4 is 1. Please enter 1.		The digit in the tenths place of 16.7 is 7. Please enter 7.			The digit in the tenths place of 45.3 is 3. Please enter 3.	The digit in the ones place of 18.86 is 8. Please enter 8.	
%(n2d6req)%	0	0	1	0	0	0	1	0	1	0	0	1	0		0	1
%(n2d6)%	---	0	7	---	0	---	5	0	8	---	0	2	0		---	5
%(n2d6hint1)%			Please enter the digit in the tenths place of 0.76.				Please enter the digit in the tenths place of 0.50.		Please enter the digit in the ones place of 18.4.			Please enter the digit in the tenths place of 46.27.				Please enter the digit in the tenths place of 20.51.
%(n2d6hint2)%			The digit in the tenths place of 0.76 is 7. Please enter 7.				The digit in the tenths place of 0.50 is 5. Please enter 5.		The digit in the ones place of 18.4 is 8. Please enter 8.			The digit in the tenths place of 46.27 is 2. Please enter 2.				The digit in the tenths place of 20.51 is 5. Please enter 5.
%(n2d7req)%	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	1
%(n2d7)%	4	0	6	6	0	3	0	0	---	1	0	7	0	0	8	1
%(n2d7hint1)%	Please enter the digit in the tenths place of 6.49.		Please enter the digit in the hundredths place of 0.76.	Please enter the digit in the tenths place of 0.67.		Please enter the digit in the tenths place of 2.3.	Please enter the digit in the hundredths place of 0.50.			Please enter the digit in the tenths place of 20.1.		Please enter the digit in the hundredths place of 46.27.			Please enter the digit in the tenths place of 18.86.	Please enter the digit in the hundredths place of 20.51.
%(n2d7hint2)%	The digit in the tenths place of 6.49 is 4. Please enter 4.		The digit in the hundredths place of 0.76 is 6. Please enter 6.	The digit in the tenths place of 0.67 is 6. Please enter 6.		The digit in the tenths place of 2.3 is 3. Please enter 3.	The digit in the hundredths place of 0.50 is 0. Please enter 0.			The digit in the tenths place of 20.1 is 1. Please enter 1.		The digit in the hundredths place of 46.27 is 7. Please enter 7.			The digit in the tenths place of 18.86 is 8. Please enter 8.	The digit in the hundredths place of 20.51 is 1. Please enter 1.
%(n2d8req)%	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
%(n2d8)%	9	0	0	7	0	0	0	0	4	0	0	0	0	0	6	0
%(n2d8hint1)%	Please enter the digit in the hundredths place of 6.49.			Please enter the digit in the hundredths place of 0.67.					Please enter the digit in the tenths place of 18.4.						Please enter the digit in the hundredths place of 18.86.	
%(n2d8hint2)%	The digit in the hundredths place of 6.49 is 9. Please enter 9.			The digit in the hundredths place of 0.67 is 7. Please enter 7.					The digit in the tenths place of 18.4 is 4. Please enter 4.						The digit in the hundredths place of 18.86 is 6. Please enter 6.	
%(n2d9req)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(n2d9)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(n2d9hint1)%																
%(n2d9hint2)%																
%(carryBoxesToShow)%	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""	"""r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9"""
%(r1c2)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r1c2hint1)%																
%(r1c2hint2)%																
%(r1c3)%	0	0	0	0	0	0	0	.	0	0	0	0	0	13	0	0
%(r1c3hint1)%														You cannot subtract 5 from 3 so you need to regroup 1 ten into 10 ones.		
%(r1c3hint2)%														"Since you regrouped 1 ten into 10 ones, you only have 4 tens left. Enter 4 in this box."		
%(r1c4)%	0	0	0	0	.	0	0	0	0	0	0	9	0	0	0	0
%(r1c4hint1)%												You needed to regroup 1 one into 10 tenths. How many ones remain?				
%(r1c4hint2)%												"Since you regrouped 1 one into 10 tenths, there are 9 ones left. Enter 9 in this box."				
%(r1c5)%	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
%(r1c5hint1)%																
%(r1c5hint2)%																
%(r1c6)%	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r1c6hint1)%			You needed to regroup 1 tenth into 10 hundredths. You need to take away 1 one and enter the result here. 													
%(r1c6hint2)%			10 minus 1 is 0. Enter 9 in this box.													
%(r1c7)%	12	0	0	9	0	0	0	0	0	0	0	0	0	0	11	0
%(r1c7hint1)%	You need to regroup to complete subtraction in the tenths column. Borrow 1 one to do this. Remember that 1 one is equal to 10 tenths.			You needed to regroup 1 tenth into 10 hundredths. You need to take away 1 one and enter the result here. 											You cannot subtract 8 tenths from 1 without regrouping. You must regroup 1 one into 10 tenths.	
%(r1c7hint2)%	"After regrouping 1 one into 10 tenths, add it to the 2 tenths you already have. Please enter 12 in this box."			10 minus 1 is 0. Enter 9 in this box.											"You had one tenth. After regrouping 1 one into 10 tenths, you have 10 more. 1 plus 10 is 11. Enter 11 in this box."	
%(r1c8)%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
%(r1c8hint1)%																
%(r1c8hint2)%																
%(r2c1)%	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
%(r2c1hint1)%													"Since you needed to regroup 1 ten into 10 ones, you need to reduce the number of tens by 1."			
%(r2c1hint2)%													"After regrouping, you have 4 tens left. Enter 4 in this box."			
%(r2c2)%	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0
%(r2c2hint1)%													You need to regroup 1 ten into 10 ones so you can subtract this column.	You regrouped 1 ten into 10 ones. You need to subtract that from the tens and put the result in this box.		
%(r2c2hint2)%													"Since you needed to regroup 1 ten into 10 ones, enter 10 in this box."	You had 5 tens. 5 minus 1 is 4. Enter 4 in this box.		
%(r2c3)%	0	4	0	0	0	0	0	.	0	0	0	4	0	3	0	0
%(r2c3hint1)%		"Since you needed to regroup to complete subtraction in the tenths column, you have used and must take away 1 one."										You regrouped 1 ten into 10 ones. You need to subtract that from the tens and put the result in this box.		You regrouped 1 one into 10 tenths. You need to subtract that from the number of ones and put the result in this box.		
%(r2c3hint2)%		"After taking 1 one from 5 ones, you have 4 ones left. Please enter 4 in this box."										You had 5 tens. 5 minus 1 is 4. Enter 4 in this box.		You had 4 ones. 4 minus 1 is 3. Enter 3 in this box.		
%(r2c4)%	0	0	0	0	.	0	4	0	0	0	0	10	0	0	0	0
%(r2c4hint1)%			You regrouped 1 one into 10 tenths. You need to subtract that from the number of ones and enter the result in this box.				You regrouped 1 one into 10 tenths. You need to subtract that from the number of ones and enter the result in this box.					"Since you cannot subtract 6 ones from 0 ones, you need to regroup 1 ten into 10 ones. "				
%(r2c4hint2)%			You had 1 one. 1 minus 1 is 0. Enter 0 in this box.				You had 5 ones. 5 minus 1 is 4. Enter 4 in this box.					"After borrowing 1 ten, you have 10 ones. Enter 10 in this box."				
%(r2c5)%	7	15	0	2	0	0	0	0	1	0	0	0	0	11	8	0
%(r2c5hint1)%	"Since you needed to regroup to complete subtraction in the tenths column, you have used and must take away 1 one."	You need to regroup to complete subtraction in the tenths column. Borrow 1 one to do this. Remember that 1 one is equal to 10 tenths.		You regrouped 1 one into 10 tenths. You need to subtract that from the number of ones and enter the result in this box.					You regrouped 1 ten into 10 ones. You need to subtract that from the number of tens and put the result in this box.					"Since you cannot subtract 3 tenths from 1 tenth, you need to regroup 1 one into 10 tenths."	You needed to regroup 1 one into 10 tenths. You need to subtract that from the ones and put the answer in this box.	
%(r2c5hint2)%	"After taking 1 one from 8 ones, you have 7 ones left. Please enter 7 in this box."	"After regrouping 1 one into 10 tenths, add it to the 5 tenths you already have. Please enter 15 in this box."		You had 3 ones. 3 minus 1 is 2. Enter 2 in this box.					You had 2 tens. 2 minus 1 is 1. Enter 1 in this box.					"After borrowing 1 ten, you have 11 tenths. Enter 11 in this box."	"When you subtract 1 one from 9 ones, you are left with 8 ones. Enter 8 in this box."	
%(r2c6)%	0	0	10	0	0	0	12	0	12	0	0	10	0	0	0	0
%(r2c6hint1)%			You need to regroup 1 one into 10 tenths in order to regroup 1 tenth into 10 hundredths.				"Since you cannot subtract 5 tenths from 2 tenths, you need to regroup 1 one into 10 tenths."		"Since you cannot subtract 8 ones from 2 ones, you need to regroup 1 ten into 10 ones. "			"Since you cannot subtract 2 tenths from 0 tenths, you need to regroup 1 one into 10 tenths."				
%(r2c6hint2)%			Regroup 1 one into 10 tenths. Enter 10 in this box.				"After borrowing 1 one, you have 10 tenths plus 2 tenths. Enter 12 in this box."		"After borrowing 1 ten, you have 10 ones plus 2 ones. Enter 12 in this box."			"After borrowing 1 one, you have 10 tenths. Enter 10 in this box."				
%(r2c7)%	2	0	15	10	0	0	0	0	0	0	0	0	0	0	1	0
%(r2c7hint1)%	"Since you needed to regroup to complete subtraction in the hundredths column, you have used and must take away one tenth."		You can use this box to regroup 1 tenth into 10 hundredths.	You need to regroup 1 one into 10 tenths in order to regroup 1 tenth into 10 hundredths.											You needed to regroup 1 tenth into 10 hundredths. You need to subtract that from the tenths and put the answer in this box.	
