Problem Name	p1	p2	p3	p4
%(n2d4hint2)%	The digit in the ones place of 4.66 is 4. Please enter 4.			
%(n2d5req)%	1	1	1	
%(n2d5)%	.	6	5	
%(n2d5hint1)%	Please enter a decimal point here.			
%(n2d5hint2)%				
%(n2d6req)%	1	1	0	
%(n2d6)%	6	.	0	
%(n2d6hint1)%	Please enter the digit in the tenths place of 4.66.			
%(n2d6hint2)%	The digit in the tenths place of 4.66 is 6. Please enter 6.			
%(n2d7req)%	1	1	0	
%(n2d7)%	6	4	0	
%(n2d7hint1)%	Please enter the digit in the hundredths place of 4.66.			
%(n2d7hint2)%	The digit in the hundredths place of 4.66 is 6. Please enter 6.			
%(n2d8req)%	0	1	0	
%(n2d8)%	0	9	0	
%(n2d8hint1)%				
%(n2d8hint2)%				
%(n2d9req)%	0	0	0	
%(n2d9)%	0	0	0	
%(n2d9hint1)%				
%(n2d9hint2)%				
%(carryBoxesToShow)%	"""c4,c6"""			
%(c1)%	0	0	0	
%(c1hint1)%				
%(c1hint2)%				
%(c2)%	0	0	0	
%(c2hint1)%				
%(c2hint2)%				
%(c3)%	0	0	4	
%(c3hint1)%				
%(c3hint2)%				
%(c4)%	1	0	0	
%(c4hint1)%	"If you carry a value over from adding the tenths values, please enter it here."			
%(c4hint2)%	"One unit was carried over from the addition of 5 tenths, 6 tenths, and a carried tenth. Please enter 1."			
%(c5)%	0	7	15	
%(c5hint1)%				
%(c5hint2)%				
%(c6)%	1	0	0	
%(c6hint1)%	"If you carry a value over from adding the hundredths values, please enter it here."			
%(c6hint2)%	One tenth was carried over from the addition of 9 hundreths and 6 hundredths. Please enter 1.			
%(c7)%	0	12	0	
%(c7hint1)%				
%(c7hint2)%				
%(c8)%	0	17	0	
%(c8hint1)%				
%(c8hint2)%				
%(c9)%	0	0	0	
%(c9hint1)%				
%(c9hint2)%				
%(a1req)%	0	0	0	
%(a1)%	0	0	0	
%(a1hint1)%				
%(a1hint2)%				
%(a2req)%	0	0	0	
%(a2)%	0	0	0	
%(a2hint1)%				
%(a2hint2)%				
%(a3req)%	1	0	1	
%(a3)%	2	0	4	
%(a3hint1)%	Add the digits in the tens places and enter the sum here. Don't forget to add any values carried!			
%(a3hint2)%	"The digits in the tens places are 2 and 0, and 2+0=2, so please enter 2 here."			
%(a4req)%	1	1	1	
%(a4)%	9	1	.	
%(a4hint1)%	Add the digits in the ones places and enter the sum here. Don't forget to add any values carried!			
%(a4hint2)%	"The digits in the ones places are 4 and 4, and 1 one was carried from the sum of the tenths column. 4+4+1=9, so please enter 9 here."			
%(a5req)%	1	1	1	
%(a5)%	.	1	8	
%(a5hint1)%	Please enter a decimal point here.			
%(a5hint2)%				
%(a6req)%	1	1	0	
%(a6)%	2	.	0	
%(a6hint1)%	Add the digits in the tenths places and enter the sum here. Don't forget to add any values carried!			
%(a6hint2)%	"The digits in the tenths places are 5 and 6, and 1 tenth was carried from the sum of the hundreths column. 5+6+1=12, so please enter 2 here and carry a 1 over to the ones column (10 tenths = 1)."			
%(a7req)%	1	1	0	
%(a7)%	5	8	0	
%(a7hint1)%	Add the digits in the hundredths places and enter the sum here.			
%(a7hint2)%	"The digits in the hundreths places are 9 and 6. 9+6=15, so please enter 5 here and carry a 1 over to the tenths column (10 hundredths = 1 tenth)."			
%(a8req)%	0	1	0	
%(a8)%	0	8	0	
%(a8hint1)%				
%(a8hint2)%				
%(a9req)%	0	0	0	
%(a9)%	0	0	0	
%(a9hint1)%				
%(a9hint2)%				 
