Problem Name	Problem1	Problem2	Problem3	Problem4	Problem5	Problem6	Problem7	Problem8	Problem9	Problem10	Problem11	Problem12	Problem13
%(namesolve)%	number of gold medals received	number of shooting stars he saw	number of days	number of stars Jared gets	size of the Small Sip	cost of the afternoon show	number of cherry pies Cara makes	amount of money you owe	distance traveled	amount of money in the Piggy bank	number of clean glasses left	total cost	total number of points
%(work1input)%	15+35	2*7	6\/\3	10\/\5	20\-\12	7.50-2.50	12\/\6	2*3 -1.25	50*3+200	5*3+20	24-3*2	7*3+10	5*3+25
%(work1)%	15+35	2*7	6/3	10/5	20-12	7.50-2.50	12/6	2*3-1.25	50*3+200	5*3+20	24-3*2	7*3+10	5*3+25
%(work1alt)%								",""(2*3)-1.25"""	",""(50*3)+200"""	",""(5*3)+20"""	",""24-(3*2)"""	",""(7*3)+10"""	",""(5*3)+25"""
%(given2)%	30	3	12	35	30	9	24	5	5	6	5	5	8
%(solve2)%	65	21	4	7	18	6.5	4	8.75	450	50	9	45	65
%(work2input)%	30+35	3*7	12\/\3	35\/\5	30\-\12	9-2.50	24\/\6	2*5-1.25	50*5+200	5*6+20	24-3*5	7*5+10	5*8+25
%(work2)%	30+35	3*7	12/3	35/5	30-12	9-2.50	24/6	2*5-1.25	50*5+200	5*6+20	24-3*5	7*5+10	5*8+25
%(work2alt)%								",""(2*5)-1.25"""	",""(50*5)+200"""	",""(5*6)+20"""	",""24-(3*5)"""	",""(7*5)+10"""	",""(5*8)+25"""
%(extra)%	0	0	1	1	0	0	0	0	0	0	1	0	0
%(given3)%	NA	NA	21	50	NA	NA	NA	NA	NA	NA	8	NA	NA
%(solve3)%	NA	NA	7	10	NA	NA	NA	NA	NA	NA	0	NA	NA
%(work3input)%	NA	NA	21\/\3	50\/\5	NA	NA	NA	NA	NA	NA	24-3*8	NA	NA
%(work3)%	NA	NA	21/3	50/5	NA	NA	NA	NA	NA	NA	24-3*8	NA	NA
%(work3alt)%											",""24-(3*8)"""		
%(fourthleft)%	thirdleft	thirdleft	fourthleft	fourthleft	thirdleft	thirdleft	thirdleft	thirdleft	thirdleft	thirdleft	fourthleft	thirdleft	thirdleft
%(fourthmid)%	thirdmid	thirdmid	fourthmid	fourthmid	thirdmid	thirdmid	thirdmid	thirdmid	thirdmid	thirdmid	fourthmid	thirdmid	thirdmid
%(solve4input)%	x+35	x*7	x/3	x/5	x-12	x-2.50	x/6	2*x-1.25	50*x+200	5*x+20	24-3*x	7*x+10	5*x+25
%(solve4)%	"expressionMatches(concat(thirdleft, ""+35""),input)"	"expressionMatches(concat(thirdleft, ""*7""),input)"	"expressionMatches(concat(fourthleft, ""/3""),input)"	"expressionMatches(concat(fourthleft, ""/5""),input)"	"expressionMatches(concat(thirdleft, ""-12""),input)"	"expressionMatches(concat(thirdleft, ""-2.50""),input) "	"expressionMatches(concat(thirdleft, ""/6""),input)"	"expressionMatches(concat(""2*"", thirdleft, ""-1.25""),input)"	"expressionMatches(concat(""50*"", thirdleft, ""+200""),input)"	"expressionMatches(concat(""5*"", thirdleft, ""+20""),input)"	"expressionMatches(concat(""24-"", ""3*"",fourthleft),input)"	"expressionMatches(concat(""7*"", thirdleft, ""+10""),input)"	"expressionMatches(concat(""5*"", thirdleft, ""+25""),input)"
%(hint)%	add 35 to the number of silver medals received	multiply the numbers of hours he watched by 7	divide the numbers of tomatoes by 3	divide the books read by 5	subtract 12 from the size of the Big Drink	subtract 2.50 from the cost of evening show	divide the number of cups of cherries by 6	NA	NA	NA	NA	NA	NA
%(var)%	<%=thirdleft%>	<%=thirdleft%>	<%=fourthleft%>	<%=fourthleft%>	<%=thirdleft%>	<%=thirdleft%>	<%=thirdleft%>	<%=thirdleft%>	<%=thirdleft%>	<%=thirdleft%>	<%=fourthleft%>	<%=thirdleft%>	<%=thirdleft%>
%(varsum)%	<%=thirdleft%>+35	<%=thirdleft%>*7	<%=fourthleft%>/3	<%=fourthleft%>/5	<%=thirdleft%>-12	<%=thirdleft%>-2.50	<%=thirdleft%>/6	(2*<%=thirdleft%>)-1.25	(50*<%=thirdleft%>)+200	(5*<%=thirdleft%>)+20	24 -(3*<%=fourthleft%>)	10 +(<%=thirdleft%> * 7)	25 +(<%=thirdleft%> * 5)
%(hintmid1)%	"If the %(namegiven)% is %(given1)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given1)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given1)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given1)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given1)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is 7.50, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given1)%, what is the %(namesolve)%? Please type the numerical answer here."	"You bought 3 bottles that cost $2.00 each, and you used a money saving coupon of $1.25. Can you figure out the amount of money you owe from these numbers?"	Speedy Spiro has driven for 3 hours at 50 miles per hour in addition to the 200 miles already driven. Can you figure out the number of miles driven from these numbers?	"Cheyenne saved 5 dollar a week for 3 weeks, and the amount in the piggy bank in the beginning was $20. Can you figure out the total amount in the piggy bank with these numbers?  "	Mrs. Jenkins started with 24 glasses and has used 3 glasses a day for 2 days. Can you figure out the number of clean glasses left using these numbers? 	"There are 3 books of tickets that costs $7 for each book of tickets, and the admission charge is $ 10. Can you figure out the total cost with these numbers? "	"Brady's  team has 3 more wins and gets 5 points per win, the original ranking points were 25. Can you figure out the total points with these numbers?  "
%(hintright1)%	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given1)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the  %(namegiven)% is 7.50.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given1)%.	"You bought 3 bottles that cost $2.00 each, and you used a money saving coupon of $1.25. Can you write down a numerical expression that shows the amount of money you owe from these numbers? "	Speedy Spiro has driven 3 hours at 50 miles per hour in addition to the 200 miles already driven. Can you figure out a numerical expression that shows how to compute the distance traveled?	"Cheyenne saved 5 dollar a week for 3 weeks, and the amount in the piggy bank in the beginning was $20. Can you write a numerical expression that shows the total amount in the piggy bank with these numbers? "	Mrs. Jenkins started with 24 glasses and has used 3 glasses a day for 2 days. Can you write an expression to find the number of clean glasses left using these numbers? 	"There are 3 books of tickets that costs $ 7 for each book of tickets, and the admission charge is $ 10. Can you write a numerical expression that shows the total cost with these numbers? "	"Brady's team has 3 more wins and gets 5 points per win, the original ranking points were 25. Can you write a numerical expression that shows the total points with these numbers? "
%(hintmid2)%	"If the %(namegiven)% is %(given2)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the  %(namegiven)% is %(given2)%, what is the  %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given2)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given2)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given2)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is 9, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given2)%, what is the %(namesolve)%? Please type the numerical answer here."	"You bought 5 bottles that cost $2.00 each, and you used a money saving coupon of $1.25. Can you figure out the amount of money you owe from these numbers?"	Speedy Spiro has driven 5 hours at 50 miles per hour in addition to the 200 miles already driven. Can you figure out the number of miles driven from these numbers?	"Cheyenne saved 5 dollar a week for 6 weeks, and the amount in the piggy bank in the beginning was $20. Can you figure out the total amount in the piggy bank with these numbers?  "	Mrs. Jenkins started with 24 glasses and has used 3 glasses a day for 5 days. Can you figure out the number of clean glasses left using these numbers? 	"There are 5 books of tickets that costs $7 for each book of tickets, and the admission charge is $ 10. Can you figure out the total cost with these numbers? "	"Brady's  team has 8 more wins and gets 5 points per win, the original ranking points were 25. Can you figure out the total points with these numbers?  "
%(hintright2)%	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the  %(namegiven)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the  %(namegiven)% is %(given2)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the  %(namegiven)% is 9.00.	Please write a numerical expression that shows how to compute the %(namesolve)% when the  %(namegiven)% is %(given2)%.	"You bought 5 bottles that cost $2.00 each, and you used a money saving coupon of $1.25. Can you write down a numerical expression that shows the amount of money you owe from these numbers? "	Speedy Spiro has driven 5 hours at 50 miles per hour in addition to the 200 miles already driven. Can you figure out a numerical expression that shows how to compute the distance traveled?	"Cheyenne saved 5 dollar a week for 6 weeks, and the amount in the piggy bank in the beginning was $20. Can you write a numerical expression that shows the total amount in the piggy bank with these numbers? "	Mrs. Jenkins started with 24 glasses and has used 3 glasses a day for 5 days. Can you write an expression to find the number of clean glasses left using these numbers? 	"There are 5 books of tickets that costs $ 7 for each book of tickets, and the admission charge is $ 10. Can you write a numerical expression that shows the total cost with these numbers? "	"Brady's team has 8 more wins and gets 5 points per win, the original ranking points were 25. Can you write a numerical expression that shows the total points with these numbers? "
%(hintmid3)%	NA	NA	"If the %(namegiven)% is %(given3)%, what is the %(namesolve)%? Please type the numerical answer here."	"If the %(namegiven)% is %(given3)%, what is the %(namesolve)%? Please type the numerical answer here."	NA	NA	NA	NA	NA	NA	Mrs. Jenkins started with 24 glasses and has used 3 glasses a day for 8 days. Can you figure out the number of clean glasses left using these numbers? 	NA	NA
%(hintright3)%	NA	NA	Please write a numerical expression that shows how to compute the %(namesolve)% when the %(namegiven)% is %(given3)%.	Please write a numerical expression that shows how to compute the %(namesolve)% when the  %(namegiven)% is %(given3)%.	NA	NA	NA	NA	NA	NA	Mrs. Jenkins started with 24 glasses and has used 3 glasses a day for 8 days. Can you write an expression to find the number of clean glasses left using these numbers? 	NA	NA
%(secondhint)%	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Since you want to find %(namesolve)%, you need to %(hint)%."	"Multiply the number of bottles of ketchup you bought times the price of one bottle, then subtract the value of the coupon."	"Multiply the hours spent driving times the miles per hour, then add the miles already driven."	"Multiply the number of weeks Cheyenne saved, times the amount of money she saved each week, add this product to the amount of money already in the piggy bank when she started to save."	"Multiply the number of days times the number of glasses used each day, then subtract that from the number of clean glasses to begin with. "	"Multiply the number of books of tickets times the costs of each book of tickets, then add the admission charge."	"Multiply the number of wins by the points for each win, then add the original ranking points."
													
%(visExplanation)%	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
%(visQuestion4)%	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
%(dash-location)%	thirdright	thirdright	fourthright	fourthright	thirdright	thirdright	thirdright	thirdright	thirdright	thirdright	fourthright	thirdright	thirdright
%(function)%						",constantsDollar(input)"		",constantsDollar(input)"		",constantsDollar(input)"		",constantsDollar(input)"	
													
%(solve1input)%	%(solve1)%	%(solve1)%	%(solve1)%	%(solve1)%	%(solve1)%	((5)|(5.00))	%(solve1)%	%(solve1)%	%(solve1)%	(35)|(35.00)	%(solve1)%	(31)|(31.00)	%(solve1)%
%(given2input)%	%(given2)%	%(given2)%	%(given2)%	%(given2)%	%(given2)%	((9)|(9.00))	%(given2)%	%(given2)%	%(given2)%	%(given2)%	%(given2)%	%(given2)%	%(given2)%
%(solve2input)%	%(solve2)%	%(solve2)%	%(solve2)%	%(solve2)%	%(solve2)%	%(solve2)%	%(solve2)%	%(solve2)%	%(solve2)%	(50)|(50.00)	%(solve2)%	(45)|(45.00)	%(solve2)%
%(x)%	NA	NA	NA	NA	NA	NA	NA	((2)|(2.00))	NA	((20)|(20.00))	NA	((10)|(10.00))	NA
%(y)%	NA	NA	NA	NA	NA	NA	NA	NA	NA	((5)|(5.00))	NA	((7)|(7.00))	NA
